ID;SireID;DamID;Gener;NParto;TC DESTETE;TC NAC;Peso al parto;Color;Dedos;Sexo;Clima;Poza;p0;p15;p30;p45;p60;p90;TasaCp
0011-1;M-3;11;1;1;5;5;1442;blanco;14;H;invierno;28;158;246;278;352;433;602;4.81
00111-1;M9;0011-1;1;1;4;4;1856;alazan;14;H;verano;24;202;314;NA;NA;NA;NA;NA
00111-2;M9;0011-1;1;1;4;4;1856;blanco;14;H;verano;24;184;310;466;526;728;934;8.4
00111-4;M9;0011-1;1;1;4;4;1856;alazan;14;H;verano;24;190;305;415;488;684;856;7.53
0011-2;M-3;11;1;1;5;5;1442;bayo;14;H;invierno;28;142;232;472;598;716;688;6.76
0011-21;M-3;11;1;2;2;2;1466;bayo;14;H;verano;28;173;328;340;418;474;1016;8.35
0011-22;M-3;11;1;2;2;2;1466;bayo;14;H;verano;28;174;334;596;758;836;1168;10.98
0011-3;M-3;11;1;1;5;5;1442;bayo;14;H;invierno;28;116;224;312;388;438;676;5.93
0011-32;M-3;11;1;3;2;2;1466;bayo;14;H;invierno;28;228;559;654;840;1002;1312;11.47
0011-4;M-3;11;1;1;5;5;1442;bayo;14;H;invierno;28;156;282;382;450;546;916;7.97
001-21;M002;1;1;2;2;5;1640;bayo;14;H;invierno;29;156;210;294;368;496;824;7.34
0012-4;M011;12;1;1;1;4;1842;alazan;14;H;verano;26;150;306;492;622;780;1106;10.56
001-31;M002;1;1;3;2;3;1574;alazan;14;H;invierno;29;114;242;486;548;688;950;9.24
001-41;M002;1;1;4;3;3;1436;alazan;14;H;invierno;29;204;559;833;958;1114;1324;11.96
001-42;M002;1;1;4;3;3;1436;alazan;14;H;invierno;29;210;531;736;824;940;1181;10.08
001-43;M002;1;1;4;3;3;1436;blanco;14;H;invierno;29;212;422;790;816;935;1296;11.55
001-5;M002;1;1;1;5;6;1760;blanco;14;H;invierno;29;126;192;336;494;710;948;9.69
0015-21;M010;15;1;2;4;4;2189;blanco;14;H;verano;25;168;355;526;754;794;1072;9.98
001521-21;0233-44;0015-21;2;2;6;7;2060;blanco;14;H;invierno;23;140;276;370;586;749;885;8.75
001521-23;0233-44;0015-21;2;2;6;7;2060;bayo;14;H;invierno;23;136;256;388;658;739;1007;10.04
001521-25;0233-44;0015-21;2;2;6;7;2060;bayo;14;H;invierno;23;128;166;330;431;689;972;9.9
001521-26;0233-44;0015-21;2;2;6;7;2060;bayo;14;H;invierno;23;148;234;382;602;876;950;9.99
001521-31;0233-44;0015-21;2;3;3;3;2306;blanco;14;H;verano;23;206;422;601;934;938;1303;12.15
001521-32;0233-44;0015-21;2;3;3;3;2306;bayo;14;H;verano;23;134;348;540;896;908;1295;12.94
001521-33;0233-44;0015-21;2;3;3;3;2306;bayo;14;H;verano;23;206;384;586;900;922;1280;12.05
001521-41;0233-44;0015-21;2;4;4;5;2786;bayo;14;H;invierno;23;198;390;461;978;1094;1480;14.95
001521-43;0233-44;0015-21;2;4;4;5;2786;bayo;14;H;invierno;23;164;330;527;874;984;1360;13.71
0015-22;M010;15;1;2;4;4;2189;blanco;14;H;verano;25;178;345;491;674;769;1030;9.45
0015-23;M010;15;1;2;4;4;2189;alazan;14;H;verano;25;170;376;562;808;874;1154;10.93
0015-32;M010;15;1;3;5;5;2440;alazan;14;H;invierno;25;168;390;585;720;904;1230;11.59
0015-33;M010;15;1;3;5;5;2440;alazan;14;H;invierno;25;200;412;630;790;985;1296;12.16
0015-35;M010;15;1;3;5;5;2440;alazan;14;H;invierno;25;132;290;509;654;786;1026;10.03
001-6;M002;1;1;1;5;6;1760;blanco;14;H;invierno;29;136;190;304;570;618;889;8.84
0016-21;M011;16;1;2;1;1;1806;alazan;14;H;invierno;26;192;345;628;720;828;1150;10.49
001621-2;0233-44;0016-21;2;1;3;3;2242;alazan;14;H;invierno;23;140;298;414;607;765;728;7.15
001621-22;0233-44;0016-21;2;2;3;3;2430;bayo;14;H;invierno;23;158;298;463;715;878;1203;11.98
001621-23;0233-44;0016-21;2;2;3;3;2430;bayo;14;H;invierno;23;188;266;413;679;790;1149;11.11
001621-3;0233-44;0016-21;2;1;3;3;2242;blanco;14;H;invierno;23;210;306;477;664;810;894;8.27
001621-31;0233-44;0016-21;2;3;2;2;2692;bayo;14;H;verano;23;216;434;727;982;1098;1481;14.13
001621-32;0233-44;0016-21;2;3;2;2;2692;alazan;14;H;verano;23;240;432;717;955;1110;1436;13.56
0016-31;M6 ;16;1;3;2;2;1952;alazan;18;H;invierno;26;198;330;608;620;761;1052;9.27
0016-32;M6 ;16;1;3;2;2;1952;alazan;14;H;invierno;26;202;368;685;819;1025;1438;13.78
0016-42;M6 ;16;1;4;2;2;2198;alazan;14;H;verano;26;224;479;666;888;1014;1410;12.88
0018-1;008M;18;1;1;4;4;1668;alazan;14;H;verano;23;144;212;NA;NA;NA;NA;NA
0018-2;008M;18;1;1;4;4;1668;alazan;14;H;verano;23;154;198;266;368;470;573;4.98
