personID,momID,dadID,famID,twinID,name,sex,birth_date,death_date,title
1,138,133,1,NA,Victoria Hanover,F,1819-05-24,1901-01-22,Queen of England
2,140,139,1,NA,Albert Augustus Charles,M,1819-08-26,1861-12-14,Prince
3,1,2,1,NA,Victoria Adelaide Mary,F,1840-11-21,1901-08-05,Princess Royal
4,1,2,1,NA,Edward VII Wettin,M,1841-11-09,1910-05-06,King of England
5,1,2,1,NA,Alice Maud Mary,F,1843-04-25,1878-12-14,Princess
6,1,2,1,NA,Alfred Ernest Albert,M,1844-08-06,1900-07-30,Prince
7,1,2,1,NA,Helena Augusta Victoria,F,1846-05-25,1923-06-09,Princess
8,1,2,1,NA,Louise Caroline Alberta,F,1848-03-18,1939-12-03,Princess
9,1,2,1,NA,Arthur William Patrick,M,1850-05-01,1942-01-16,Prince
10,1,2,1,NA,Leopold George Duncan,M,1853-04-07,1884-03-28,Prince
11,1,2,1,NA,Beatrice Mary Victoria,F,1857-04-14,1944-10-26,Princess
12,226,225,1,NA,Alexandra of Denmark (Alix),F,1844-12-01,1925-11-20,Princess
13,12,4,1,NA,Albert Victor Christian,M,1864-01-08,1892-01-14,Duke
14,12,4,1,NA,George V Windsor,M,1865-06-03,1936-01-20,King of England
15,12,4,1,NA,Louise Victoria Alexandra,F,1867-02-20,1931-01-04,Princess Royal
16,12,4,1,NA,Victoria Alexandra Olga,F,1868-07-06,1935-12-03,NA
17,12,4,1,NA,Maude Charlotte Mary,F,1869-11-26,1938-11-20,Princess
18,12,4,1,NA,John Alexander,M,1871-04-06,1871-04-07,NA
19,NA,NA,1,NA,George Victor of Waldeck,M,1831-01-14,1893-05-12,Prince
20,427,412,1,NA,Frederick III,M,1831-10-18,1888-06-15,German Emperor
21,3,20,1,NA,William II,M,1859-01-27,1941-06-04,German Emperor
22,358,357,1,NA,Louis IV of Hesse,M,1837-09-12,1892-03-13,Grand Duke
23,1216,19,1,NA,Helena Frederica of Waldeck,F,1861-02-17,1922-09-01,Princess
24,23,10,1,NA,Alice of Athlone,F,1883-02-25,1981-01-03,Princess
25,348,347,1,NA,Henry Maurice of Battenberg,M,1858-10-05,1896-01-20,Prince
26,11,25,1,NA,Alexander of Carisbrooke,M,1886-11-23,1960-02-23,Marquess
27,11,25,1,NA,Victoria Eugenie (Ena),F,1887-10-24,1969-04-15,Queen of Spain
28,11,25,1,NA,Leopold Mountbatten,M,1889-05-21,1922-04-23,NA
29,11,25,1,NA,Maurice of Battenberg,M,1891-10-03,1914-10-27,Prince
30,136,137,1,NA,Mary of Teck (May),F,1867-05-26,1953-03-24,Queen
31,30,14,1,NA,Edward VIII Windsor,M,1894-06-23,1972-05-28,Duke of Windsor
32,30,14,1,NA,George VI Windsor,M,1895-12-14,1952-02-06,King of England
33,30,14,1,NA,Mary Windsor,F,1897-04-25,1965-03-28,Princess Royal
34,30,14,1,NA,Henry William Frederick Windsor,M,1900-03-31,1974-06-10,Duke
35,30,14,1,NA,George Edward Alexander Windsor,M,1902-12-20,1942-08-25,Duke of Kent
36,30,14,1,NA,John Charles Francis Windsor,M,1905-07-12,1919-01-18,Prince
37,41,40,1,NA,Nicholas II Alexandrovich Romanov,M,1868-05-18,1918-07-16,Tsar of Russia
38,5,22,1,NA,Victoria Alberta of Hesse,F,1863-04-05,1950-09-24,Princess
39,5,22,1,NA,Alexandra Fedorovna (Alix),F,1872-06-06,1918-07-16,Tsarina
40,45,44,1,NA,Alexander III Alexandrovich Romanov,M,1845-03-10,1894-11-01,Tsar of Russia
41,226,225,1,NA,Dagmar (Marie) of Denmark,F,1847-11-26,1928-10-13,Tsarina
42,1295,1294,1,NA,Nicholas I Romanov,M,1796-07-06,1855-03-02,Tsar of Russia
43,410,162,1,NA,Charlotte of Prussia,F,1798-07-13,1860-11-01,Princess
44,43,42,1,NA,Alexander II Nicholoevich Romanov,M,1818-04-29,1881-03-13,Tsar of Russia
45,350,349,1,NA,Marie of Hesse-Darmstadt,F,1824-08-08,1880-06-03,NA
46,39,37,1,NA,Olga Nikolaevna Romanov,F,1895-11-15,1918-07-17,Grand Duchess
47,39,37,1,NA,Tatiana Nikolaevna Romanov,F,1897-06-10,1918-07-17,Grand Duchess
48,39,37,1,NA,Maria Nikolaevna Romanov,F,1899-06-26,1918-07-17,Grand Duchess
49,39,37,1,NA,Anastasia Nikolaevna Romanov,F,1901-06-18,1918-07-17,Grand Duchess
50,39,37,1,NA,Alexis Nicolaievich Romanov,M,1904-08-12,1918-07-18,Tsarevich
51,146,145,1,NA,Elizabeth Angela Marguerite Bowes-Lyon,F,1900-08-04,2002-03-30,Lady
52,51,32,1,NA,Elizabeth II Alexandra Mary Windsor,F,1926-04-21,2022-09-08,Queen of England
53,51,32,1,NA,Margaret Rose Windsor,F,1930-08-21,2002-02-09,Princess
54,NA,NA,1,NA,Antony Armstrong-Jones,M,1930-04-07,2017-01-13,Earl of Snowdon
55,53,54,1,NA,David Albert Charles Armstrong-Jones,M,1961-11-03,NA,Vicount Linley
56,53,54,1,NA,Sarah Frances Elizabeth Armstrong-Jones,F,1964-05-01,NA,Lady
57,101,104,1,NA,Philip Mountbatten,M,1921-06-10,2021-04-09,Prince
58,52,57,1,NA,Charles Philip Arthur Windsor,M,1948-11-14,NA,Prince
59,52,57,1,NA,Anne Elizabeth Alice Windsor,F,1950-08-15,NA,Princess
60,52,57,1,NA,Andrew Albert Christian Windsor,M,1960-02-19,NA,Duke of York
61,52,57,1,NA,Edward Anthony Richard Windsor,M,1964-03-10,NA,Prince
62,NA,2968,1,NA,Mark Anthony Peter Phillips,M,1948-09-22,NA,Captain
63,59,62,1,NA,Peter Mark Andrew Phillips,M,1977-11-15,NA,NA
64,59,62,1,NA,Zara Anne Elizabeth Phillips,F,1981-05-15,NA,NA
65,93,239,1,NA,Diana Frances Spencer,F,1961-07-01,1997-08-31,Lady
66,1362,229,1,NA,Marina of Greece,F,1906-12-13,1968-08-27,Princess
67,66,35,1,NA,Edward George Nicholas Windsor,M,1935-09-09,NA,Duke of Kent
68,NA,NA,1,NA,Henry George Charles Lascelles,M,1882-09-09,1947-05-24,Viscount
69,1607,803,1,NA,Alice Christabel Montagu-Douglas-Scott,F,1901-12-25,2004-10-29,Duchess of Gloucester
70,172,171,2,NA,Bessiewallis Warfield,F,1896-06-19,1986-04-24,NA
71,605,604,1,NA,Charles Haakon VII,M,1872-08-03,1957-09-21,King of Norway
72,3,20,1,NA,Henry of Prussia,M,1862-08-14,1929-04-20,Prince
73,3,20,1,NA,Sigismund of Prussia,M,1864-09-15,1866-06-18,NA
74,3,20,1,NA,Victoria of Prussia,F,1866-04-12,1929-11-13,Princess
75,3,20,1,NA,Waldemar of Prussia,M,1868-02-10,1879-03-27,NA
76,3,20,1,NA,Sophie of Prussia,F,1870-06-14,1932-01-13,Queen of Greece
77,3,20,1,NA,Charlotte of Saxe-Meiningen,F,1860-07-24,1919-10-01,Duchess of Saxe-Meiningen
78,3,20,1,NA,Margarete of Hesse,F,1872-04-22,1954-01-22,Princess
79,5,22,1,NA,Irene of Hesse,F,1866-07-11,1953-11-11,Princess
80,79,72,1,NA,Waldemar,M,1889-03-20,1945-05-02,NA
81,79,72,1,NA,Henry,M,1900-01-09,1904-02-26,Prince
82,79,72,1,NA,Sigismund of Prussia,M,1896-11-27,1978-11-14,NA
83,5,22,1,NA,Ernest Louis of Hesse,M,1868-11-25,1937-10-09,Grand Duke
84,5,22,1,NA,Elizabeth (Ella),F,1864-11-01,1918-07-18,Grand Duchess
85,5,22,1,NA,Mary (May),F,1874-05-24,1878-11-16,NA
86,5,22,1,NA,Frederick of Hesse and by Rhine,M,1870-10-07,1873-05-29,NA
87,69,34,1,NA,William Henry Andrew Windsor,M,1941-12-18,1972-08-28,Prince
88,69,34,1,NA,Richard Alexander Walter Windsor,M,1944-08-26,NA,Prince
89,NA,NA,1,NA,Birgitte of Denmark von Deurs,F,1946-06-20,NA,Duchess
90,89,88,1,NA,Alexander Patrick Gregers,M,1974-10-24,NA,Earl of Ulster
91,NA,NA,3,NA,Earl Winfield Spencer,M,1888-09-20,1950-05-29,Jr.
92,NA,NA,4,NA,Ernest Aldrich Simpson,M,1897-05-06,1958-11-30,NA
93,369,368,1,NA,Frances Burke Roche,F,1936-01-20,2004-06-03,Hon.
94,45,44,1,NA,Marie Alexandrovna,F,1853-10-17,1920-10-25,Grand Duchess
95,94,6,1,NA,Alfred,M,1874-10-15,1899-02-06,Hereditary Prince of Saxe-Coburg and Gotha
96,94,6,1,NA,Marie of Saxe-Coburg and Gotha,F,1875-10-29,1938-07-10,Queen of Romania
97,94,6,1,NA,Victoria Melita of Edinburgh,F,1876-11-25,1936-03-02,Grand Duchess
98,94,6,1,NA,Alexandra of Saxe-Coburg and Gotha,F,1878-09-01,1942-04-16,Princess
99,94,6,1,NA,Beatrice of Saxe-Coburg and Gotha,F,1884-04-20,1966-07-13,Princess
100,348,347,1,NA,Louis of Battenberg,M,1854-05-24,1921-09-11,Prince
101,38,100,1,NA,Alice of Battenberg,F,1885-02-25,1969-12-05,Princess
102,38,100,1,NA,George Mountbatten,M,1892-11-06,1938-04-08,Marquess
103,38,100,1,NA,Louis Mountbatten of Burma,M,1900-06-25,1979-08-27,Earl Mountbatten
104,228,227,1,NA,Andrew of Greece,M,1882-02-02,1944-12-03,Prince
105,NA,NA,1,NA,Alexander Duff,M,1849-11-10,1912-01-29,Duke of Fife
106,66,35,1,NA,Alexandra Windsor,F,1936-12-25,NA,Princess
