time,historical_period,event_experienced,event_effect,component,n_replications,recovered_mean,recovered_median,recovered_lower,recovered_upper,population_variance,recovered_central,historical_period_label,event_experience_label
-3,0,0,0,Additive genetic variance,494,Inf,19.409345098810334,1.398307626718319e-47,655.8246085404642,29.881052304628923,Inf,Before the historical event,Event not experienced
-3,0,0,0,Nuclear-family environmental variance,494,834906475.9304461,338.32125539318065,39.50154597649819,28951.92218894556,228.73896527298757,834906475.9304461,Before the historical event,Event not experienced
-3,0,0,0,Nonshared environmental variance,494,42929.49260421214,85.8791757612782,6.288827075948239e-6,4041.396598510013,44.09270552256641,42929.49260421214,Before the historical event,Event not experienced
-3,0,0,0,Phenotypic variance,494,Inf,478.0419224962758,243.19364010020965,274513.2945451787,302.7127231001829,Inf,Before the historical event,Event not experienced
-3,0,1,0,Additive genetic variance,494,Inf,19.409345098810334,1.398307626718319e-47,655.8246085404642,29.881052304628923,Inf,Before the historical event,Event experienced
-3,0,1,0,Nuclear-family environmental variance,494,834906475.9304461,338.32125539318065,39.50154597649819,28951.92218894556,228.73896527298757,834906475.9304461,Before the historical event,Event experienced
-3,0,1,0,Nonshared environmental variance,494,42929.49260421214,85.8791757612782,6.288827075948239e-6,4041.396598510013,44.09270552256641,42929.49260421214,Before the historical event,Event experienced
-3,0,1,0,Phenotypic variance,494,Inf,478.0419224962758,243.19364010020965,274513.2945451787,302.7127231001829,Inf,Before the historical event,Event experienced
-2.98,0,0,0,Additive genetic variance,494,Inf,19.400079894871414,8.122106267089366e-49,644.6161790462804,29.291711069161593,Inf,Before the historical event,Event not experienced
-2.98,0,0,0,Nuclear-family environmental variance,494,1485395682.7365232,321.2813478294104,38.20292273916972,26276.389804580806,218.0537220274181,1485395682.7365232,Before the historical event,Event not experienced
-2.98,0,0,0,Nonshared environmental variance,494,44444.72429191996,82.1125918804523,7.228999636200152e-6,3748.297667100758,42.878664066853936,44444.72429191996,Before the historical event,Event not experienced
-2.98,0,0,0,Phenotypic variance,494,Inf,456.8675148875653,234.29165770113383,257206.1847955336,290.22409716343367,Inf,Before the historical event,Event not experienced
-2.98,0,1,0,Additive genetic variance,494,Inf,19.400079894871414,8.122106267089366e-49,644.6161790462804,29.291711069161593,Inf,Before the historical event,Event experienced
-2.98,0,1,0,Nuclear-family environmental variance,494,1485395682.7365232,321.2813478294104,38.20292273916972,26276.389804580806,218.0537220274181,1485395682.7365232,Before the historical event,Event experienced
-2.98,0,1,0,Nonshared environmental variance,494,44444.72429191996,82.1125918804523,7.228999636200152e-6,3748.297667100758,42.878664066853936,44444.72429191996,Before the historical event,Event experienced
-2.98,0,1,0,Phenotypic variance,494,Inf,456.8675148875653,234.29165770113383,257206.1847955336,290.22409716343367,Inf,Before the historical event,Event experienced
-2.96,0,0,0,Additive genetic variance,494,Inf,19.39019337003665,9.85822442399692e-49,632.5447373572939,28.71858796295894,Inf,Before the historical event,Event not experienced
-2.96,0,0,0,Nuclear-family environmental variance,494,2613578352.383178,305.24007953953924,36.956574966632765,23861.842773032276,207.93415430622304,2613578352.383178,Before the historical event,Event not experienced
-2.96,0,0,0,Nonshared environmental variance,494,46021.61932965748,78.53592014380541,8.303949119516506e-6,3447.053039723619,41.704722054880676,46021.61932965748,Before the historical event,Event not experienced
-2.96,0,0,0,Phenotypic variance,494,Inf,435.4244013548605,225.80697639658894,236033.1793887098,278.3574643240627,Inf,Before the historical event,Event not experienced
-2.96,0,1,0,Additive genetic variance,494,Inf,19.39019337003665,9.85822442399692e-49,632.5447373572939,28.71858796295894,Inf,Before the historical event,Event experienced
-2.96,0,1,0,Nuclear-family environmental variance,494,2613578352.383178,305.24007953953924,36.956574966632765,23861.842773032276,207.93415430622304,2613578352.383178,Before the historical event,Event experienced
-2.96,0,1,0,Nonshared environmental variance,494,46021.61932965748,78.53592014380541,8.303949119516506e-6,3447.053039723619,41.704722054880676,46021.61932965748,Before the historical event,Event experienced
-2.96,0,1,0,Phenotypic variance,494,Inf,435.4244013548605,225.80697639658894,236033.1793887098,278.3574643240627,Inf,Before the historical event,Event experienced
-2.94,0,0,0,Additive genetic variance,494,Inf,19.379685352184318,2.1637799873012426e-48,612.8357521086466,28.16118404155796,Inf,Before the historical event,Event not experienced
-2.94,0,0,0,Nuclear-family environmental variance,494,4547906056.733231,290.0976013409572,35.760161092435965,21681.637741343562,198.34768264843115,4547906056.733231,Before the historical event,Event not experienced
-2.94,0,0,0,Nonshared environmental variance,494,47661.17659632482,75.13868498130421,9.532110187040212e-6,3167.9790827338056,40.56941108615963,47661.17659632482,Before the historical event,Event not experienced
-2.94,0,0,0,Phenotypic variance,494,Inf,414.1846212958594,217.71736221822897,216751.0462730669,267.07827777614875,Inf,Before the historical event,Event not experienced
-2.94,0,1,0,Additive genetic variance,494,Inf,19.379685352184318,2.1637799873012426e-48,612.8357521086466,28.16118404155796,Inf,Before the historical event,Event experienced
-2.94,0,1,0,Nuclear-family environmental variance,494,4547906056.733231,290.0976013409572,35.760161092435965,21681.637741343562,198.34768264843115,4547906056.733231,Before the historical event,Event experienced
-2.94,0,1,0,Nonshared environmental variance,494,47661.17659632482,75.13868498130421,9.532110187040212e-6,3167.9790827338056,40.56941108615963,47661.17659632482,Before the historical event,Event experienced
-2.94,0,1,0,Phenotypic variance,494,Inf,414.1846212958594,217.71736221822897,216751.0462730669,267.07827777614875,Inf,Before the historical event,Event experienced
-2.92,0,0,0,Additive genetic variance,494,1091337548690273e259,19.36855574090216,5.12723771543286e-48,593.9263789586829,27.619017556260314,1091337548690273e259,Before the historical event,Event not experienced
-2.92,0,0,0,Nuclear-family environmental variance,494,7826483861.173171,275.7993590180131,34.61145388620295,19693.200851954607,189.26373464163515,7826483861.173171,Before the historical event,Event not experienced
-2.92,0,0,0,Nonshared environmental variance,494,49364.39269868806,71.9110314190658,1.0934307865494207e-5,2913.0830666624133,39.47132114004958,49364.39269868806,Before the historical event,Event not experienced
-2.92,0,0,0,Phenotypic variance,494,1091337548690273e259,393.9672215423403,210.00187642522198,199178.19972776325,256.354073337945,1091337548690273e259,Before the historical event,Event not experienced
-2.92,0,1,0,Additive genetic variance,494,1091337548690273e259,19.36855574090216,5.12723771543286e-48,593.9263789586829,27.619017556260314,1091337548690273e259,Before the historical event,Event experienced
-2.92,0,1,0,Nuclear-family environmental variance,494,7826483861.173171,275.7993590180131,34.61145388620295,19693.200851954607,189.26373464163515,7826483861.173171,Before the historical event,Event experienced
-2.92,0,1,0,Nonshared environmental variance,494,49364.39269868806,71.9110314190658,1.0934307865494207e-5,2913.0830666624133,39.47132114004958,49364.39269868806,Before the historical event,Event experienced
-2.92,0,1,0,Phenotypic variance,494,1091337548690273e259,393.9672215423403,210.00187642522198,199178.19972776325,256.354073337945,1091337548690273e259,Before the historical event,Event experienced
-2.9,0,0,0,Additive genetic variance,494,4276225346750626e216,19.356804507672308,1.210698246165404e-47,575.7804964798976,27.09162331500539,4276225346750626e216,Before the historical event,Event not experienced
-2.9,0,0,0,Nuclear-family environmental variance,494,13319851852.169565,262.25764086766526,33.508334477579375,17888.349532708635,180.65361414799213,13319851852.169565,Before the historical event,Event not experienced
-2.9,0,0,0,Nonshared environmental variance,494,51132.25125304622,68.75275529660314,1.2534048828811355e-5,2680.151984974676,38.40909809624033,51132.25125304622,Before the historical event,Event not experienced
-2.9,0,0,0,Phenotypic variance,494,4276225346750626e216,375.01318155175034,202.64079486374376,183151.6728054827,246.15433555923784,4276225346750626e216,Before the historical event,Event not experienced
-2.9,0,1,0,Additive genetic variance,494,4276225346750626e216,19.356804507672308,1.210698246165404e-47,575.7804964798976,27.09162331500539,4276225346750626e216,Before the historical event,Event experienced
-2.9,0,1,0,Nuclear-family environmental variance,494,13319851852.169565,262.25764086766526,33.508334477579375,17888.349532708635,180.65361414799213,13319851852.169565,Before the historical event,Event experienced
-2.9,0,1,0,Nonshared environmental variance,494,51132.25125304622,68.75275529660314,1.2534048828811355e-5,2680.151984974676,38.40909809624033,51132.25125304622,Before the historical event,Event experienced
-2.9,0,1,0,Phenotypic variance,494,4276225346750626e216,375.01318155175034,202.64079486374376,183151.6728054827,246.15433555923784,4276225346750626e216,Before the historical event,Event experienced
-2.88,0,0,0,Additive genetic variance,494,2115587119507569e174,19.344431696040782,2.848856439045242e-47,574.4766899970275,26.578552068717848,2115587119507569e174,Before the historical event,Event not experienced
-2.88,0,0,0,Nuclear-family environmental variance,494,22418608558.548176,249.44510784674785,32.44878671125748,16258.303229194185,172.49037947354847,22418608558.548176,Before the historical event,Event not experienced
-2.88,0,0,0,Nonshared environmental variance,494,52965.71244325101,65.94268874516621,1.4357845622862591e-5,2467.1850831047464,37.38144136666538,52965.71244325101,Before the historical event,Event not experienced
-2.88,0,0,0,Phenotypic variance,494,2115587119507569e174,358.0794589897345,195.6155326253513,168525.09289948962,236.45037290893168,2115587119507569e174,Before the historical event,Event not experienced
-2.88,0,1,0,Additive genetic variance,494,2115587119507569e174,19.344431696040782,2.848856439045242e-47,574.4766899970275,26.578552068717848,2115587119507569e174,Before the historical event,Event experienced
-2.88,0,1,0,Nuclear-family environmental variance,494,22418608558.548176,249.44510784674785,32.44878671125748,16258.303229194185,172.49037947354847,22418608558.548176,Before the historical event,Event experienced
-2.88,0,1,0,Nonshared environmental variance,494,52965.71244325101,65.94268874516621,1.4357845622862591e-5,2467.1850831047464,37.38144136666538,52965.71244325101,Before the historical event,Event experienced
-2.88,0,1,0,Phenotypic variance,494,2115587119507569e174,358.0794589897345,195.6155326253513,168525.09289948962,236.45037290893168,2115587119507569e174,Before the historical event,Event experienced
-2.86,0,0,0,Additive genetic variance,494,13215088936241588e131,19.395111539888724,6.680169620138176e-47,564.8237283234179,26.079369922055456,13215088936241588e131,Before the historical event,Event not experienced
