parameter,true_value,n_requested,n_success,success_rate,mean_estimate,median_estimate,empirical_sd,mcse_mean,bias,relative_bias,rmse,mean_estimated_se,se_bias,se_relative_bias,se_rmse,mc_lower,mc_upper,mc_q25,mc_q75,empirical_interval_excludes_zero
b_a_0,1.0986122886681098,500,494,0.988,-29.482459800384746,1.2160799859077969,320.1292887355679,14.403297636526071,-30.581072089052853,-27.836091407759028,321.2639234237951,27.649488948461254,-292.4797997871067,-0.913630242775755,305.68948548079084,-12.349140729171879,2.9052488952874564,1.1640877841154778,1.2603809330787317,FALSE
b_a_1,0.1,500,494,0.988,45.000358001314645,-0.11613281732956451,1095.8077779624646,49.302722786639094,44.90035800131465,449.00358001314646,1095.6185330294047,76.09259151516582,-1019.7151864472987,-0.9305602743059082,1051.576742760335,-0.6018510939122234,2.869229408976686,-0.1483959541390071,0.018416542114274275,FALSE
b_a_2,0.1,500,494,0.988,-87.47681690018891,-0.01292932183092816,1940.3081676784225,87.29859162851982,-87.57681690018892,-875.7681690018891,1940.3207055323724,255.76705354536293,-1684.5411141330596,-0.8681822517649926,1903.0091428003977,-1.4272695717075883,0.1726996024090301,-0.07218519554929262,0.02325633712679505,FALSE
b_a_3,-0.1,500,494,0.988,12.647318488831067,0.027698237395641583,278.74580240636135,12.541366561144136,12.747318488831066,-127.47318488831066,278.7551445491203,963.8198870777567,685.0740846713953,2.4577018873729273,3619.139654782425,-0.10198233280202738,0.20448288007719867,0.021306711125820686,0.037913705158122785,FALSE
g_a_1,0.2,500,494,0.988,110.3539940297629,0.0018402879186739433,3844.313103370978,172.9638236306038,110.15399402976291,550.7699701488145,3841.9995646623374,17.360153372392627,-3826.952949998585,-0.9954841988918203,3827.472097042485,-26.15313611338033,1.0778880850994916,-0.014944546766559237,0.018481749883630258,FALSE
b_cn_0,0.9162907318741551,500,494,0.988,0.7193264186460748,0.915342001052482,2.8243238945400235,0.12707233954033625,-0.19696431322808028,-0.21495831658715467,2.828330430214773,20.878350971030653,18.05402707649063,6.392335918480396,65.44274117562995,0.2605732191198376,1.2485473588231129,0.8904292473656028,0.9361041475732871,TRUE
b_cn_1,0,500,494,0.988,-0.24496842748555586,-0.025516524004585275,4.406432580923948,0.19825477459126925,-0.24496842748555586,,4.408781312907751,483.9761321083921,479.5696995274682,108.83400363450274,8802.007870863501,-0.36692420506388945,0.09197662908388202,-0.056054736861470174,-0.008280197779828883,FALSE
b_cn_2,0.2,500,494,0.988,0.06561780003366224,0.21212512752807353,2.100582520249363,0.09450967566490617,-0.13438219996633777,-0.6719109998316888,2.1027537709514807,1226.6571046049437,1224.5565220846943,582.9604456288275,16057.708384016218,0.0940129513034621,0.37994855172546044,0.20528757164512004,0.21900242765764188,TRUE
b_cn_3,0,500,494,0.988,-0.02424304038856437,-0.0015413149335211222,0.3060966125809864,0.013771937687894906,-0.02424304038856437,,0.30674614092626623,4335.722554565203,4335.416457952621,14163.555817872913,35445.94236136314,-0.03413692213751834,0.006106648927032256,-0.0023799640496374183,-7.948987503794661e-4,FALSE
g_cn_1,0,500,494,0.988,-39.63642481688176,-3.815925247865051e-4,479.4903028838936,21.57328863454735,-39.63642481688176,,480.6418520576864,46.43204586048887,-433.05825702340474,-0.9031637437061325,462.74304118024725,-21.853629499008026,0.008475411408816493,-0.003005063906402367,0.0021305529497679856,FALSE
b_e_0,0.6931471805599453,500,494,0.988,-3.0989723144679466,0.6134171535336812,82.1295226233104,3.6951819177859284,-3.792119495027892,-5.4708719899351,82.1339411400177,28.650135230099902,-53.47938739321049,-0.6511591165395586,105.31108673219408,-0.08133327422841768,3.2826330441630676,0.5263431584511468,0.7105073232681213,FALSE
b_e_1,-0.1,500,494,0.988,0.07358952733897116,0.041416317595248955,2.029196055868135,0.09129784678863173,0.17358952733897118,-1.7358952733897117,2.034560065548403,65.11278725584415,63.08359119997602,31.08797250888972,228.3062894463071,-0.39266834566472053,0.7780278089210202,-0.031189322457184327,0.08013448015112667,FALSE
b_e_2,0.1,500,494,0.988,0.10773774340692831,0.1904841745062771,0.9446101631213702,0.04250002048754404,0.007737743406928305,0.07737743406928305,0.943685318951064,194.81681391434694,193.87220375122556,205.24043814073963,722.0362430472796,-0.679978340967197,0.2957512211936384,0.1577373219457338,0.2165309190750758,FALSE
b_e_3,0,500,494,0.988,-0.07144680675969033,-0.07758696870579206,0.22432690863607035,0.010092944777808225,-0.07144680675969033,,0.23521339375147093,692.6108450332332,692.3865181245972,3086.5067518398714,2606.7887326408113,-0.10175976276406676,0.05892699090131481,-0.08450438325147738,-0.05637088481500691,FALSE
g_e_1,0,500,494,0.988,-390.8150392199743,0.025690941206727845,2563.5664870225537,115.34030912775702,-390.8150392199743,,2590.618872268937,11.651074655372705,-2551.915412367181,-0.9954551306882995,2552.3662445040127,-6115.74167265027,0.37068102754189947,-0.018449679361432634,0.08540220722988962,FALSE
