replication,seed,converged,status_code,status_message,error_message,n_families,total_n,mean_family_size,min_family_size,max_family_size,minus2ll,iterations,elapsed_seconds,mean_H,z_year,b_a_0,b_a_1,b_a_2,b_a_3,g_a_1,b_cn_0,b_cn_1,b_cn_2,b_cn_3,g_cn_1,b_e_0,b_e_1,b_e_2,b_e_3,g_e_1,se_b_a_0,se_b_a_1,se_b_a_2,se_b_a_3,se_g_a_1,se_b_cn_0,se_b_cn_1,se_b_cn_2,se_b_cn_3,se_g_cn_1,se_b_e_0,se_b_e_1,se_b_e_2,se_b_e_3,se_g_e_1
1,202607201,TRUE,0,0,,250,30500,122,122,122,199895.31709855798,45,698.6597571372986,0.2815081967213115,2.066878910464796,1.2629745368365928,-0.11244279516498111,-0.04454855633771041,0.0340592123674592,0.00318710436795416,0.9245641622241741,-0.02475764525565334,0.21333966977746566,-0.001700968502043833,-0.001291491715466886,0.4894927467424959,0.03083044656643313,0.232680014914377,-0.07451602925472708,-0.02797768963451265,0.027203984781173203,0.02357833325162206,0.018535529140213912,0.0032637410108882696,0.020592338708645765,0.01831040232266927,0.015364814719147572,0.005750793702669346,7.072799525521347e-4,0.0033435433120086776,0.04722557265789761,0.015340997521820934,0.010576040098321731,0.0023370680066697883,0.052848366000637144
2,202607202,TRUE,0,0,,250,30500,122,122,122,201732.3833080392,60,766.0755829811096,0.28101639344262297,2.067220316456117,1.2322589278125338,-0.308478028184602,0.1028405564962793,0.010090068858300442,-0.009805120349500115,0.9063937455892087,0.010720168026109074,0.19523483863056496,6.666534657543196e-4,0.004995613903024482,0.7417008951163082,0.12994447233776033,0.16443135321733365,-0.08926804711485593,0.13365391926511025,0.026276259491799358,0.012706017224344281,0.00976228324465151,0.002095184913236187,0.017441697580082523,0.021292338549908117,0.017585798647199193,0.006021680248851807,6.968584504842655e-4,0.0033008265881861705,0.03265442655809908,0.017848494433161177,0.008316848037684026,0.002334787679037898,0.05115653098046738
3,202607203,TRUE,0,0,,250,30500,122,122,122,203718.8633427746,44,699.9630620479584,0.2824918032786885,2.066998344913539,1.5278160623862895,0.023475112187760078,0.09697068305741291,-0.07763962039473417,0.12637754889958555,1.1755550678211428,-0.1787341603436473,0.24612482247595782,-0.003962347120014607,-0.005355872388696825,-1.0883410986799544,0.13536590121483555,0.3997919745458921,-0.061662663445641634,-0.00752042680896073,0.010934359308873532,0.011148238264810116,0.0029995261594635923,0.0014474096007257686,0.021972995099348917,0.013802614638748259,0.008680783929092961,0.0031102603260452083,3.891275864663085e-4,0.0030890880525075563,0.09468293990224722,0.03200057116088071,0.0060905038886525575,0.0019592536376180397,0.017932286138364784
4,202607204,TRUE,0,0,,250,30500,122,122,122,203224.96069534906,39,486.15800404548645,0.2805573770491803,2.0674762726134,-1000.7483894028718,-259.26132354599054,19.20133685633909,6.5795148322294255,324.83356994159095,1.1226728760708988,-0.06619589309946168,0.2044264646038086,6.038676901674687e-4,8.812498223911634e-6,0.9465176463114223,-0.23183128253257226,0.2761382947713273,-0.04270242139283238,-0.09550543512812779,,,,,,228.0695979989658,1108.240282013791,7181.913217697486,42168.35852136099,731.9697437365976,411.51252370773744,1057.188920789106,3587.2497665399774,13612.19441625185,216.56127239152204
5,202607205,TRUE,0,0,,250,30500,122,122,122,199689.65000459916,29,506.9880120754242,0.28301639344262297,2.066800643399544,1.1668538780837743,-0.1296570648898436,0.016011703367791265,0.022039429037866067,-0.003434897139209404,0.8735898453306624,0.012158600942541235,0.2017131245289621,-5.57317662469845e-4,-0.002005956918385979,0.672680147248352,0.07082822101659712,0.17636252158816398,-0.08533475693876279,0.12153409024711476,0.029720001419516338,0.0245541459665312,0.018357851049458137,0.0032485808096818585,0.01699135916491147,0.020160747984166463,0.01758868813891534,0.006448433294755499,7.753884119351354e-4,0.003416362350392828,0.03655732599851073,0.019990808677810678,0.010193531678729825,0.0030661801920572407,0.05976918189508037
6,202607206,TRUE,0,0,,250,30500,122,122,122,199998.3575591156,40,479.76660418510437,0.28272131147540985,2.0669141511731293,1.2111175507451675,-0.09794993858430213,-0.028104232382011575,0.030326753135722914,-0.01644874879820842,0.9248396770403903,-0.028445317046968104,0.21525794143903704,-0.002036061974377918,-0.0021960615695714187,0.5973319911756841,0.03627323916145559,0.20040786301701086,-0.07759706909676325,0.09418241709229923,0.028181468719947513,0.02692183735789098,0.018524445464570837,0.003117966272539055,0.0183162272091278,0.018550656795657854,0.015099473983061825,0.005400270551646552,6.473532453041231e-4,0.0033012537711699227,0.040532426502535995,0.01850136668008552,0.010115900356247601,0.0027840465793272377,0.054253733260787744
7,202607207,TRUE,0,0,,250,30500,122,122,122,202280.76055921725,39,662.1342010498047,0.28537704918032786,2.0669282858450817,1.3751221995563478,-0.23461336315615577,0.02262256526358511,0.023929404895401386,-0.019198268987493994,0.8188569058434776,0.08502826883208747,0.17792268618014012,0.0017993425758658602,0.005520747535244603,0.8708984609440982,0.09664544094686064,0.14635161231536245,-0.09086695590442347,0.15353688023052064,0.027855085377617713,0.016015765128628925,0.011165370188821688,0.002193742114167416,0.017040389276984414,0.027086047770134805,0.02407588986075339,0.007882997131368554,8.636249474025223e-4,0.0034072080862681906,0.0378572521860375,0.019126868832242617,0.010252886472014238,0.003128338921459611,0.061194730736310786
8,202607208,TRUE,0,0,,250,30500,122,122,122,199729.75025816838,52,758.1020038127899,0.2817377049180328,2.0666981947638154,1.210249315279839,-0.11056062882323153,-0.012259476200012021,0.02685127683142708,-3.698790348526873e-4,0.9086825024587867,-0.027685588402240772,0.21638620681770018,-0.002170703470571781,-0.0019469742298647954,0.5556082294680337,0.04498031544205989,0.20612520526293185,-0.078272702442367,-0.009843038090142786,0.028735414357031915,0.026145240147321804,0.020654807029194457,0.003651021551278045,0.019035226766375177,0.018713371052298956,0.015604876229065475,0.005548226036979011,6.530053133745633e-4,0.003428220848380578,0.04467217526938476,0.0221609106992183,0.012162414513516162,0.0035710844869356884,0.06378250333600566
9,202607209,TRUE,0,0,,250,30500,122,122,122,217500.7998404729,32,448.7217071056366,0.27898360655737703,2.0669973491891143,-1.601326782572412,1.3264664526126937,-0.20764990648715648,0.03817760165841579,1.073749208354034,1.0707415378386083,-0.11244940789689205,0.1925592432276035,0.004111355264738426,-4233.046284350939,1.0809953953602736,0.12741446871599013,0.1337139011759674,-0.09187668288119655,-0.015374074688109616,292.3848821283815,982.4311453821408,3614.3646946424187,14322.480904840762,256.55266251610084,206.29957070827868,650.5446217357929,2930.9943474939355,13828.935840446367,,256.60895144987154,393.597277252872,942.9242701659917,2978.3083546787507,28.49229874413984
10,202607210,TRUE,0,0,,250,30500,122,122,122,200023.6077298641,44,692.6768989562988,0.2843934426229508,2.066907002058709,1.2220552724144813,-0.07684620510967527,-0.02899470009284984,0.02904580827122152,-0.0014129461856704475,0.9302744462959338,-0.040344628508818176,0.21462354932213024,-0.0015937276422552536,-0.0035829902513112508,0.6134936391935242,0.052182581573140714,0.1904379295947756,-0.08192853294050628,0.07108978447003304,0.03377191125140587,0.02573159572090161,0.02014763716678433,0.0036832290485103764,0.017422999108126523,0.0175216202679817,0.013175808742413116,0.004981788663948525,6.291200397714797e-4,0.003442638719602154,0.05361791031380672,0.023166971664135595,0.015766856847295042,0.004518630713666118,0.06696040388100104
