parameter,true_value,n_requested,n_success,success_rate,mean_estimate,median_estimate,empirical_sd,mcse_mean,bias,relative_bias,rmse,mean_estimated_se,se_bias,se_relative_bias,se_rmse,mc_lower,mc_upper,mc_q25,mc_q75,empirical_interval_excludes_zero
b_a_0,1.0986122886681098,50,50,1,1.0902989957311273,1.0909891706938875,0.02700767939792763,0.003819462649277368,-0.008313292936982504,-0.007567085333681303,0.027998880173823074,7.1369296117474335,7.109921932349506,263.25556622591824,50.26668201088546,1.0353094507719005,1.1358951813702167,1.0709155344561367,1.1068812701528787,TRUE
b_a_1,0.1,50,50,1,0.10927277130467893,0.10676417638291097,0.016740017695433658,0.0023673960059247883,0.009272771304678925,0.09272771304678924,0.018989679203805423,19.468115678893714,19.45137566119828,1161.9686439461905,137.5199151959545,0.08749194648613587,0.14793794878634753,0.10029175243642764,0.11758526939390312,TRUE
b_a_2,0.1,50,50,1,0.09924792982071638,0.10011019516139333,0.009614529434941831,0.0013596997922730068,-7.520701792836293e-4,-0.007520701792836293,0.009547565254284641,62.346883801557304,62.33726927212236,6483.652652367121,440.7858671032291,0.07987220118607842,0.11833820156322059,0.09302442510522753,0.10505166415675429,TRUE
b_a_3,0,50,50,1,-4.8094882792925e-4,-5.032335557317539e-4,0.0019856015559495854,2.8080646498930236e-4,-4.8094882792925e-4,,0.002023628682168778,217.23774136633534,217.23575576477938,109405.51245735175,1536.0893389387238,-0.004636545438434354,0.0027549306435502643,-0.0013626729703568713,7.520796978868535e-4,FALSE
g_a_1,0.2,50,50,1,0.20023607760914147,0.19925032369761436,0.018586155689539426,0.0026284793448524517,2.360776091414546e-4,0.001180388045707273,0.018400869878541632,5.037644157761368,5.019058002071828,270.04282574134635,35.456789107803466,0.17017123064236744,0.23600269141498123,0.1858388509442488,0.21407886349878227,TRUE
b_cn_0,0.9162907318741551,50,50,1,0.9178689184027371,0.9213343349651208,0.018506850127967194,0.0026172638447777455,0.001578186528581973,0.001722364391216743,0.018388695014732725,4.035310329668439,4.016803479540472,217.0441459116998,28.398639037096935,0.8813203349260152,0.9487024675380651,0.9054640157248468,0.9312795025281039,TRUE
b_cn_1,0,50,50,1,6.97990983378743e-4,0.0010988052798051131,0.008422209909390611,0.0011910803479013277,6.97990983378743e-4,,0.008366728080651281,14.589850136143216,14.581427926233825,1731.3066384127753,103.1101507214138,-0.01492968656874839,0.01357707001674551,-0.004441585409830528,0.007643324964635006,FALSE
b_cn_2,0.2,50,50,1,0.1993089845400741,0.19924336065716866,0.0027530693151405243,3.893427963624938e-4,-6.910154599259183e-4,-0.0034550772996295915,0.0028116374600480726,67.97854128377817,67.97578821446302,24690.910555949205,480.66372007174607,0.19410584288707045,0.20357164903839903,0.19792901680507302,0.20112277142216628,TRUE
b_cn_3,0,50,50,1,7.432674975229861e-5,1.0507773482976595e-4,5.371880504004902e-4,7.59698626421135e-5,7.432674975229861e-5,,5.369581428677274e-4,329.51441488256097,329.5138776945106,613405.0775121448,2330.0152585807427,-9.445669235271852e-4,0.0012170684369016643,-2.776951488208491e-4,4.23033782210465e-4,FALSE
g_cn_1,0,50,50,1,0.0026125526493709725,0.0028725438993277095,0.007316850932281479,0.0010347589822294692,0.0026125526493709725,,0.007700065763333393,5.084454548656866,5.077137697724584,693.896560790186,35.8923618796322,-0.009548708551574893,0.01868612852037862,-0.0022680866851586827,0.00789769116960445,FALSE
b_e_0,0.6931471805599453,50,50,1,0.7034537185024891,0.7032033668939504,0.04489878118792122,0.006349646528998017,0.010306537942543745,0.014869191178441802,0.04562682616048048,2.092712359073405,2.0478135778854836,45.60955829323027,14.512278234422586,0.6232676636243287,0.7772417133369172,0.6791854632931621,0.7266653762594607,TRUE
b_e_1,-0.1,50,50,1,-0.10436061838549661,-0.10572108299787461,0.03142192103954158,0.00444373068899362,-0.004360618385496603,0.04360618385496602,0.03141027494440017,2.9813750569037887,2.9499531358642472,93.88201097418596,20.870162739124495,-0.16399197134396654,-0.052047122656154854,-0.12160609506358361,-0.08117303863238505,TRUE
b_e_2,0.1,50,50,1,0.09531828042553603,0.09938632896665231,0.016476689371664736,0.00233015575724169,-0.004681719574463972,-0.04681719574463972,0.016969683702745972,6.949045831501506,6.932569142129841,420.75012678529384,49.03109920690435,0.06179000793082614,0.12097193171111933,0.08625357142469477,0.10529635439113696,TRUE
b_e_3,0,50,50,1,7.242735232593038e-4,0.0011037864742171623,0.005896985694280741,8.339597145971946e-4,7.242735232593038e-4,,0.005882475976106926,19.776148404406843,19.77025141871256,3352.6029133641896,139.79902903498464,-0.010292439984157336,0.012864418131455353,-0.0025978695567718682,0.004723496801312763,FALSE
g_e_1,0,50,50,1,-0.8130686172973298,0.0032852115655026505,5.065658548483707,0.7163923021616865,-0.8130686172973298,,5.080232197022428,0.3011064513883263,-4.764552097095381,-0.940559268157058,4.882005729496679,-3.9638061092677135,0.18489668190247016,-0.04907689328529287,0.07433721926522845,FALSE
