replication,seed,converged,status_code,status_message,error_message,n_families,total_n,mean_family_size,min_family_size,max_family_size,minus2ll,iterations,elapsed_seconds,mean_H,z_year,b_a_0,b_a_1,b_a_2,b_a_3,g_a_1,b_cn_0,b_cn_1,b_cn_2,b_cn_3,g_cn_1,b_e_0,b_e_1,b_e_2,b_e_3,g_e_1,se_b_a_0,se_b_a_1,se_b_a_2,se_b_a_3,se_g_a_1,se_b_cn_0,se_b_cn_1,se_b_cn_2,se_b_cn_3,se_g_cn_1,se_b_e_0,se_b_e_1,se_b_e_2,se_b_e_3,se_g_e_1
1,202607201,TRUE,0,0,,250,30500,122,122,122,221586.3376959428,25,817.8238489627838,0.2815081967213115,2.066878910464796,1.0818056112623189,0.1110209398047389,0.10197021616442277,-0.001313995906189307,0.23792475729677712,0.9157467487932897,-9.280264113791444e-4,0.20057922070138046,1.1988138409573892e-4,-0.006379888028603487,0.7156364262135808,-0.1143719235371895,0.10713535170171125,0.001036835461352583,-0.35461473491066053,0.028092979165838982,0.02027805727940343,0.010972244848508448,0.0020115993633619206,0.025610200463470956,0.019461112541906807,0.008216367078066182,0.0022526113608092465,4.7584030172925323e-4,0.008671708549657648,0.03857179858152746,0.027359526706881878,0.014060489201124739,0.004843251535572819,0.2472954233784671
2,202607202,TRUE,0,0,,250,30500,122,122,122,221264.482104938,168,2461.599988937378,0.28101639344262297,2.067220316456117,1.0708674364425472,0.08921627035820497,0.10604254598320435,-9.643725470335339e-4,0.18845519167397304,0.9395469417236284,-0.0034265965209034507,0.19377377830750736,0.0013420074452353678,0.011185004603775445,0.7093542402931355,-0.060634519310759964,0.10306243754544041,-0.002522381134045881,0.11732072287121237,0.028888856845564047,0.01966530711058889,0.008986875078970037,0.0016522056661161437,0.027941930121847036,0.01907384518226669,0.007932645313084125,0.0020827018211576572,4.5306496768934325e-4,0.00842627493586941,0.03901791153381448,0.027794020080306254,0.0130040268131603,0.004958164008724476,0.1053251215356919
3,202607203,TRUE,0,0,,250,30500,122,122,122,221062.51505199328,34,693.794764995575,0.2824918032786885,2.066998344913539,1.0737464159963936,0.0943056729146148,0.09854558229346244,-0.0013656339210704703,0.21405713181553185,0.9229502417502635,-9.761916206104946e-4,0.2005137221753933,-2.9405153347053287e-4,-0.00609880371937412,0.7268865823278007,-0.10763873724229726,0.10550362861557988,0.005822805784540121,0.05164602752167283,0.03003293108546197,0.02025234947429974,0.009208647900372194,0.0019403477564426108,0.02482946650587449,0.019097926880249225,0.0075553624637645055,0.0021770385538309018,4.669856192925124e-4,0.00842777945499192,0.03859599343760339,0.02477147509170729,0.012832050577232072,0.003104279348190153,0.07867094749092636
4,202607204,TRUE,0,0,,250,30500,122,122,122,221661.78701047457,29,869.3059599399567,0.2805573770491803,2.0674762726134,1.0582486914498968,0.15350951249315978,0.08682125725321889,6.936691225318751e-4,0.19249070010864328,0.9537016661496713,-0.012787807717698278,0.19986886425468608,3.4251627878629316e-4,0.004952961394444546,0.7567338073124334,-0.16701950513942806,0.061791629763044705,0.012434583979969922,0.1723448116579533,0.029717498176432943,0.022444930263051197,0.010727383664508847,0.0019471988308514742,0.022485969398777055,0.018239694784395945,0.00714027798211441,0.002006896285137611,4.5594888058125865e-4,0.008523887547705705,0.03756191340669137,0.030354487158263964,0.016741059817322525,0.004317672732437207,0.13510455526471835
5,202607205,TRUE,0,0,,250,30500,122,122,122,221105.6863027412,168,2468.143707036972,0.28301639344262297,2.066800643399544,1.0903618441768863,0.12031837380452634,0.09122370000385746,1.9988688004699302e-4,0.20276164601198937,0.8874530427472906,0.010550794956848667,0.20094325151488573,-4.478922715669042e-4,-0.004725665829673762,0.7157307384529679,-0.12509933408464188,0.0997848457780055,0.005122541908776106,0.009211433811908755,0.02697844390992266,0.01918481007788534,0.00999450165541707,0.0018545658953473332,0.023426579385185213,0.019470584363209482,0.007744535611223359,0.002201932831872666,4.948220665536192e-4,0.008601330307023508,0.03734289883154993,0.02553173195452016,0.013453790472454768,0.003994941556498639,0.11410267146486923
6,202607206,TRUE,0,0,,250,30500,122,122,122,221463.80531270415,143,1256.2906911373138,0.28272131147540985,2.0669141511731293,1.1019791947157498,0.10367171196253212,0.10298427954438195,8.657727275363937e-5,0.17177197931811872,0.914581079411989,0.012848517882458839,0.19674925031890994,6.085024662827713e-5,-0.004201876187169476,0.6805727008992783,-0.07238777743957388,0.0908006596138063,-0.009115925952360568,0.1548403494220384,0.027771997963907703,0.019232841537447695,0.011027551138024474,0.001962743884115703,0.021151971157152866,0.01956406753924657,0.008269227766010296,0.002640302318206457,5.174440992301438e-4,0.00844920579930713,0.04167491803024332,0.032593611168024256,0.01624674021347501,0.006194663842459207,0.15557650543240642
7,202607207,TRUE,0,0,,250,30500,122,122,122,220616.5998453814,21,754.8387751579285,0.28537704918032786,2.0669282858450817,1.1322512695617206,0.09867978951986543,0.08122345724852195,0.0014075639333425082,0.20803552129795652,0.9231804295124525,0.007896115459555838,0.19830309932258497,-1.579780243604558e-4,0.022221894743514436,0.5994001965897976,-0.07062758964665941,0.1259786353413247,0.001549736929218051,0.02613820921511582,0.027332926379138665,0.018971293391584643,0.009371231717018924,0.0021628616152066676,0.02475456325829958,0.01863356668048017,0.0074787399435531044,0.002458699325061212,4.887605417422981e-4,0.008361896088248713,0.046698106103590396,0.02599291869488015,0.013997934057241843,0.0036387011779314095,0.07234658199038496
8,202607208,TRUE,0,0,,250,30500,122,122,122,221121.40995655578,33,896.0624079704285,0.2817377049180328,2.0666981947638154,1.1137083894086353,0.1168091246683975,0.09812956085318872,-0.0011129337353134301,0.2153036534568133,0.8979794209166069,0.005206818237631774,0.20187277439142448,-4.4053698629655934e-4,-0.004365341387858254,0.6392296488083137,-0.14709150303072793,0.10081084422361526,0.005935625253943862,-0.3487277981354339,0.025367050200063686,0.018848567983426396,0.009233380060142845,0.0016714671628025324,0.022473383763418172,0.019196717780750775,0.007605311324082391,0.002216562577660143,4.720939809389676e-4,0.00873441964469949,0.04097261205259158,0.03289220657969285,0.013855651825354951,0.00454159145972755,0.31712529187275645
9,202607209,TRUE,0,0,,250,30500,122,122,122,221288.2275565827,111,897.9169068336487,0.27898360655737703,2.0669973491891143,1.106089191559127,0.10030943511234193,0.10471718301709002,-8.297337880853429e-4,0.18056331000568832,0.9020022677329707,0.013788585152506158,0.19963212842352662,-2.0452091431393592e-4,0.002896063916253931,0.7202604605554404,-0.10679767635941041,0.09126412715813982,-0.0026230323643471973,0.03067643282281988,0.02726125925644388,0.019206795158921985,0.009508096915299838,0.0016828750779654884,0.022318600388041374,0.019488943102399955,0.008077160668654439,0.0025070281342487837,5.047021901749637e-4,0.008240737010297011,0.039211152566214325,0.030895684384149514,0.014383587638269683,0.005404320223254492,0.15598478087059714
10,202607210,TRUE,0,0,,250,30500,122,122,122,221515.52061962304,170,2485.4343309402466,0.2843934426229508,2.066907002058709,1.0727656594668205,0.11370253501886601,0.09927665479152248,-8.875656074710057e-4,0.20673453559098098,0.9332393944528015,-0.010837640187110588,0.19837204962105975,5.046041807773724e-4,-0.0073608280033378645,0.7562601663413058,-0.09728787516620115,0.08144922181342636,0.006857356937429576,-0.0032289963578647253,0.029235715568746726,0.021701993181816422,0.012149904092337,0.0024265160501154154,0.026573972212956737,0.019289574118322,0.007379087674558677,0.002201800929791382,4.995022994110598e-4,0.008821581331555996,0.03846505566778952,0.02770090568754199,0.015773377840645298,0.006362631203109207,0.11982568561857365
