time,historical_period,event_experienced,event_effect,component,n_replications,recovered_mean,recovered_median,recovered_lower,recovered_upper,population_variance,recovered_central,historical_period_label,event_experience_label
-3,0,0,0,Additive genetic variance,100,9.324973679582143,9.163378575202271,6.22886998071032,12.954769922691007,9.000000000000002,9.324973679582143,Before the historical event,Event not experienced
-3,0,0,0,Nuclear-family environmental variance,100,6.117028986762607,6.07700447146672,4.206064071528635,8.576736404222963,6.250000000000002,6.117028986762607,Before the historical event,Event not experienced
-3,0,0,0,Nonshared environmental variance,100,4.0262996963745925,3.8743617843378035,2.338790295900902,6.434364966612774,4,4.0262996963745925,Before the historical event,Event not experienced
-3,0,0,0,Phenotypic variance,100,19.468302362719342,19.354191709233408,17.29857255655392,22.365981788411045,19.250000000000004,19.468302362719342,Before the historical event,Event not experienced
-3,0,1,0,Additive genetic variance,100,9.324973679582143,9.163378575202271,6.22886998071032,12.954769922691007,9.000000000000002,9.324973679582143,Before the historical event,Event experienced
-3,0,1,0,Nuclear-family environmental variance,100,6.117028986762607,6.07700447146672,4.206064071528635,8.576736404222963,6.250000000000002,6.117028986762607,Before the historical event,Event experienced
-3,0,1,0,Nonshared environmental variance,100,4.0262996963745925,3.8743617843378035,2.338790295900902,6.434364966612774,4,4.0262996963745925,Before the historical event,Event experienced
-3,0,1,0,Phenotypic variance,100,19.468302362719342,19.354191709233408,17.29857255655392,22.365981788411045,19.250000000000004,19.468302362719342,Before the historical event,Event experienced
-3,1,0,0,Additive genetic variance,100,9.324973679582143,9.163378575202271,6.22886998071032,12.954769922691007,9.000000000000002,9.324973679582143,After the historical event,Event not experienced
-3,1,0,0,Nuclear-family environmental variance,100,6.117028986762607,6.07700447146672,4.206064071528635,8.576736404222963,6.250000000000002,6.117028986762607,After the historical event,Event not experienced
-3,1,0,0,Nonshared environmental variance,100,4.0262996963745925,3.8743617843378035,2.338790295900902,6.434364966612774,4,4.0262996963745925,After the historical event,Event not experienced
-3,1,0,0,Phenotypic variance,100,19.468302362719342,19.354191709233408,17.29857255655392,22.365981788411045,19.250000000000004,19.468302362719342,After the historical event,Event not experienced
-3,1,1,1,Additive genetic variance,100,9.408574381794988,9.027757423519766,5.57614477758702,14.027895079726928,9.000000000000002,9.408574381794988,After the historical event,Event experienced
-3,1,1,1,Nuclear-family environmental variance,100,6.144071154386727,5.8907552985096405,3.91501173283262,9.644876352942404,6.250000000000002,6.144071154386727,After the historical event,Event experienced
-3,1,1,1,Nonshared environmental variance,100,4.000312250464512,3.5146120121286932,2.125553017214856,7.231550489579625,4,4.000312250464512,After the historical event,Event experienced
-3,1,1,1,Phenotypic variance,100,19.55295778664623,19.357974433339322,17.161561755257758,22.77472598161588,19.250000000000004,19.55295778664623,After the historical event,Event experienced
-2.98,0,0,0,Additive genetic variance,100,9.322468573685562,9.159974779659827,6.237407274209344,12.933189427984452,9.000000000000002,9.322468573685562,Before the historical event,Event not experienced
-2.98,0,0,0,Nuclear-family environmental variance,100,6.1170207641396726,6.077992561862294,4.2105924676927415,8.564874506264395,6.250000000000002,6.1170207641396726,Before the historical event,Event not experienced
-2.98,0,0,0,Nonshared environmental variance,100,4.025604460243915,3.874835256187336,2.3426917143920414,6.421151235880718,4,4.025604460243915,Before the historical event,Event not experienced
-2.98,0,0,0,Phenotypic variance,100,19.465093798069148,19.352171241236668,17.30206663176145,22.35015709212734,19.250000000000004,19.465093798069148,Before the historical event,Event not experienced
-2.98,0,1,0,Additive genetic variance,100,9.322468573685562,9.159974779659827,6.237407274209344,12.933189427984452,9.000000000000002,9.322468573685562,Before the historical event,Event experienced
-2.98,0,1,0,Nuclear-family environmental variance,100,6.1170207641396726,6.077992561862294,4.2105924676927415,8.564874506264395,6.250000000000002,6.1170207641396726,Before the historical event,Event experienced
-2.98,0,1,0,Nonshared environmental variance,100,4.025604460243915,3.874835256187336,2.3426917143920414,6.421151235880718,4,4.025604460243915,Before the historical event,Event experienced
-2.98,0,1,0,Phenotypic variance,100,19.465093798069148,19.352171241236668,17.30206663176145,22.35015709212734,19.250000000000004,19.465093798069148,Before the historical event,Event experienced
-2.98,1,0,0,Additive genetic variance,100,9.322468573685562,9.159974779659827,6.237407274209344,12.933189427984452,9.000000000000002,9.322468573685562,After the historical event,Event not experienced
-2.98,1,0,0,Nuclear-family environmental variance,100,6.1170207641396726,6.077992561862294,4.2105924676927415,8.564874506264395,6.250000000000002,6.1170207641396726,After the historical event,Event not experienced
-2.98,1,0,0,Nonshared environmental variance,100,4.025604460243915,3.874835256187336,2.3426917143920414,6.421151235880718,4,4.025604460243915,After the historical event,Event not experienced
-2.98,1,0,0,Phenotypic variance,100,19.465093798069148,19.352171241236668,17.30206663176145,22.35015709212734,19.250000000000004,19.465093798069148,After the historical event,Event not experienced
-2.98,1,1,1,Additive genetic variance,100,9.405756307526408,9.029134452396335,5.584212452365349,14.005797561044874,9.000000000000002,9.405756307526408,After the historical event,Event experienced
-2.98,1,1,1,Nuclear-family environmental variance,100,6.1439677503162855,5.8925914230857765,3.920094203268118,9.63309174071691,6.250000000000002,6.1439677503162855,After the historical event,Event experienced
-2.98,1,1,1,Nonshared environmental variance,100,3.9993439499779115,3.5108309427464506,2.1295911231826725,7.218133397122478,4,3.9993439499779115,After the historical event,Event experienced
-2.98,1,1,1,Phenotypic variance,100,19.549068007820605,19.355513399121637,17.16664048079076,22.75625497988913,19.250000000000004,19.549068007820605,After the historical event,Event experienced
-2.96,0,0,0,Additive genetic variance,100,9.31997166136833,9.156572248558513,6.2459562971318245,12.911645271350809,9.000000000000002,9.31997166136833,Before the historical event,Event not experienced
-2.96,0,0,0,Nuclear-family environmental variance,100,6.117015788677854,6.0789809214744,4.215126041548096,8.553030224004472,6.250000000000002,6.117015788677854,Before the historical event,Event not experienced
-2.96,0,0,0,Nonshared environmental variance,100,4.024915178434691,3.8753101513787396,2.346599964052132,6.407964793249513,4,4.024915178434691,Before the historical event,Event not experienced
-2.96,0,0,0,Phenotypic variance,100,19.461902628480875,19.350157601028073,17.305566469080482,22.334358590779477,19.250000000000004,19.461902628480875,Before the historical event,Event not experienced
-2.96,0,1,0,Additive genetic variance,100,9.31997166136833,9.156572248558513,6.2459562971318245,12.911645271350809,9.000000000000002,9.31997166136833,Before the historical event,Event experienced
-2.96,0,1,0,Nuclear-family environmental variance,100,6.117015788677854,6.0789809214744,4.215126041548096,8.553030224004472,6.250000000000002,6.117015788677854,Before the historical event,Event experienced
-2.96,0,1,0,Nonshared environmental variance,100,4.024915178434691,3.8753101513787396,2.346599964052132,6.407964793249513,4,4.024915178434691,Before the historical event,Event experienced
-2.96,0,1,0,Phenotypic variance,100,19.461902628480875,19.350157601028073,17.305566469080482,22.334358590779477,19.250000000000004,19.461902628480875,Before the historical event,Event experienced
-2.96,1,0,0,Additive genetic variance,100,9.31997166136833,9.156572248558513,6.2459562971318245,12.911645271350809,9.000000000000002,9.31997166136833,After the historical event,Event not experienced
-2.96,1,0,0,Nuclear-family environmental variance,100,6.117015788677854,6.0789809214744,4.215126041548096,8.553030224004472,6.250000000000002,6.117015788677854,After the historical event,Event not experienced
-2.96,1,0,0,Nonshared environmental variance,100,4.024915178434691,3.8753101513787396,2.346599964052132,6.407964793249513,4,4.024915178434691,After the historical event,Event not experienced
-2.96,1,0,0,Phenotypic variance,100,19.461902628480875,19.350157601028073,17.305566469080482,22.334358590779477,19.250000000000004,19.461902628480875,After the historical event,Event not experienced
-2.96,1,1,1,Additive genetic variance,100,9.402946346931161,9.031466687734401,5.5922917997927755,13.983735780536566,9.000000000000002,9.402946346931161,After the historical event,Event experienced
