parameter,true_value,n_requested,n_success,success_rate,mean_estimate,median_estimate,empirical_sd,mcse_mean,bias,relative_bias,rmse,mean_estimated_se,se_bias,se_relative_bias,se_rmse,mc_lower,mc_upper,mc_q25,mc_q75,empirical_interval_excludes_zero
b_a_0,1.0986122886681098,100,100,1,1.0980526572934879,1.0937540599625077,0.05168800623251404,0.005168800623251404,-5.596313746218961e-4,-5.093984296319486e-4,0.051431961616148256,0.05103283383956413,-6.551723929499043e-4,-0.012675520700153682,0.005473974395536569,0.994493721062121,1.182511996831348,1.0631234702400754,1.136705358501875,TRUE
b_a_1,0,100,100,1,-0.002572027690789434,-0.0022126397964666034,0.022591065990745438,0.0022591065990745438,-0.002572027690789434,,0.022624500578232013,0.021989161370946135,-6.019046197993025e-4,-0.026643480216731526,0.00442799213457593,-0.044142979640482534,0.035526223877700255,-0.018464634146812303,0.014484462806122754,FALSE
g_a_1,0,100,100,1,-0.0023315631325192252,-3.454548213601893e-4,0.07506855747523267,0.007506855747523267,-0.0023315631325192252,,0.07472865330540295,0.06740786306087097,-0.007660694414361693,-0.1020493089518762,0.010166851641009137,-0.12459354619862278,0.15161838074343692,-0.04729663614210012,0.04014852160399386,FALSE
b_cn_0,0.9162907318741551,100,100,1,0.9061401078442431,0.910357225301964,0.048156374084069115,0.004815637408406912,-0.010150624029911908,-0.011077951218768861,0.048978374508268245,0.04591158094981215,-0.0022447931342569616,-0.046614662689057694,0.004399566821495336,0.8004402919079194,0.9933966479607297,0.8770551114299665,0.9376868085389991,TRUE
b_cn_1,0,100,100,1,0.003215216410292549,0.003911049226785459,0.01845538940931992,0.0018455389409319921,0.003215216410292549,,0.018642237012551792,0.019451258647945183,9.958692386252618e-4,0.05396089004344447,0.0019223775375859199,-0.034488330053186037,0.0394868239145791,-0.009540699793452201,0.01446799474858992,FALSE
g_cn_1,0,100,100,1,-9.634698745258837e-4,1.7629076724068874e-4,0.058553323660212875,0.0058553323660212875,-9.634698745258837e-4,,0.05826778757375457,0.05796771650949766,-5.85607150715213e-4,-0.010001262338471394,0.004024404158634628,-0.10913697101207444,0.10254796323164364,-0.03422329554349583,0.03986002685396825,FALSE
b_e_0,0.6931471805599453,100,100,1,0.6870172723238719,0.688030539752668,0.06775954215101491,0.006775954215101491,-0.0061299082360734515,-0.008843588213287581,0.06769798942341416,0.07084960430053323,0.003090062149518319,0.04560335048651204,0.011099588068414086,0.5620755367812906,0.8063053769530533,0.6398077535258802,0.7311006700057698,TRUE
b_e_1,0,100,100,1,0.0034337064092800373,0.004732142219637336,0.03006083439536654,0.003006083439536654,0.0034337064092800373,,0.030106603372106362,0.030836729446245124,7.758950508785847e-4,0.025810828823772707,0.006485894133343088,-0.0486462760882658,0.052643971439328294,-0.021562806385935,0.024497235030416606,FALSE
g_e_1,0,100,100,1,-0.016182081126659545,-0.012399248440353082,0.10416625264211865,0.010416625264211865,-0.016182081126659545,,0.10489977052976077,0.10017625875623509,-0.003989993885883558,-0.03830409354929834,0.020712144417790408,-0.25479189606373753,0.18521491998430661,-0.07464027322738842,0.044887661476610476,FALSE
mean_y,2,100,100,1,1.9951053126652756,2.0058479226256027,0.12346403804830194,0.012346403804830194,-0.004894687334724385,-0.0024473436673621927,0.12294264096880844,0.12725177123345344,0.003787733185151493,0.030678837700656165,0.004853895827463768,1.7575330909181175,2.244206887277387,1.9263788013833167,2.054681097587479,TRUE
b_mean_1,0,100,100,1,-0.003180501806046107,-0.0019830944834392256,0.03535870173897142,0.003535870173897142,-0.003180501806046107,,0.0353249345720151,0.03593160132005081,5.728995810793946e-4,0.016202506113168744,8.683142203771413e-4,-0.06683693852513772,0.06191754231934769,-0.031087306429560233,0.020013981367517662,FALSE
g_mean_1,0,100,100,1,-0.004473504657584284,-0.007562167581888152,0.100869298303096,0.0100869298303096,-0.004473504657584284,,0.10046333376251658,0.10312261131807916,0.0022533130149831604,0.022338938139653926,0.0026184599649885657,-0.16402415552429542,0.2004521597087775,-0.08050929756801105,0.05634637101477086,FALSE
