replication,seed,converged,status_code,status_message,error_message,n_families,total_n,mean_family_size,min_family_size,max_family_size,minus2ll,iterations,elapsed_seconds,mean_H,z_year,b_a_0,b_a_1,g_a_1,b_cn_0,b_cn_1,g_cn_1,b_e_0,b_e_1,g_e_1,mean_y,b_mean_1,g_mean_1,se_b_a_0,se_b_a_1,se_g_a_1,se_b_cn_0,se_b_cn_1,se_g_cn_1,se_b_e_0,se_b_e_1,se_g_e_1,se_mean_y,se_b_mean_1,se_g_mean_1
1,2026072012,TRUE,0,0,,50,6100,122,122,122,33306.78151698685,27,74.35417294502258,0.28950819672131145,2.0675292856669634,1.1882310308328166,-0.01623230960457671,0.006816313314663079,0.8925957723872023,0.02664629877554485,-0.02603325430087502,0.6623817461695426,-0.0020967277941360283,0.03233826259359637,2.0066905169329643,-0.04608572784005723,0.14460664718065316,0.04461283833268142,0.01894229400930235,0.06234794729016039,0.049445419212394474,0.01963200305436708,0.05467714428613801,0.07626834044231047,0.032032217286946295,0.10183948698326162,0.1333944679344377,0.036745151969664804,0.10439294105503363
2,2026072013,TRUE,0,0,,50,6100,122,122,122,32928.24268107596,27,73.39568090438843,0.2801639344262295,2.067006873795147,1.0695068201588593,-0.0023200738197728145,0.0830061712760185,0.9555479680788239,-0.02234267198669674,-0.0330525678282906,0.6926623854889365,8.750996646765397e-4,-0.05929172765024229,2.118370817792369,-0.04969918761005223,0.07648558190431574,0.051517891877239166,0.020148789197260552,0.06425028398505046,0.04127765962311716,0.01798896410347658,0.06100478701709675,0.06674977863048547,0.026789243695352218,0.1052321028590604,0.12669648336086112,0.03573580356645058,0.10186109292000965
3,2026072014,TRUE,0,0,,50,6100,122,122,122,33032.32542237623,23,68.71036720275879,0.28672131147540986,2.066889077819845,1.0871493704095712,0.011250136894322603,-0.05872665364103493,0.816136829351672,0.015445545946365935,0.10433999649809596,0.7450650394970392,-0.02454117813025612,0.0760222718103231,1.9523186295612893,0.008746986483426918,-0.0656648457002151,0.04630821548365361,0.016305768930589756,0.06839249651619905,0.04838190224621119,0.019560117482814283,0.057700289151024646,0.055885934804141016,0.022850212152721504,0.09088317701334855,0.12458701164232563,0.03531941299109021,0.1041974848101562
4,2026072015,TRUE,0,0,,50,6100,122,122,122,33056.85091383445,25,69.66406583786011,0.27852459016393444,2.0673186443379867,1.1748517376758942,-0.07060403285315098,-0.13296352197085912,0.921531167795213,0.010443907907661403,0.04977442384889604,0.5671554203728609,0.07845867140082535,0.07171325254679711,2.0563193375006015,-0.0940495444482257,0.21491405476427003,0.0456551442366444,0.019082231065165337,0.0816236710450385,0.042586915087251334,0.01841357659529616,0.05076012913671245,0.0883617573313299,0.027369534404867557,0.059226933873625744,0.13305238050255344,0.037230567173566896,0.10395648618973007
5,2026072016,TRUE,0,0,,50,6100,122,122,122,33150.69513943348,33,82.14980721473694,0.28032786885245903,2.067945761086973,1.1360296441758189,0.030681606802537596,-0.07355910737601379,0.881404457663407,0.02248355390857012,0.006910015250859311,0.6850735110683539,-0.04967561804824375,0.033832453560519705,1.9589588837358465,-0.04505072998105205,-0.03272103508612611,0.04950719604470561,0.018906304351136154,0.05767057877205456,0.049703428107737445,0.02095429784585706,0.05740005747430098,0.07243666123274484,0.03527042615485765,0.12489514855033834,0.12830917048027465,0.03651299472066938,0.1039025756204329
6,2026072017,TRUE,0,0,,50,6100,122,122,122,32860.394642049025,26,52.22851800918579,0.2804918032786885,2.0700545837894424,1.0225621938503011,0.027935602809781433,0.013124032151712964,0.8963990514914474,-0.007286827695710564,-0.04286559402545472,0.7375894158737931,-0.030403366746754767,0.03258556998933265,2.015586053005165,-0.012481127681975963,0.0554477052319836,0.053931138240750236,0.0235774353096508,0.06931663817099606,0.0455831853749244,0.019765235994840744,0.06503136045197395,0.057783201904273815,0.031229111038703742,0.106753324844851,0.12153142396211702,0.0350947620238512,0.10248501909266437
7,2026072018,TRUE,0,0,,50,6100,122,122,122,32904.56681210355,28,74.78625798225403,0.28114754098360656,2.0668783292630604,1.171686369230164,-0.0417013758624502,0.0030271743203627386,0.878304680621989,0.014439001872501432,-0.03314483446151579,0.5727646441417207,0.05055983505578043,-0.010203496475950315,2.1275353219711453,-0.037993616504660994,0.15537697228574138,0.042164978780109934,0.016217217517642754,0.0650219733780922,0.045390255438159936,0.018241540364549003,0.05882692973602888,0.07966711188899363,0.025896217169104382,0.08245027536322592,0.13062507816940783,0.03596569312297547,0.10233852422933955
8,2026072019,TRUE,0,0,,50,6100,122,122,122,32887.812488361276,27,73.20564603805542,0.2840983606557377,2.0681637403699824,0.989391572983862,0.0037173389297431966,0.04159614495068131,0.9438274259568112,0.002072474334620429,0.004596478188688549,0.7198634746784053,0.019651198062991412,-0.060486509200441844,1.8704173472078043,0.029824093547451698,-0.1316217545921408,0.05553645906048375,0.024368157715946442,0.08062078504600073,0.04300674950287503,0.018372594869186097,0.056960433484559155,0.05814893407803208,0.025156230414534127,0.09144719752495857,0.12125697720482617,0.03551489498294606,0.10201867919581892
9,2026072020,TRUE,0,0,,50,6100,122,122,122,33019.31099092906,23,67.65703797340393,0.28737704918032786,2.0673627329421986,1.0737247941792956,-0.004458069917291741,-0.04005183906361587,0.9519915613356366,0.0033567928223288616,0.006737905910830199,0.6853739710003415,0.008685406456727626,0.05441476453926703,2.0434552717462036,-0.011388111768696767,-0.1312598342707239,0.05013105123003831,0.02019809821477106,0.07058838336464536,0.0421962586154792,0.017126289726235762,0.05210685908327076,0.06681529671904321,0.026142463870169115,0.08220586210117811,0.12596036809878677,0.03573271057327163,0.10247131913900762
10,2026072021,TRUE,0,0,,50,6100,122,122,122,33239.64292236904,25,70.13481307029724,0.2834426229508197,2.0685322845740757,1.0890779761844958,-0.017124479016545173,0.045899822740523955,0.8766834999773673,0.017243150943831508,0.10056729488451221,0.7235935511906572,0.023693055858195842,-0.03549862302537718,2.136504073248645,-0.03398038356814793,-0.07039014101969673,0.058657108340365124,0.03537012909526398,0.07014267224152416,0.050962711846587086,0.023311143325484354,0.055136015947695564,0.08220471083514495,0.0408972182142773,0.08320868214212544,0.12692957039982058,0.0363023739272377,0.10756911098986141
11,2026072022,TRUE,0,0,,50,6100,122,122,122,33029.61416200046,24,69.7205138206482,0.29475409836065575,2.066998817015686,1.143912946457724,-0.011308653897944379,0.04197542340158394,0.905687958955163,-0.009352690228405888,-0.030166807437748733,0.606414369309024,0.020178183149122182,0.022256973470808787,2.021840155569674,0.022643603684743482,-0.06791983503370566,0.043957793583647375,0.019675385002002256,0.06321930037701295,0.04511890319577899,0.019468889755056583,0.06395299058688518,0.07586058976215196,0.03250881894630827,0.1031648696077829,0.1289696474474661,0.035355122551223805,0.10328227933163774
