time,historical_period,event_experienced,event_effect,component,n_replications,recovered_mean,recovered_median,recovered_lower,recovered_upper,population_variance,recovered_central,historical_period_label,event_experience_label
-3,0,0,0,Additive genetic variance,100,9.100280857753813,9.01123830470308,6.810918192817403,11.844816821801018,9.000000000000002,9.100280857753813,Before the historical event,Event not experienced
-3,0,0,0,Nuclear-family environmental variance,100,6.092910430703442,6.050050756031265,4.106867600808271,7.970057729250085,6.250000000000002,6.092910430703442,Before the historical event,Event not experienced
-3,0,0,0,Nonshared environmental variance,100,3.9778190419064186,3.923172461111911,2.3358988927351807,6.57574906200208,4,3.9778190419064186,Before the historical event,Event not experienced
-3,0,0,0,Phenotypic variance,100,19.17101033036367,19.222984017085842,17.166915382908392,20.839797375924185,19.250000000000004,19.17101033036367,Before the historical event,Event not experienced
-3,0,1,0,Additive genetic variance,100,9.100280857753813,9.01123830470308,6.810918192817403,11.844816821801018,9.000000000000002,9.100280857753813,Before the historical event,Event experienced
-3,0,1,0,Nuclear-family environmental variance,100,6.092910430703442,6.050050756031265,4.106867600808271,7.970057729250085,6.250000000000002,6.092910430703442,Before the historical event,Event experienced
-3,0,1,0,Nonshared environmental variance,100,3.9778190419064186,3.923172461111911,2.3358988927351807,6.57574906200208,4,3.9778190419064186,Before the historical event,Event experienced
-3,0,1,0,Phenotypic variance,100,19.17101033036367,19.222984017085842,17.166915382908392,20.839797375924185,19.250000000000004,19.17101033036367,Before the historical event,Event experienced
-3,1,0,0,Additive genetic variance,100,9.100280857753813,9.01123830470308,6.810918192817403,11.844816821801018,9.000000000000002,9.100280857753813,After the historical event,Event not experienced
-3,1,0,0,Nuclear-family environmental variance,100,6.092910430703442,6.050050756031265,4.106867600808271,7.970057729250085,6.250000000000002,6.092910430703442,After the historical event,Event not experienced
-3,1,0,0,Nonshared environmental variance,100,3.9778190419064186,3.923172461111911,2.3358988927351807,6.57574906200208,4,3.9778190419064186,After the historical event,Event not experienced
-3,1,0,0,Phenotypic variance,100,19.17101033036367,19.222984017085842,17.166915382908392,20.839797375924185,19.250000000000004,19.17101033036367,After the historical event,Event not experienced
-3,1,1,1,Additive genetic variance,100,9.090310021213195,8.84888929297864,6.487915536051542,12.427219773524689,9.000000000000002,9.090310021213195,After the historical event,Event experienced
-3,1,1,1,Nuclear-family environmental variance,100,6.112343478920383,6.0479888928800545,4.209274584006852,8.228751025597253,6.250000000000002,6.112343478920383,After the historical event,Event experienced
-3,1,1,1,Nonshared environmental variance,100,3.99054371318351,3.8055198620877997,2.1746537083974147,6.829776047113004,4,3.99054371318351,After the historical event,Event experienced
-3,1,1,1,Phenotypic variance,100,19.193197213317088,19.187391111584486,17.42842614885805,21.069978887065616,19.250000000000004,19.193197213317088,After the historical event,Event experienced
-2.98,0,0,0,Additive genetic variance,100,9.097314822233779,9.003243584349196,6.817621548292797,11.822464761841017,9.000000000000002,9.097314822233779,Before the historical event,Event not experienced
-2.98,0,0,0,Nuclear-family environmental variance,100,6.095530442679832,6.048116376631061,4.123909512387683,7.9584094422824485,6.250000000000002,6.095530442679832,Before the historical event,Event not experienced
-2.98,0,0,0,Nonshared environmental variance,100,3.9774517599220744,3.921038509650246,2.351122586109711,6.558683709262253,4,3.9774517599220744,Before the historical event,Event not experienced
-2.98,0,0,0,Phenotypic variance,100,19.170297024835687,19.220544599501743,17.169996412128697,20.822327935096755,19.250000000000004,19.170297024835687,Before the historical event,Event not experienced
-2.98,0,1,0,Additive genetic variance,100,9.097314822233779,9.003243584349196,6.817621548292797,11.822464761841017,9.000000000000002,9.097314822233779,Before the historical event,Event experienced
