parameter,true_value,n_requested,n_success,success_rate,mean_estimate,median_estimate,empirical_sd,mcse_mean,bias,relative_bias,rmse,mean_estimated_se,se_bias,se_relative_bias,se_rmse,mc_lower,mc_upper,mc_q25,mc_q75,empirical_interval_excludes_zero
b_a_0,1.0986122886681098,100,100,1,1.0931090746484158,1.0937690946868477,0.030647388910508583,0.003064738891050858,-0.005503214019694047,-0.005009241273248278,0.03098637098964966,0.028791733744473077,-0.001855655166035506,-0.060548556728734125,0.0024525413587022,1.044592779178531,1.1510054083485795,1.0715589849727927,1.1102640060859996,TRUE
b_a_1,0,100,100,1,0.0010625542724100707,0.002591499765421091,0.019344012531825102,0.0019344012531825102,0.0010625542724100707,,0.01927635687065659,0.016161448148903593,-0.0031825643829215093,-0.16452452032304568,0.003321080865578131,-0.03576587751602788,0.03691558691837158,-0.013132263998101048,0.015246181285665756,FALSE
b_a_2,0,100,100,1,8.9410619690772e-4,8.69294592382589e-4,0.005016950622466367,5.016950622466367e-4,8.9410619690772e-4,,0.005071244571516128,0.0050325312534896215,1.5580631023254764e-5,0.0031055978413427597,7.698538066735032e-4,-0.009452227769032227,0.010617362688970615,-0.002868136233817966,0.004695703572569737,FALSE
b_a_3,0,100,100,1,-2.229326843788496e-4,-1.777705217788126e-4,0.0012812093361254222,1.2812093361254222e-4,-2.229326843788496e-4,,0.0012941334440889607,0.001288202407747053,6.993071621630778e-6,0.005458180349183938,1.528356023123014e-4,-0.0024454976257686457,0.002233251223795942,-0.0012590878359166765,6.399630977188331e-4,FALSE
g_a_1,0,100,100,1,-0.001970188776740044,-0.0030418468462570245,0.029957088461104123,0.0029957088461104123,-0.001970188776740044,,0.029871968823493137,0.029957888382862296,7.99921758172506e-7,2.6702253098164513e-5,0.0012881796868022314,-0.054559658194730264,0.048320334485348004,-0.023583826609811086,0.019828839895790498,FALSE
b_cn_0,0.9162907318741551,100,100,1,0.9227094697546526,0.9216298907437609,0.023623736385557675,0.0023623736385557674,0.006418737880497472,0.007005132385622593,0.024365966173839924,0.02602412690967461,0.002400390524116936,0.10160926641496093,0.0026978263394268347,0.8788507906958677,0.9636696554666779,0.9044721541928783,0.9400641975990937,TRUE
b_cn_1,0,100,100,1,-4.031034892603931e-5,-5.590488671408735e-4,0.015340438748685882,0.0015340438748685883,-4.031034892603931e-5,,0.015263597063483823,0.0153604846215631,2.0045872877218207e-5,0.0013067339993085537,0.0010487238913716357,-0.030019866430303403,0.03008942190459276,-0.010549693528999093,0.008795077326576334,FALSE
b_cn_2,0,100,100,1,-0.0030109977678527784,-0.002228370444898608,0.006729155237226071,6.729155237226071e-4,-0.0030109977678527784,,0.0073413093152812055,0.006854239327259018,1.2508409003294738e-4,0.018588379317061234,0.0017308244464027242,-0.017527824358038478,0.007328297996225334,-0.0075881921725872775,0.0011993422061976427,FALSE
b_cn_3,0,100,100,1,5.594495246035527e-4,4.256729752334837e-4,0.0013653581935162268,1.3653581935162268e-4,5.594495246035527e-4,,0.0014691986717986836,0.0014774821443010889,1.1212395078486208e-4,0.08212053900384018,2.862887771792835e-4,-0.0021005359882802963,0.0030292093977036076,-3.996969359547529e-4,0.001545436147103389,FALSE
g_cn_1,0,100,100,1,7.271164164860695e-4,0.0014219808580203624,0.026512401424465818,0.002651240142446582,7.271164164860695e-4,,0.02638952544632473,0.026368323122955045,-1.4407830151077355e-4,-0.005434373869196819,9.753967030754249e-4,-0.05078072181334783,0.045452039895309604,-0.017312128043851113,0.01833148259809279,FALSE
