time,historical_period,event_experienced,event_effect,component,n_replications,recovered_mean,recovered_median,recovered_lower,recovered_upper,population_variance,recovered_central,historical_period_label,event_experience_label
-3,0,0,0,Additive genetic variance,10,0.9019763222453474,0.9185946764178308,0.5981983921603076,1.1806866535699079,0.8164615796047126,0.9019763222453474,Before the historical event,Event not experienced
-3,0,0,0,Nuclear-family environmental variance,10,6.328770883897951,6.328015629527268,5.781036711771451,6.862370743664039,6.250000000000002,6.328770883897951,Before the historical event,Event not experienced
-3,0,0,0,Nonshared environmental variance,10,2.192028601414523,2.169102873529112,1.4502774743616014,3.233988319503866,2.1952465443761056,2.192028601414523,Before the historical event,Event not experienced
-3,0,0,0,Phenotypic variance,10,9.422775807557821,9.256064920886134,8.941638293120995,10.2457649684467,9.26170812398082,9.422775807557821,Before the historical event,Event not experienced
-3,0,1,0,Additive genetic variance,10,0.9019763222453474,0.9185946764178308,0.5981983921603076,1.1806866535699079,0.8164615796047126,0.9019763222453474,Before the historical event,Event experienced
-3,0,1,0,Nuclear-family environmental variance,10,6.328770883897951,6.328015629527268,5.781036711771451,6.862370743664039,6.250000000000002,6.328770883897951,Before the historical event,Event experienced
-3,0,1,0,Nonshared environmental variance,10,2.192028601414523,2.169102873529112,1.4502774743616014,3.233988319503866,2.1952465443761056,2.192028601414523,Before the historical event,Event experienced
-3,0,1,0,Phenotypic variance,10,9.422775807557821,9.256064920886134,8.941638293120995,10.2457649684467,9.26170812398082,9.422775807557821,Before the historical event,Event experienced
-2.98,0,0,0,Additive genetic variance,10,0.9263935077479215,0.9437945307693758,0.6163973899751464,1.2094226476126364,0.8395783960029833,0.9263935077479215,Before the historical event,Event not experienced
-2.98,0,0,0,Nuclear-family environmental variance,10,6.3278775354519405,6.324729845120131,5.783075645965916,6.855310049375134,6.250000000000002,6.3278775354519405,Before the historical event,Event not experienced
-2.98,0,0,0,Nonshared environmental variance,10,2.1998545499521325,2.17551473097741,1.4623663417830068,3.2352698286686796,2.204045115965363,2.1998545499521325,Before the historical event,Event not experienced
-2.98,0,0,0,Phenotypic variance,10,9.454125593151995,9.290325222037438,8.975404388663623,10.269000313684948,9.293623511968349,9.454125593151995,Before the historical event,Event not experienced
-2.98,0,1,0,Additive genetic variance,10,0.9263935077479215,0.9437945307693758,0.6163973899751464,1.2094226476126364,0.8395783960029833,0.9263935077479215,Before the historical event,Event experienced
-2.98,0,1,0,Nuclear-family environmental variance,10,6.3278775354519405,6.324729845120131,5.783075645965916,6.855310049375134,6.250000000000002,6.3278775354519405,Before the historical event,Event experienced
-2.98,0,1,0,Nonshared environmental variance,10,2.1998545499521325,2.17551473097741,1.4623663417830068,3.2352698286686796,2.204045115965363,2.1998545499521325,Before the historical event,Event experienced
-2.98,0,1,0,Phenotypic variance,10,9.454125593151995,9.290325222037438,8.975404388663623,10.269000313684948,9.293623511968349,9.454125593151995,Before the historical event,Event experienced
-2.96,0,0,0,Additive genetic variance,10,0.9513287374075495,0.9695329364287946,0.6350444053608905,1.2386855926537417,0.8632116035355987,0.9513287374075495,Before the historical event,Event not experienced
-2.96,0,0,0,Nuclear-family environmental variance,10,6.326990207776397,6.324299825783193,5.785112280989074,6.848281247908398,6.250000000000002,6.326990207776397,Before the historical event,Event not experienced
-2.96,0,0,0,Nonshared environmental variance,10,2.2077268208408998,2.1819637888195076,1.4745264595016787,3.23660962895078,2.2128789523234955,2.2077268208408998,Before the historical event,Event not experienced
-2.96,0,0,0,Phenotypic variance,10,9.486045766024846,9.325171570602024,9.009743278653017,10.292714664878709,9.326090555859096,9.486045766024846,Before the historical event,Event not experienced
-2.96,0,1,0,Additive genetic variance,10,0.9513287374075495,0.9695329364287946,0.6350444053608905,1.2386855926537417,0.8632116035355987,0.9513287374075495,Before the historical event,Event experienced
-2.96,0,1,0,Nuclear-family environmental variance,10,6.326990207776397,6.324299825783193,5.785112280989074,6.848281247908398,6.250000000000002,6.326990207776397,Before the historical event,Event experienced
-2.96,0,1,0,Nonshared environmental variance,10,2.2077268208408998,2.1819637888195076,1.4745264595016787,3.23660962895078,2.2128789523234955,2.2077268208408998,Before the historical event,Event experienced
-2.96,0,1,0,Phenotypic variance,10,9.486045766024846,9.325171570602024,9.009743278653017,10.292714664878709,9.326090555859096,9.486045766024846,Before the historical event,Event experienced
-2.94,0,0,0,Additive genetic variance,10,0.9767882932450513,0.9958163556807236,0.6541466931592714,1.268479993326975,0.8873680695917594,0.9767882932450513,Before the historical event,Event not experienced
-2.94,0,0,0,Nuclear-family environmental variance,10,6.326108790038137,6.323868583232398,5.787146613777541,6.841284186526357,6.250000000000002,6.326108790038137,Before the historical event,Event not experienced
-2.94,0,0,0,Nonshared environmental variance,10,2.215645554365132,2.188450257666199,1.486757925548909,3.238007734842951,2.221748194792073,2.215645554365132,Before the historical event,Event not experienced
-2.94,0,0,0,Phenotypic variance,10,9.51854263764832,9.360609546347122,9.04465977843278,10.316915208817981,9.359116264383834,9.51854263764832,Before the historical event,Event not experienced
-2.94,0,1,0,Additive genetic variance,10,0.9767882932450513,0.9958163556807236,0.6541466931592714,1.268479993326975,0.8873680695917594,0.9767882932450513,Before the historical event,Event experienced
-2.94,0,1,0,Nuclear-family environmental variance,10,6.326108790038137,6.323868583232398,5.787146613777541,6.841284186526357,6.250000000000002,6.326108790038137,Before the historical event,Event experienced
-2.94,0,1,0,Nonshared environmental variance,10,2.215645554365132,2.188450257666199,1.486757925548909,3.238007734842951,2.221748194792073,2.215645554365132,Before the historical event,Event experienced
-2.94,0,1,0,Phenotypic variance,10,9.51854263764832,9.360609546347122,9.04465977843278,10.316915208817981,9.359116264383834,9.51854263764832,Before the historical event,Event experienced
-2.92,0,0,0,Additive genetic variance,10,1.0027783813112794,1.022651165101533,0.6737114964390187,1.298810238321202,0.9120545996488727,1.0027783813112794,Before the historical event,Event not experienced
-2.92,0,0,0,Nuclear-family environmental variance,10,6.3252331723536726,6.323435987104,5.7891786412746935,6.834318713857793,6.250000000000002,6.3252331723536726,Before the historical event,Event not experienced
-2.92,0,0,0,Nonshared environmental variance,10,2.223610891231994,2.1949743496758436,1.4990608343564016,3.2394641639166206,2.2306529852791646,2.223610891231994,Before the historical event,Event not experienced
-2.92,0,0,0,Phenotypic variance,10,9.551622444896946,9.396644622671069,9.080158609774557,10.34160912036783,9.392707584928038,9.551622444896946,Before the historical event,Event not experienced
-2.92,0,1,0,Additive genetic variance,10,1.0027783813112794,1.022651165101533,0.6737114964390187,1.298810238321202,0.9120545996488727,1.0027783813112794,Before the historical event,Event experienced
-2.92,0,1,0,Nuclear-family environmental variance,10,6.3252331723536726,6.323435987104,5.7891786412746935,6.834318713857793,6.250000000000002,6.3252331723536726,Before the historical event,Event experienced
-2.92,0,1,0,Nonshared environmental variance,10,2.223610891231994,2.1949743496758436,1.4990608343564016,3.2394641639166206,2.2306529852791646,2.223610891231994,Before the historical event,Event experienced
-2.92,0,1,0,Phenotypic variance,10,9.551622444896946,9.396644622671069,9.080158609774557,10.34160912036783,9.392707584928038,9.551622444896946,Before the historical event,Event experienced
-2.9,0,0,0,Additive genetic variance,10,1.0293051256911983,1.050043649150909,0.6937460412556533,1.3296805951187853,0.9372779311244449,1.0293051256911983,Before the historical event,Event not experienced
-2.9,0,0,0,Nuclear-family environmental variance,10,6.324363245785343,6.323001908102279,5.791208360430702,6.8273846798873015,6.250000000000002,6.324363245785343,Before the historical event,Event not experienced
-2.9,0,0,0,Nonshared environmental variance,10,2.231622972569071,2.2015362785658987,1.5114352767180506,3.2409789368211688,2.239593466261608,2.231622972569071,Before the historical event,Event not experienced
-2.9,0,0,0,Phenotypic variance,10,9.585291344045611,9.433282160759955,9.116244395795032,10.366803557125756,9.426871397386055,9.585291344045611,Before the historical event,Event not experienced
-2.9,0,1,0,Additive genetic variance,10,1.0293051256911983,1.050043649150909,0.6937460412556533,1.3296805951187853,0.9372779311244449,1.0293051256911983,Before the historical event,Event experienced
-2.9,0,1,0,Nuclear-family environmental variance,10,6.324363245785343,6.323001908102279,5.791208360430702,6.8273846798873015,6.250000000000002,6.324363245785343,Before the historical event,Event experienced
-2.9,0,1,0,Nonshared environmental variance,10,2.231622972569071,2.2015362785658987,1.5114352767180506,3.2409789368211688,2.239593466261608,2.231622972569071,Before the historical event,Event experienced
-2.9,0,1,0,Phenotypic variance,10,9.585291344045611,9.433282160759955,9.116244395795032,10.366803557125756,9.426871397386055,9.585291344045611,Before the historical event,Event experienced
-2.88,0,0,0,Additive genetic variance,10,1.056374562408402,1.0779999936636282,0.7142575312689408,1.3610952046931861,0.9630447271116391,1.056374562408402,Before the historical event,Event not experienced
-2.88,0,0,0,Nuclear-family environmental variance,10,6.323498902337482,6.322566218000318,5.793235768202525,6.824506854799763,6.250000000000002,6.323498902337482,Before the historical event,Event not experienced
-2.88,0,0,0,Nonshared environmental variance,10,2.239681939922,2.2081362596245637,1.523881339751775,3.2425520772834937,2.2485697807872898,2.239681939922,Before the historical event,Event not experienced
-2.88,0,0,0,Phenotypic variance,10,9.619555404667885,9.470527403680634,9.145966379127648,10.39250565393854,9.46161450789893,9.619555404667885,Before the historical event,Event not experienced
-2.88,0,1,0,Additive genetic variance,10,1.056374562408402,1.0779999936636282,0.7142575312689408,1.3610952046931861,0.9630447271116391,1.056374562408402,Before the historical event,Event experienced
-2.88,0,1,0,Nuclear-family environmental variance,10,6.323498902337482,6.322566218000318,5.793235768202525,6.824506854799763,6.250000000000002,6.323498902337482,Before the historical event,Event experienced
-2.88,0,1,0,Nonshared environmental variance,10,2.239681939922,2.2081362596245637,1.523881339751775,3.2425520772834937,2.2485697807872898,2.239681939922,Before the historical event,Event experienced
-2.88,0,1,0,Phenotypic variance,10,9.619555404667885,9.470527403680634,9.145966379127648,10.39250565393854,9.46161450789893,9.619555404667885,Before the historical event,Event experienced
-2.86,0,0,0,Additive genetic variance,10,1.083992633233139,1.1065262792450876,0.735253142219213,1.3930580761692848,0.9893615700013492,1.083992633233139,Before the historical event,Event not experienced
-2.86,0,0,0,Nuclear-family environmental variance,10,6.322640034952636,6.322128789640755,5.795260861553937,6.822182121265386,6.250000000000002,6.322640034952636,Before the historical event,Event not experienced
-2.86,0,0,0,Nonshared environmental variance,10,2.2477879352521883,2.2147745097225195,1.5363991068614162,3.244183612107879,2.2575820724774336,2.2477879352521883,Before the historical event,Event not experienced
-2.86,0,0,0,Phenotypic variance,10,9.654420603437964,9.508385470413717,9.175614262413221,10.418722517279857,9.496943642478785,9.654420603437964,Before the historical event,Event not experienced
-2.86,0,1,0,Additive genetic variance,10,1.083992633233139,1.1065262792450876,0.735253142219213,1.3930580761692848,0.9893615700013492,1.083992633233139,Before the historical event,Event experienced
-2.86,0,1,0,Nuclear-family environmental variance,10,6.322640034952636,6.322128789640755,5.795260861553937,6.822182121265386,6.250000000000002,6.322640034952636,Before the historical event,Event experienced
-2.86,0,1,0,Nonshared environmental variance,10,2.2477879352521883,2.2147745097225195,1.5363991068614162,3.244183612107879,2.2575820724774336,2.2477879352521883,Before the historical event,Event experienced
-2.86,0,1,0,Phenotypic variance,10,9.654420603437964,9.508385470413717,9.175614262413221,10.418722517279857,9.496943642478785,9.654420603437964,Before the historical event,Event experienced
-2.84,0,0,0,Additive genetic variance,10,1.1121651793971168,1.135628474574344,0.7567400162639781,1.4255730814500567,1.016234954993869,1.1121651793971168,Before the historical event,Event not experienced
-2.84,0,0,0,Nuclear-family environmental variance,10,6.321786537507817,6.321689496936537,5.797283637455538,6.819851037007829,6.250000000000002,6.321786537507817,Before the historical event,Event not experienced
-2.84,0,0,0,Nonshared environmental variance,10,2.255941100934614,2.2214512473247727,1.5489886576986986,3.2458735711761224,2.2666304855288986,2.255941100934614,Before the historical event,Event not experienced
-2.84,0,0,0,Phenotypic variance,10,9.689892817839548,9.546861349830376,9.20598732379834,10.445461219490277,9.53286544052277,9.689892817839548,Before the historical event,Event not experienced
-2.84,0,1,0,Additive genetic variance,10,1.1121651793971168,1.135628474574344,0.7567400162639781,1.4255730814500567,1.016234954993869,1.1121651793971168,Before the historical event,Event experienced
-2.84,0,1,0,Nuclear-family environmental variance,10,6.321786537507817,6.321689496936537,5.797283637455538,6.819851037007829,6.250000000000002,6.321786537507817,Before the historical event,Event experienced
-2.84,0,1,0,Nonshared environmental variance,10,2.255941100934614,2.2214512473247727,1.5489886576986986,3.2458735711761224,2.2666304855288986,2.255941100934614,Before the historical event,Event experienced
-2.84,0,1,0,Phenotypic variance,10,9.689892817839548,9.546861349830376,9.20598732379834,10.445461219490277,9.53286544052277,9.689892817839548,Before the historical event,Event experienced
-2.82,0,0,0,Additive genetic variance,10,1.1408979352185398,1.1653124296186337,0.7787252561764403,1.458643949813343,1.0436712835034283,1.1408979352185398,Before the historical event,Event not experienced
-2.82,0,0,0,Nuclear-family environmental variance,10,6.320938304810807,6.3212482148716695,5.79930409288477,6.817513563406688,6.250000000000002,6.320938304810807,Before the historical event,Event not experienced
-2.82,0,0,0,Nonshared environmental variance,10,2.2641415797557034,2.228166692502601,1.561650068125268,3.2476219874479506,2.275715164716487,2.2641415797557034,Before the historical event,Event not experienced
-2.82,0,0,0,Phenotypic variance,10,9.725977819785049,9.585959894616945,9.237090855833404,10.472728792881387,9.569386448219918,9.725977819785049,Before the historical event,Event not experienced
-2.82,0,1,0,Additive genetic variance,10,1.1408979352185398,1.1653124296186337,0.7787252561764403,1.458643949813343,1.0436712835034283,1.1408979352185398,Before the historical event,Event experienced
-2.82,0,1,0,Nuclear-family environmental variance,10,6.320938304810807,6.3212482148716695,5.79930409288477,6.817513563406688,6.250000000000002,6.320938304810807,Before the historical event,Event experienced
-2.82,0,1,0,Nonshared environmental variance,10,2.2641415797557034,2.228166692502601,1.561650068125268,3.2476219874479506,2.275715164716487,2.2641415797557034,Before the historical event,Event experienced
-2.82,0,1,0,Phenotypic variance,10,9.725977819785049,9.585959894616945,9.237090855833404,10.472728792881387,9.569386448219918,9.725977819785049,Before the historical event,Event experienced
-2.8,0,0,0,Additive genetic variance,10,1.1701965216410337,1.1955838687635247,0.8012159194077595,1.4922742624825847,1.0716768564590806,1.1701965216410337,Before the historical event,Event not experienced
-2.8,0,0,0,Nuclear-family environmental variance,10,6.3200952325964925,6.320804819501957,5.801322224825933,6.815169662108431,6.250000000000002,6.3200952325964925,Before the historical event,Event not experienced
-2.8,0,0,0,Nonshared environmental variance,10,2.272389514911298,2.234921066945607,1.5743834101748038,3.249428896961712,2.2848362553952595,2.272389514911298,Before the historical event,Event not experienced
-2.8,0,0,0,Phenotypic variance,10,9.762681269148825,9.625685815151407,9.26893002920696,10.500532223706069,9.606513111854342,9.762681269148825,Before the historical event,Event not experienced
-2.8,0,1,0,Additive genetic variance,10,1.1701965216410337,1.1955838687635247,0.8012159194077595,1.4922742624825847,1.0716768564590806,1.1701965216410337,Before the historical event,Event experienced
-2.8,0,1,0,Nuclear-family environmental variance,10,6.3200952325964925,6.320804819501957,5.801322224825933,6.815169662108431,6.250000000000002,6.3200952325964925,Before the historical event,Event experienced
-2.8,0,1,0,Nonshared environmental variance,10,2.272389514911298,2.234921066945607,1.5743834101748038,3.249428896961712,2.2848362553952595,2.272389514911298,Before the historical event,Event experienced
-2.8,0,1,0,Phenotypic variance,10,9.762681269148825,9.625685815151407,9.26893002920696,10.500532223706069,9.606513111854342,9.762681269148825,Before the historical event,Event experienced
