parameter,true_value,n_requested,n_success,success_rate,mean_estimate,median_estimate,empirical_sd,mcse_mean,bias,relative_bias,rmse,mean_estimated_se,se_bias,se_relative_bias,se_rmse,mc_lower,mc_upper,mc_q25,mc_q75,empirical_interval_excludes_zero
b_a_0,1.0986122886681098,100,100,1,1.0936119889926466,1.0930589885212658,0.028551760842043146,0.0028551760842043146,-0.005000299675463222,-0.004551468909496069,0.028845346480045157,0.03027136165923251,0.001719600817189363,0.06022748742897881,0.002420345980435237,1.0446624667325837,1.147989257282734,1.0742491836189783,1.108848283920805,TRUE
b_a_1,0.1,100,100,1,0.09891080109685216,0.09786432315779352,0.02288736219760571,0.0022887362197605713,-0.0010891989031478484,-0.010891989031478483,0.02279867077553789,0.021718916010454913,-0.0011684461871507984,-0.05105202500238458,0.0018682148508358401,0.05394177374909625,0.1440138031373342,0.08337858769837987,0.11300012527926936,TRUE
b_a_2,-0.1,100,100,1,-0.09873119580323075,-0.09984822771908806,0.012976431400625625,0.0012976431400625625,0.0012688041967692562,-0.01268804196769256,0.012973579238819586,0.011388464438296662,-0.0015879669623289627,-0.12237316356886864,0.0022317158704463344,-0.1231050910914766,-0.07323585745453481,-0.10651196594400808,-0.09124697793161213,TRUE
b_a_3,0,100,100,1,-1.5886577718293853e-4,-3.3220393942203806e-5,0.0029527475312385444,2.9527475312385445e-4,-1.5886577718293853e-4,,0.002942238796998453,0.0031269605330933904,1.7421300185484602e-4,0.059000303958182135,3.7576150303940224e-4,-0.005085152072339651,0.004867929169909633,-0.002706007302636001,0.0020844273582549594,FALSE
g_a_1,0.5,100,100,1,0.4928514773674774,0.49281436838762066,0.04916203327373526,0.004916203327373526,-0.007148522632522603,-0.014297045265045206,0.049435188239547165,0.04766823810533713,-0.001493795168398128,-0.030385138061329652,0.002846249780534271,0.39511452139137904,0.5734489463414569,0.4613531166861879,0.530195545732848,TRUE
b_cn_0,0.9162907318741551,100,100,1,0.9210423028633828,0.9202343274011098,0.02261082736861405,0.002261082736861405,0.004751570989227778,0.005185658682271127,0.022993791466741725,0.023792846759978926,0.0011820193913648774,0.052276697888801335,0.0023452035652277805,0.877327586583,0.962357792446974,0.9050170274166545,0.9374262059405924,TRUE
b_cn_1,0,100,100,1,-0.0010253155481207987,-0.0012377154950393952,0.012801649490624975,0.0012801649490624975,-0.0010253155481207987,,0.012778680657925088,0.013263980539753152,4.623310491281771e-4,0.036114959206370686,6.891915131463905e-4,-0.025107036489300703,0.02433995586423266,-0.009805397141695132,0.008011635610851813,FALSE
b_cn_2,0,100,100,1,-0.0014642175717932875,-8.425163675590535e-4,0.003868081502565679,3.868081502565679e-4,-0.0014642175717932875,,0.004117810955220514,0.004059720633333172,1.916391307674927e-4,0.049543715829250094,0.0018331187562440727,-0.010762229345320997,0.003993585386264153,-0.0037439879246909304,0.001235856122970101,FALSE
b_cn_3,0,100,100,1,2.8185945497791783e-4,2.6648204265225425e-4,0.0010072505524313094,1.0072505524313093e-4,2.8185945497791783e-4,,0.0010410825572354455,0.0011734056423989717,1.661550899676623e-4,0.16495904575737966,3.884483545279149e-4,-0.0014431451326077816,0.002115856353689418,-4.3117655552619353e-4,9.358573158530589e-4,FALSE
g_cn_1,0,100,100,1,-0.0011593324799083712,-0.0013916913597217984,0.034028643879194166,0.0034028643879194164,-0.0011593324799083712,,0.03387791566807821,0.03534607358318633,0.001317429703992165,0.038715316092795264,0.001929891198764692,-0.0772430086239366,0.0530400845718669,-0.02251276938220626,0.023671438824118554,FALSE
