parameter,true_value,n_requested,n_success,success_rate,mean_estimate,median_estimate,empirical_sd,mcse_mean,bias,relative_bias,rmse,mean_estimated_se,se_bias,se_relative_bias,se_rmse,mc_lower,mc_upper,mc_q25,mc_q75,empirical_interval_excludes_zero
b_a_0,1.0986122886681098,5,5,1,1.0767655019054152,1.077895630389884,0.011113027960210417,0.004969897190977264,-0.02184678676269449,-0.01988580228715646,0.024001700027501762,0.028465674683904263,0.017352646723693847,1.5614688261222809,0.01737491738401178,1.0616305198133462,1.0896701932394974,1.0737454023078299,1.0813020704054572,TRUE
b_a_1,0.1,5,5,1,0.1166363190725489,0.11351874673977311,0.022762219439413135,0.010179573997058985,0.0166363190725489,0.166363190725489,0.026291862226362973,0.020243333713533887,-0.0025188857258792476,-0.11066081374814259,0.0027394816692652892,0.0897395563259078,0.14770061967406556,0.11147308117205947,0.12009740352881673,TRUE
b_a_2,0.1,5,5,1,0.09776670729200299,0.10176624328510622,0.007967975260944749,0.0035633868653018167,-0.0022332927079970143,-0.02233292707997014,0.007468500527335769,0.009953779075332533,0.001985803814387784,0.2492231400518092,0.002142044503541333,0.08777997073876045,0.10535753052530739,0.09121161854062473,0.10281720970106278,TRUE
b_a_3,0,5,5,1,-4.865729133811358e-4,-8.069330454356767e-4,8.79761340907744e-4,3.934412324492164e-4,-4.865729133811358e-4,,9.251687487160598e-4,0.0018251112454591284,9.453499045513844e-4,1.074552677634102,9.565257577590526e-4,-0.001271102163610803,6.204908444854835e-4,-0.00122975305518927,2.1384424244216658e-4,FALSE
g_a_1,0.2,5,5,1,0.21480206300330637,0.20278588362221348,0.027475425334326425,0.012287383751654755,0.01480206300330637,0.07401031501653184,0.028688329804914894,0.02396215191412631,-0.003513273420200115,-0.1278696645256591,0.004258932569327305,0.1903657180250741,0.24922025998878022,0.1931090437830588,0.23753596901823157,TRUE
b_cn_0,0.9162907318741551,5,5,1,0.9233137180925983,0.9224126574370716,0.024963202153733436,0.011163883390363423,0.007022986218443194,0.007664582838329683,0.023406227907097128,0.019057243098805444,-0.0059059590549279915,-0.23658659728654685,0.005923523140403401,0.8900650959192495,0.9519633401598847,0.9153653197735399,0.9380245597817023,TRUE
b_cn_1,0,5,5,1,-0.0018388228956802148,-0.0029241280888011433,0.008320171492561248,0.003720893808364567,-0.0018388228956802148,,0.007665603210066437,0.007721326017051255,-5.988454755099931e-4,-0.0719751360948988,7.021108295998614e-4,-0.01168830774228451,0.00950964031768834,-0.0035017824459174234,-8.286179616372807e-4,FALSE
b_cn_2,0.2,5,5,1,0.19918316129947977,0.20062244225467998,0.002998156482135419,0.001340816340247286,-8.168387005202338e-4,-0.004084193502601169,0.002803280095845595,0.002150005534355203,-8.481509477802161e-4,-0.28289082068729304,8.526358466511868e-4,0.19446707079928136,0.2009175744795626,0.19984418760718167,0.20063004056732214,TRUE
b_cn_3,0,5,5,1,2.2522150200021576e-4,1.102204285972688e-4,6.767321413742374e-4,3.026438141343585e-4,2.2522150200021576e-4,,6.4583112181003e-4,4.702518014689775e-4,-2.064803399052599e-4,-0.3051138364522794,2.0702302523105607e-4,-4.252714664896835e-4,0.001214231002440212,-1.8333124967341913e-4,3.400047963145455e-4,FALSE
g_cn_1,0,5,5,1,-7.857123102029248e-4,-0.004733711452650345,0.008700802252950522,0.0038911170592761373,-7.857123102029248e-4,,0.007821797217415159,0.008547789441866393,-1.5301281108412966e-4,-0.017586057772114246,1.7440750845936043e-4,-0.008957308970441471,0.010828069063816472,-0.006437467151209686,0.005004810673831125,FALSE
b_e_0,0.6931471805599453,5,5,1,0.7260465191125379,0.7163407514945916,0.01970902808020323,0.008814145311557319,0.0328993385525926,0.04746371257835243,0.03732456439787472,0.03812068995464663,0.018411661874443402,0.9341740140365943,0.018427294018523548,0.7069006893494028,0.7522134572735908,0.7150127288896778,0.7392229124081903,TRUE
b_e_1,-0.1,5,5,1,-0.11755263216669559,-0.1247464640084954,0.038337071211708276,0.017144859457525988,-0.01755263216669558,0.17552632166695578,0.03852115937056658,0.027969377805827887,-0.010367693405880389,-0.27043519700884344,0.010491453044716834,-0.16117959543441404,-0.06405773877410739,-0.12483548394691038,-0.11451163222054314,TRUE
b_e_2,0.1,5,5,1,0.09219006942250409,0.10008570962390057,0.018106654551073065,0.008097542084261063,-0.007809930577495919,-0.07809930577495919,0.017979871157792586,0.014072412657685295,-0.004034241893387771,-0.2228043773634974,0.0042835859073129205,0.0651425723598035,0.10670485526826458,0.08738082875543585,0.10378260388417641,TRUE
b_e_3,0,5,5,1,0.003642395924076291,0.002535962739785767,0.005610417132426816,0.00250905481804716,0.003642395924076291,,0.006200683219419474,0.004518893613913364,-0.0010915235185134523,-0.19455300608660944,0.0011464232170320771,-0.0023536984551354857,0.011596333284685989,0.0010500213393355266,0.005032204114396497,FALSE
g_e_1,0,5,5,1,-1.5906000386909775,0.009324729892270029,3.530267310366439,1.578783536944941,-1.5906000386909775,,3.535567607781988,2.758102068565531,-0.772165241800908,-0.21872713137996277,5.278723707038272,-7.140988238602086,0.16591234803451813,-0.3534032552155626,0.11463257965947049,FALSE
mean_y,10,5,5,1,10.053239352525788,10.057178064535185,0.024558408092815644,0.010982853982943349,0.05323935252578806,0.005323935252578806,0.057592716412822154,0.0690586965811659,0.04450028848835025,1.8120184468051264,0.04450127192459035,10.020665241025528,10.081110032662263,10.041567808933783,10.066359134311952,TRUE
b_mean_1,0,5,5,1,-0.037627333138089435,-0.03722719578625245,0.062213983296909005,0.027822939160585,-0.037627333138089435,,0.06717350648298198,0.05340136189019899,-0.008812621406710013,-0.14165017154829648,0.008816855035441901,-0.11135466127219716,0.03867578670487598,-0.0779678971439635,-9.566632891040847e-4,FALSE
b_mean_2,0,5,5,1,-0.0033948822003240955,-0.0012194135423432442,0.011202965636438012,0.005010118542533918,-0.0033948822003240955,,0.010579715326748925,0.030353072252164347,0.019150106615726335,1.7093783233111048,0.019160628111335152,-0.01629367908624255,0.009352749742336058,-0.01288998434720775,0.0038417738854039816,FALSE
b_mean_3,0,5,5,1,0.008244159415426215,0.006663981758454895,0.006603616800279193,0.0029532272125567856,0.008244159415426215,,0.010141615667284203,0.012039513597427375,0.005435896797148182,0.8231696298486548,0.005439317671272013,0.0019338515726961374,0.018101087458657697,0.005759192559051873,0.008073550885266546,TRUE
g_mean_1,0,5,5,1,0.038462523058401255,0.045517402141092025,0.1112139985639153,0.04973641216769572,0.038462523058401255,,0.106649934183185,0.1352733514323075,0.02405935286839221,0.21633385346328654,0.02407863442751357,-0.0630849364174699,0.19501374243961683,-0.056841165177541515,0.05707477244463644,FALSE
