replication,seed,converged,status_code,status_message,error_message,n_families,total_n,mean_family_size,min_family_size,max_family_size,minus2ll,iterations,elapsed_seconds,mean_H,z_year,b_a_0,b_a_1,b_a_2,g_a_1,b_cn_0,b_cn_1,b_cn_2,g_cn_1,b_e_0,b_e_1,b_e_2,g_e_1,mean_y,b_mean_1,b_mean_2,g_mean_1,se_b_a_0,se_b_a_1,se_b_a_2,se_g_a_1,se_b_cn_0,se_b_cn_1,se_b_cn_2,se_g_cn_1,se_b_e_0,se_b_e_1,se_b_e_2,se_g_e_1,se_mean_y,se_b_mean_1,se_b_mean_2,se_g_mean_1
1,202607202,TRUE,0,0,,250,30500,122,122,122,221264.07759713923,60,880.2905588150024,0.28101639344262297,2.067220316456117,1.0886439871728308,0.08525759256124747,0.10066281863221417,0.19418386482952352,0.9026783425066885,0.00977276509308488,0.19871283944535637,0.010307259375170949,0.7109438595150437,-0.07088061192465621,0.10300806485960011,0.10599212272232829,9.995864117717739,0.5825751365338114,0.027485530579402746,0.26011304927738943,0.02493395028000936,0.018712261923326826,0.004081198249820419,0.02760875452817002,0.014219329940110948,0.006153233916021916,0.0012049593834346634,0.008346777902883918,0.03423688680386672,0.022033744199414142,0.010435129142684704,0.09733139387256269,0.06320831103162158,0.04728028460050842,0.025471367493740658,0.13658894136923555
2,202607203,TRUE,0,0,,250,30500,122,122,122,221065.65234251905,68,951.5692508220673,0.2824918032786885,2.066998344913539,1.0876697488055436,0.0818895491013455,0.0973684597230691,0.2199728695514536,0.9254875331526741,-2.1916323928055552e-4,0.19890953043592477,-0.006444064467156334,0.6919302190263033,-0.08358244055083897,0.11999585894452668,0.020326029740278737,10.001801182696761,0.5155116172297883,-0.006947463532140263,0.2386465630517916,0.026568290856662072,0.018635925135684624,0.005159261742075351,0.02498725803660557,0.014087984248334037,0.0066103753746700475,0.0013046530635997479,0.008400532977398446,0.03796488354570742,0.020021988237569968,0.011944685087685314,0.08719143591048184,0.0637689752781943,0.04838751566506906,0.02588516478666979,0.13486674046903854
3,202607204,TRUE,0,0,,250,30500,122,122,122,221661.16378700364,69,666.5750949382782,0.2805573770491803,2.0674762726134,1.06085835909018,0.1459209917178894,0.09515077832311124,0.18644346616056676,0.9386119287998541,-0.007683313658900278,0.20100155540058554,0.003928271281311942,0.7546615109648943,-0.13559288885318582,0.058574400796575284,0.22371260279747765,10.079309710026036,0.38848969368110975,9.951380529545804e-4,0.358464041646352,0.026450540620560185,0.02179609405143628,0.004235547176656858,0.01834364947000885,0.013458537623153997,0.005716325742572954,0.0011538037299642292,0.008526959508145063,0.03667152361829768,0.027316113430654144,0.018651486546693657,0.15898578869121444,0.06211028213670266,0.04871498453587612,0.02594324318276201,0.13545433677592544
4,202607205,TRUE,0,0,,250,30500,122,122,122,221413.01337232377,2,321.9753680229187,0.28301639344262297,2.066800643399544,1.376527916789036,0.014923179319480473,0.11100622063413498,0.15087990050451505,0.9415973378895143,0.0030515237736088627,0.19791596015880275,3.393668441004001e-4,-6.196675401895212,-0.3120671693193101,0.0386049616573255,7.19051930875883,10.03421151567999,0.4701173731607244,-0.003443204417208411,0.35898509371137183,0.008616756698432483,0.006379855244241522,0.0019194176307123932,0.018597081516043282,0.012239863986744086,0.005447628431121928,0.0011160713349422434,0.008279721725822265,3.4929695063589037,0.9252616443373541,0.34589660809344897,3.4579551525704786,0.06883611530302107,0.046930846121770446,0.025583170599888197,0.13289773521891232
5,202607206,TRUE,0,0,,250,30500,122,122,122,221708.66092353527,2,322.4783351421356,0.28272131147540985,2.0669141511731293,1.3693455363424707,0.017028323845747182,0.11115234265252918,0.16213759339605097,0.9545608654223098,0.0102065190911415,0.1955490161036322,5.01554066055385e-4,-58.72269683138737,17.91938557883517,-1.379476724140025,7.304334762670736,10.022316580758257,0.47347807888152665,0.048733951577265434,0.1173722362662978,0.008725058421179377,0.006725305703773612,0.0019173224884218767,0.010739147994252178,0.012476328879835984,0.0058427389689573875,0.0011620067045216547,0.008147086488014354,31.0271427672738,9.05985814580538,0.8342988424722213,11.951645555209996,0.06847149542557064,0.04586874971037871,0.02551297096154059,0.1340192034903588
6,202607207,TRUE,0,0,,250,30500,122,122,122,220615.62413408826,85,821.2311561107635,0.28537704918032786,2.0669282858450817,1.1289537471158635,0.0910173977126303,0.08659089793970941,0.20959124216212147,0.9262020702590468,0.009270379819758527,0.19718985368046696,0.022709424730632095,0.5853298207817645,-0.05976117925991642,0.13277124671166243,0.029486255075781218,10.047665845564095,0.5093160791792481,0.021253549863719738,0.13476531317749937,0.023691139839678365,0.01579827013075371,0.00589296088571614,0.024877596487543896,0.014037828661898474,0.006447020386401088,0.001281008766410288,0.008292026311250597,0.037894262785836824,0.02086981506887745,0.007959838082213127,0.06611222635899285,0.06437032600646159,0.04703584379722748,0.025204633029914013,0.13492422379290744
7,202607208,TRUE,0,0,,250,30500,122,122,122,221339.845977318,94,1176.3568589687347,0.2817377049180328,2.0666981947638154,1.3642563623186883,0.02346791867823069,0.10941143074337419,0.1594003666366217,0.9457809971248714,-7.947330471417383e-4,0.1986498490855294,-5.098717840843787e-4,-629.6680342334704,197.2861918006933,-19.11139636610383,125.22467313920272,10.046668257215899,0.5746596867534723,-0.011011726998412815,0.1557531556292401,0.008717907569456451,0.006821090218149133,0.0019375816084311,0.010734920494439323,0.012215862144888063,0.005577621065480857,0.0011005248115070784,0.0084190448592216,182.96701957857596,74.24568446380258,7.279861017999611,70.4365606097858,0.06833139715784264,0.0463413127292583,0.02543910589063413,0.13086652232567245
8,202607209,TRUE,0,0,,250,30500,122,122,122,221286.39892621624,43,544.0195429325104,0.27898360655737703,2.0669973491891143,1.1083355049518195,0.10561150108650229,0.09914774825969062,0.1840337643347342,0.9101000760658855,0.010600601981272162,0.19901514725665576,0.003134927609779753,0.7183158467754467,-0.11890074006735639,0.09302203223714703,0.021656691759805582,9.960052705241258,0.48149175626845525,-0.028321646458840947,0.36523641795278095,0.02509727490175538,0.018872924024865245,0.003654985986802545,0.022379838723338947,0.014140090077741328,0.0065582487864689785,0.0012696176131117198,0.008231174554990249,0.03605315588975714,0.023259095243107854,0.011828915733107872,0.14739384611320014,0.06372080942067543,0.048011606630841606,0.02587563448277882,0.1336172391005631
9,202607210,TRUE,0,0,,250,30500,122,122,122,221515.88243011292,124,1407.0987300872803,0.2843934426229508,2.066907002058709,1.0799253656580323,0.11514956212690874,0.09924766319264156,0.19388420150224023,0.9151370699288273,-0.005439300865249462,0.20028557889675178,-0.008720394869262451,0.7512022342688077,-0.08311341909613248,0.08127223807962179,0.024962551286997946,9.968965017877101,0.5175801393671189,-0.02812110927696256,0.42989049327882733,0.026087721262847068,0.020708706856233952,0.003872596101556524,0.023343127099205177,0.013776450026852618,0.005832139233553561,0.0012094504242285986,0.008728822347110853,0.03580620598986658,0.02301940915458988,0.013798551960260462,0.14201384138495876,0.06290064838268752,0.04871777728728367,0.026012043065503317,0.1357136230944592
10,202607211,TRUE,0,0,,250,30500,122,122,122,221483.72977979103,114,1314.6588110923767,0.2836065573770492,2.0669027562258178,1.368806253221892,0.013784119181658252,0.11309563416655113,0.15820552388109715,0.9486370661308843,0.0038665713007823253,0.19660798483471625,0.008812191309475354,-77.30764358071264,28.10467989494517,-2.3862240825369656,0.18189823106193648,9.941307736268238,0.5184224715512641,0.024199116186052368,0.24831328462163804,0.008744535674024424,0.006756191634819499,0.001945783102812521,0.010870884085247043,0.0125670007033135,0.006088125566362552,0.001223626301169234,0.008568785636629616,34.825408656408,12.949905662238416,1.217499209928701,0.5610716349149363,0.0684285474205303,0.04613690835428293,0.025605102673800197,0.13243086925446715
