replication,seed,converged,status_code,status_message,error_message,n_families,total_n,mean_family_size,min_family_size,max_family_size,minus2ll,iterations,elapsed_seconds,mean_H,z_year,b_a_0,b_a_1,b_a_2,g_a_1,b_cn_0,b_cn_1,b_cn_2,g_cn_1,b_e_0,b_e_1,b_e_2,g_e_1,se_b_a_0,se_b_a_1,se_b_a_2,se_g_a_1,se_b_cn_0,se_b_cn_1,se_b_cn_2,se_g_cn_1,se_b_e_0,se_b_e_1,se_b_e_2,se_g_e_1
1,202602,TRUE,0,0,,150,11100,74,74,74,52675.30828634919,29,90.07592296600342,0.502072072072072,2.067753824178438,0.7210678771146195,0.11335293150679755,-0.11750128719531812,0.27205046584308407,-0.09037242199120925,0.12071880973366798,-0.022187430389717353,-0.06302813022059038,0.6969205667385251,-0.02643420919465896,0.004348968937526683,0.042117183350032394,0.04205153038070178,0.03673004524852596,0.014174783084274854,0.10682186346799054,0.10864687224397498,0.08654330142287282,0.018170566152971704,0.1822996859803224,0.02612773936423183,0.011876669960277678,0.0030153439810925117,0.0606537871024021
2,202603,TRUE,0,0,,150,11100,74,74,74,52503.55490083206,29,90.4259729385376,0.5039639639639639,2.066811907817949,0.6946410761292862,0.1338627274935016,-0.09336560765466333,0.10494101951846012,-0.1726295354219933,-0.011031637875939332,-0.002177266843808187,0.18317853882328863,0.7077867959075161,-0.009118037498504216,2.1187436135212274e-5,-0.01035347174948867,0.04125912817103765,0.03183263250926652,0.011595268786582224,0.10436638126273977,0.11028625539207025,0.07646539934456932,0.01536949209133899,0.230679024619802,0.025947504064882325,0.015288575361335278,0.003649008577894051,0.06370773219162772
3,202604,TRUE,0,0,,150,11100,74,74,74,52709.53644605866,28,83.74565386772156,0.5039639639639639,2.0668214742099735,0.7601166922132289,0.11632898195696444,-0.09271347123000043,0.012520039498018741,0.028597389312698774,-0.06814778257282521,0.0030851624846806027,0.17877095836607115,0.6402013710105575,0.0026765063699378208,-0.0023414893617672793,0.07741248724006854,0.03909827937994675,0.027734602060479955,0.011629639913753745,0.1024928203858936,0.078014517267653,0.04201656561491844,0.010832117137353962,0.17764857197725556,0.029434487534400228,0.020992994738258153,0.004541282714390258,0.06267530658389425
4,202605,TRUE,0,0,,150,11100,74,74,74,52565.722842458475,28,79.40781283378601,0.5097297297297297,2.0668936921897814,0.6655676568595792,0.10926494596822393,-0.09272392736324458,0.24975231030684972,-0.21925079806948508,0.15907909972060985,-0.017639928069934183,-0.14073919793222878,0.7171523893510756,6.584329528151416e-4,0.00441382978617387,-0.10674188811854396,0.041761910816128664,0.036229629580729665,0.010858063172459742,0.09509711067033538,0.1341388996238991,0.1278268064113267,0.022230239711085332,0.20350426955492704,0.023998482372007527,0.01123304283200289,0.002903919999987278,0.06070013069513063
5,202606,TRUE,0,0,,150,11100,74,74,74,52421.56298082503,28,83.25395607948303,0.5046846846846846,2.0671215652864703,0.6576967178617922,0.07020123679452611,-0.11426436404880737,0.3181244563590425,0.16385031867695074,0.02782637009430916,-0.008737058922235195,-0.12570268633415282,0.6838155831870084,0.005767631132673977,0.0012770476874977418,-0.012923094117699919,0.047992670200126264,0.03562477851253338,0.015491393719922654,0.12834031521437572,0.0678818728457243,0.06696032668906456,0.017344503159629352,0.15764473944359353,0.026140789306175256,0.01778587280368705,0.004207511968916085,0.05763747796029557
6,202607,TRUE,0,0,,150,11100,74,74,74,52668.28384481,25,123.66152000427246,0.5051351351351351,2.0668738843274395,0.7137652872692966,0.11260310217206668,-0.1066249388682758,0.21367491124176893,0.08146376376407542,0.07139225854620901,-0.012449802441989543,-0.11102623445297946,0.6929812664759628,-0.0019145000623546542,0.00128794020040762,-0.032927267586634404,0.04214929453190956,0.035728531734247775,0.012830713270011427,0.11489057772029863,0.08385652162902926,0.09032790716549007,0.019195994399408618,0.17112216605212516,0.027346139189484336,0.015604907938182158,0.0035504636856530164,0.06624787865791733
7,202608,TRUE,0,0,,150,11100,74,74,74,52503.77292271428,27,110.20871019363403,0.5063063063063064,2.067002108894591,0.7437549023460357,0.131699878316488,-0.11017938384142138,0.22126314477702175,-0.12573381300188313,-0.08080903677831279,3.610636181982026e-5,0.3095711613643269,0.6661799565506197,0.0014629756805856274,-6.804818165034656e-4,0.01604958484726772,0.0379991907835716,0.03047184272949556,0.011531011584164235,0.09531371856511693,0.09566403467787014,0.05142072073702118,0.012140420975361067,0.22307188924615556,0.026763792144066233,0.01710657192125582,0.0038099506029625014,0.06366927695047085
8,202609,TRUE,0,0,,150,11100,74,74,74,52563.32726800025,27,92.04171204566956,0.49666666666666665,2.0669452923814786,0.643944486335126,0.0588015610759664,-0.08748154184412903,0.1572088560673944,0.12970358458274442,0.01998383728399962,-0.01570360921405962,0.011336917048937491,0.6894115212785581,0.011349932706338607,-0.0020379085935088525,0.013695222296305204,0.0469412503740192,0.031083703756516333,0.015194925578371314,0.13083792968200905,0.07233003068896804,0.05200287080475534,0.015222798331514525,0.16158080372705008,0.02533271172543201,0.014902239309700077,0.0036001303912585477,0.055413662138836944
9,202610,TRUE,0,0,,150,11100,74,74,74,52521.79145325335,29,88.90083193778992,0.502072072072072,2.067515116368137,0.6322137530565693,0.12412017241851228,-0.09322169198394055,0.12419382760404127,-0.08965799719300661,-0.0010595894592745092,-0.013983522878869524,0.1975094884985985,0.7267942964945977,-0.005750045150270103,-0.0018389205126857747,0.010640990753232693,0.04561152725831226,0.03185090825414079,0.012545943764495944,0.10879168644109856,0.09887797341604948,0.08114362988756951,0.019577674413857174,0.20161156764108068,0.024730537244649037,0.014157409762124649,0.0034383942507673613,0.05742228948149905
10,202611,TRUE,0,0,,150,11100,74,74,74,52364.420997591995,28,114.3924629688263,0.5042342342342342,2.066793743040186,0.6565989801435709,0.1029807936727973,-0.09908721243032413,0.3021719400274056,-0.07208458848964246,0.07431583124005152,0.015699771300413265,-0.4777703105307023,0.695123271746816,0.019507500662601863,0.0032802113674026893,-0.13728375789837305,0.04344592849735619,0.03183561890225444,0.01173558846435511,0.09313645917673594,0.08289602819006138,0.0830538145150483,0.021632717871891086,0.19898547886371107,0.02474251666206011,0.018484642370656085,0.005107675890344055,0.059759014059343335
