parameter,true_value,n_requested,n_success,success_rate,mean_estimate,median_estimate,empirical_sd,mcse_mean,bias,relative_bias,rmse,mc_lower,mc_upper,mc_q25,mc_q75,empirical_interval_excludes_zero
b_a_0,0.6931471805599453,5,5,1,0.6420366792521126,0.629159087407302,0.03495329758003403,0.015631589885346995,-0.05111050130783264,-0.07373686677415903,0.059913852766390274,0.6141091026793009,0.6959272195922583,0.627023246316339,0.6390836983041309,TRUE
b_a_1,0.1,5,5,1,0.1324912110568723,0.13237450287343858,0.026157327117315686,0.011697912308803297,0.0324912110568723,0.32491211056872293,0.04003802449522238,0.09676289296572747,0.1587006415605217,0.12352257972347823,0.15348974858099862,TRUE
b_a_2,-0.1,5,5,1,-0.09770324381250889,-0.09562958563962201,0.011260043606655995,0.005035644586818941,0.002296756187491117,-0.02296756187491117,0.010329857433857175,-0.11471727078211502,-0.08797510936011355,-0.09747012146707534,-0.09116186595592668,TRUE
g_a_1,0.2,5,5,1,0.1695561054320514,0.1086090951137754,0.13186914586291335,0.05897367485686188,-0.030443894567948614,-0.15221947283974308,0.12181300431791273,0.07265947486938047,0.3669286735332475,0.07618250711596167,0.2059001684330453,TRUE
b_cn_0,0.4054651081081644,5,5,1,0.367725735606929,0.40408257761005845,0.08741132838239649,0.03909153445331905,-0.037739372501235366,-0.09307674506771067,0.08681504766137679,0.26891189183719794,0.4660899518251592,0.28728734154267405,0.40782471685703947,TRUE
b_cn_1,0,5,5,1,-0.011892112390469549,-0.005432395057335246,0.04072210699075322,0.018211479883668717,-0.011892112390469549,-Inf,0.038315197184937484,-0.06255395285870363,0.03941222671044418,-0.03251816497957952,6.636349080147915e-4,FALSE
b_cn_2,0,5,5,1,0.004324397432915635,0.004716339003150491,0.006232929002925759,0.0027874505898943967,0.004324397432915635,Inf,0.0070554898003057035,-0.0029502425444816213,0.011049219236155747,-5.937754931865891e-4,0.00948890881020008,FALSE
g_cn_1,0,5,5,1,0.039450833829188243,0.03287759151778381,0.06563614392571714,0.029353375919772683,0.039450833829188243,Inf,0.07073083486972416,-0.033578955902161825,0.13057252573943137,0.007677928805312752,0.05600375872977741,FALSE
b_e_0,1.0986122886681098,5,5,1,1.111802329506712,1.1111482476349321,0.01571107051697322,0.007026204335048976,0.013190040838602268,0.012006092572105729,0.019272969847831955,1.0915870106814307,1.1302846734276157,1.1051382182227016,1.121368501526947,TRUE
b_e_1,0,5,5,1,0.006205281764943597,0.0026941164071191456,0.01061086005488689,0.004745320876492847,0.006205281764943597,Inf,0.01133921525793813,-0.0042989613838401095,0.018148764769463,-0.002024694733223508,0.016586269470993592,FALSE
b_e_2,0,5,5,1,-0.003081123113554743,-0.004569308752369664,0.0023908563221822134,0.0010692234521669135,-0.003081123113554743,-Inf,0.0037505032733669494,-0.004726109351068775,4.8682047386499304e-4,-0.004581817608460119,-0.0023099164623647103,FALSE
g_e_1,0,5,5,1,-0.008962790959685881,-0.009000191819475964,0.01855906535507436,0.008299866346561506,-0.008962790959685881,-Inf,0.018864854817097428,-0.03322327163212534,0.014163064692688684,-0.01291233960423385,-0.0035528850727929535,FALSE
