time,historical_period,event_experienced,event_effect,component,n_replications,recovered_mean,recovered_median,recovered_lower,recovered_upper,population_variance,recovered_central,historical_period_label,event_experience_label
-3,0,0,0,Additive genetic variance,500,0.40741897397035615,0.3817435528237654,0.14649814667890138,0.8068841438598638,0.36287181315764994,0.40741897397035615,Before the historical event,Event not experienced
-3,0,0,0,Nuclear-family environmental variance,500,2.2930078231655364,2.314654177054747,1.0455922274783127,3.655076034970043,2.25,2.2930078231655364,Before the historical event,Event not experienced
-3,0,0,0,Nonshared environmental variance,500,3.8923497777821123,3.8577768227314166,2.671422781319324,5.294059555291211,4,3.8923497777821123,Before the historical event,Event not experienced
-3,0,0,0,Phenotypic variance,500,6.592776574918005,6.564542031532691,5.844019679914472,7.37139822653561,6.61287181315765,6.592776574918005,Before the historical event,Event not experienced
-3,0,1,0,Additive genetic variance,500,0.40741897397035615,0.3817435528237654,0.14649814667890138,0.8068841438598638,0.36287181315764994,0.40741897397035615,Before the historical event,Event experienced
-3,0,1,0,Nuclear-family environmental variance,500,2.2930078231655364,2.314654177054747,1.0455922274783127,3.655076034970043,2.25,2.2930078231655364,Before the historical event,Event experienced
-3,0,1,0,Nonshared environmental variance,500,3.8923497777821123,3.8577768227314166,2.671422781319324,5.294059555291211,4,3.8923497777821123,Before the historical event,Event experienced
-3,0,1,0,Phenotypic variance,500,6.592776574918005,6.564542031532691,5.844019679914472,7.37139822653561,6.61287181315765,6.592776574918005,Before the historical event,Event experienced
-2.98,0,0,0,Additive genetic variance,500,0.41817822467405275,0.3920377766597117,0.15207229899768476,0.8243997522778871,0.3731459537791037,0.41817822467405275,Before the historical event,Event not experienced
-2.98,0,0,0,Nuclear-family environmental variance,500,2.291841425244877,2.3111128337660665,1.0513303130396472,3.640884177386781,2.25,2.291841425244877,Before the historical event,Event not experienced
-2.98,0,0,0,Nonshared environmental variance,500,3.8925000956328604,3.8588409455338333,2.6813733951273253,5.278332711127005,4,3.8925000956328604,Before the historical event,Event not experienced
-2.98,0,0,0,Phenotypic variance,500,6.60251974555179,6.573255185751763,5.85689070085331,7.3794731568623195,6.623145953779104,6.60251974555179,Before the historical event,Event not experienced
-2.98,0,1,0,Additive genetic variance,500,0.41817822467405275,0.3920377766597117,0.15207229899768476,0.8243997522778871,0.3731459537791037,0.41817822467405275,Before the historical event,Event experienced
-2.98,0,1,0,Nuclear-family environmental variance,500,2.291841425244877,2.3111128337660665,1.0513303130396472,3.640884177386781,2.25,2.291841425244877,Before the historical event,Event experienced
-2.98,0,1,0,Nonshared environmental variance,500,3.8925000956328604,3.8588409455338333,2.6813733951273253,5.278332711127005,4,3.8925000956328604,Before the historical event,Event experienced
-2.98,0,1,0,Phenotypic variance,500,6.60251974555179,6.573255185751763,5.85689070085331,7.3794731568623195,6.623145953779104,6.60251974555179,Before the historical event,Event experienced
-2.96,0,0,0,Additive genetic variance,500,0.42916391356333533,0.40242309605299753,0.1578251740429821,0.8426671605079274,0.3836496015713771,0.42916391356333533,Before the historical event,Event not experienced
-2.96,0,0,0,Nuclear-family environmental variance,500,2.290693836210012,2.307738891142637,1.057080911399564,3.6267989946899704,2.25,2.290693836210012,Before the historical event,Event not experienced
-2.96,0,0,0,Nonshared environmental variance,500,3.8926592609624286,3.860532840904126,2.691048802209136,5.262718072107804,4,3.8926592609624286,Before the historical event,Event not experienced
-2.96,0,0,0,Phenotypic variance,500,6.612517010735776,6.5820756117417805,5.870602129866087,7.39171356106387,6.633649601571378,6.612517010735776,Before the historical event,Event not experienced
-2.96,0,1,0,Additive genetic variance,500,0.42916391356333533,0.40242309605299753,0.1578251740429821,0.8426671605079274,0.3836496015713771,0.42916391356333533,Before the historical event,Event experienced
-2.96,0,1,0,Nuclear-family environmental variance,500,2.290693836210012,2.307738891142637,1.057080911399564,3.6267989946899704,2.25,2.290693836210012,Before the historical event,Event experienced
-2.96,0,1,0,Nonshared environmental variance,500,3.8926592609624286,3.860532840904126,2.691048802209136,5.262718072107804,4,3.8926592609624286,Before the historical event,Event experienced
-2.96,0,1,0,Phenotypic variance,500,6.612517010735776,6.5820756117417805,5.870602129866087,7.39171356106387,6.633649601571378,6.612517010735776,Before the historical event,Event experienced
-2.94,0,0,0,Additive genetic variance,500,0.44037888794908686,0.4135321207344902,0.1637611056826881,0.8612238034333481,0.39438580870744855,0.44037888794908686,Before the historical event,Event not experienced
-2.94,0,0,0,Nuclear-family environmental variance,500,2.289564868077679,2.3055435704272824,1.0628438810340581,3.6128196393734555,2.25,2.289564868077679,Before the historical event,Event not experienced
-2.94,0,0,0,Nonshared environmental variance,500,3.8928271677260207,3.861929438742206,2.6983730947402487,5.247368112453657,4,3.8928271677260207,Before the historical event,Event not experienced
-2.94,0,0,0,Phenotypic variance,500,6.622770923752786,6.590559825654114,5.884550714993198,7.40615976890045,6.644385808707448,6.622770923752786,Before the historical event,Event not experienced
-2.94,0,1,0,Additive genetic variance,500,0.44037888794908686,0.4135321207344902,0.1637611056826881,0.8612238034333481,0.39438580870744855,0.44037888794908686,Before the historical event,Event experienced
-2.94,0,1,0,Nuclear-family environmental variance,500,2.289564868077679,2.3055435704272824,1.0628438810340581,3.6128196393734555,2.25,2.289564868077679,Before the historical event,Event experienced
-2.94,0,1,0,Nonshared environmental variance,500,3.8928271677260207,3.861929438742206,2.6983730947402487,5.247368112453657,4,3.8928271677260207,Before the historical event,Event experienced
-2.94,0,1,0,Phenotypic variance,500,6.622770923752786,6.590559825654114,5.884550714993198,7.40615976890045,6.644385808707448,6.622770923752786,Before the historical event,Event experienced
-2.92,0,0,0,Additive genetic variance,500,0.4518259680406073,0.42482204232043097,0.16988510539403584,0.8800710097519668,0.4053575998439434,0.4518259680406073,Before the historical event,Event not experienced
-2.92,0,0,0,Nuclear-family environmental variance,500,2.288454334086296,2.305624725762417,1.0686190789354728,3.5990732978500857,2.25,2.288454334086296,Before the historical event,Event not experienced
