parameter,true_value,n_requested,n_success,success_rate,mean_estimate,median_estimate,empirical_sd,mcse_mean,bias,relative_bias,rmse,mc_lower,mc_upper,mc_q25,mc_q75,empirical_interval_excludes_zero
b_a_0,0.6931471805599453,500,500,1,0.6963788876523614,0.7014785536077138,0.04728212465988844,0.0021145208972025934,0.003231707092416147,0.004662367795834467,0.04734524310276268,0.590020112916653,0.7744115125506096,0.6665674016497651,0.7290435295795694,TRUE
b_a_1,0.1,500,500,1,0.097684250201469,0.0974230834685128,0.03873393829532524,0.001732234381292591,-0.002315749798531016,-0.023157497985310155,0.03876441715083212,0.024171585948151695,0.1736769659499119,0.07167976811251132,0.1241266815127086,TRUE
b_a_2,-0.1,500,500,1,-0.0997900699194814,-0.09918707926426824,0.014633331463611097,6.54422477798418e-4,2.0993008051860268e-4,-0.0020993008051860265,0.014620198069218118,-0.1301221201989789,-0.0712639320125351,-0.10914805114594613,-0.09066196601562106,TRUE
g_a_1,0.2,500,500,1,0.19754733209147696,0.2052904010604207,0.12166411209655971,0.005440984501401239,-0.0024526679085230428,-0.012263339542615213,0.12156713141211015,-0.045809708387828954,0.41604164632478435,0.11417938292889442,0.27867249979382674,FALSE
b_cn_0,0.4054651081081644,500,500,1,0.4018103861304119,0.40416084387312057,0.051044314055353285,0.002282771121852358,-0.0036547219777524477,-0.009013653467754101,0.05112404469641893,0.29431975818221956,0.49551592028867786,0.36914570431557286,0.4368765903286047,TRUE
b_cn_1,0,500,500,1,0.0020942293495931625,-0.0027161022732529547,0.03603550449582522,0.0016115567531232893,0.0020942293495931625,Inf,0.036060314275790775,-0.060077355571048666,0.07783844300162446,-0.022720830414276194,0.022692812114811414,FALSE
b_cn_2,0,500,500,1,-8.050191855668085e-4,8.311231074191057e-5,0.008224839649464454,3.678260112047612e-4,-8.050191855668085e-4,-Inf,0.008255952226970212,-0.018025271539813426,0.013139119005410822,-0.005919046107259276,0.004891797366115675,FALSE
g_cn_1,0,500,500,1,0.0028634286266186236,0.004453044381226236,0.10760554717885185,0.004812266364959469,0.0028634286266186236,Inf,0.1075360176852041,-0.20215168574418263,0.20901109441191545,-0.06716885317755467,0.08068098244761954,FALSE
b_e_0,0.6931471805599453,500,500,1,0.6879462137431938,0.6875932279898818,0.028356507303503687,0.00126814155870207,-0.005200966816751502,-0.00750340903435545,0.028801621122251105,0.6309266003298495,0.7400399810113836,0.6681704033945934,0.7075735211559218,TRUE
b_e_1,0,500,500,1,0.003574813286319085,0.003207286279378718,0.019446840757308872,8.696891576191225e-4,0.003574813286319085,Inf,0.019753545156282526,-0.03127365313859574,0.03912221737823416,-0.010495397396509124,0.016335362709345852,FALSE
b_e_2,0,500,500,1,-6.14063299789618e-4,-3.8857306997440607e-4,0.004268577863381326,1.9089660539542907e-4,-6.14063299789618e-4,-Inf,0.0043082930724297405,-0.009037925073984612,0.007314801318115961,-0.003523512719792113,0.0022036493605166584,FALSE
g_e_1,0,500,500,1,-7.259377459585995e-4,0.0014950713631548358,0.06216264000489778,0.002779997774235986,-7.259377459585995e-4,-Inf,0.062104689117366725,-0.12667546245155525,0.11565813153302928,-0.043015694605188094,0.041211545002402816,FALSE
