parameter,true_value,n_requested,n_success,success_rate,mean_estimate,median_estimate,empirical_sd,mcse_mean,bias,relative_bias,rmse,mc_lower,mc_upper,mc_q25,mc_q75,empirical_interval_excludes_zero
b_a_0,1.3862943611198906,10,10,1,1.3856136359083842,1.3958765011308243,0.04935117618981645,0.015606212196809018,-6.807252115064166e-4,-4.91039443424199e-4,0.0468235850720559,1.2956005586359352,1.4447815125380894,1.368513033711762,1.4139062488121774,TRUE
b_a_1,0.1,10,10,1,0.09054669547997304,0.0827692629783153,0.0347838650507684,0.010999623938435656,-0.009453304520026958,-0.09453304520026957,0.03432623642975476,0.05507108856047267,0.1434203448029465,0.059614706769684,0.11368046203836824,TRUE
b_a_2,-0.1,10,10,1,-0.09753324822179779,-0.09552465968204066,0.013996666189381831,0.004426134480751624,0.002466751778202213,-0.024667517782022128,0.013505586337162478,-0.11662807248019928,-0.08169743871484025,-0.1091170446957801,-0.08476935761289243,TRUE
g_a_1,0.2,10,10,1,0.22547655652003729,0.2311982648982676,0.05462563404254495,0.01727414222052732,0.02547655652003729,0.12738278260018643,0.0577461586359967,0.15492471005770916,0.31412148873707335,0.180435306572891,0.25114381069351666,TRUE
b_cn_0,0.9162907318741551,10,10,1,0.8983516697437398,0.8776777647172274,0.052123447261228174,0.016482881284514653,-0.01793906213041534,-0.019577915072570135,0.05260207533048039,0.8337679452001421,0.9723401709782671,0.8665712117626982,0.9445077101217573,TRUE
b_cn_1,0,10,10,1,0.018311084853784167,0.02079606848392594,0.04859054425446242,0.015365679259130951,0.018311084853784167,Inf,0.04960073306285773,-0.04364723609857878,0.10815078295202088,-0.007832665940480328,0.031138733066184535,FALSE
b_cn_2,0,10,10,1,-0.005638692070770094,-0.0033870136735392672,0.015904532402463423,0.00502945475117342,-0.005638692070770094,-Inf,0.0161075629477545,-0.03307241402073994,0.012416409464138228,-0.013617077506103917,0.007262455722721971,FALSE
g_cn_1,0,10,10,1,-0.01765780990412494,-0.006616678313336408,0.05843026025178928,0.018477270667205767,-0.01765780990412494,-Inf,0.05817631848435286,-0.12347410752443332,0.053740986614518774,-0.027162254577876778,0.01802137213961858,FALSE
b_e_0,1.0986122886681098,10,10,1,1.100078105895806,1.0924805789213834,0.0180001601173336,0.005692150421849787,0.0014658172276962532,0.0013342443397145322,0.017139247590535985,1.0821666676427348,1.1307821917404701,1.0876260552792507,1.112737759139197,TRUE
b_e_1,-0.1,10,10,1,-0.09832988672671372,-0.09943556138645793,0.007071117725342586,0.0022360837615271506,0.0016701132732862764,-0.016701132732862764,0.006913024927099258,-0.10781945939951539,-0.08688398190732068,-0.1022678192569883,-0.09353709685001793,TRUE
b_e_2,0.1,10,10,1,0.09935028256355276,0.09993620214926975,0.002189459602112019,6.923679187599986e-4,-6.497174364472433e-4,-0.006497174364472433,0.0021763484926766775,0.09528438439444496,0.10182527653143687,0.09812333617821292,0.10080386255929749,TRUE
g_e_1,0,10,10,1,-0.0080255564068007,-0.01092437997818925,0.019656311350100993,0.0062158714263738524,-0.0080255564068007,-Inf,0.02030130719785398,-0.03146758849847265,0.023887320972984703,-0.019646691705181876,5.418026589675455e-4,FALSE
