replication,seed,converged,status_code,status_message,error_message,n_families,total_n,mean_family_size,min_family_size,max_family_size,minus2ll,iterations,elapsed_seconds,mean_H,z_year,b_a_0,b_a_1,b_a_2,g_a_1,b_cn_0,b_cn_1,b_cn_2,g_cn_1,b_e_0,b_e_1,b_e_2,g_e_1,se_b_a_0,se_b_a_1,se_b_a_2,se_g_a_1,se_b_cn_0,se_b_cn_1,se_b_cn_2,se_g_cn_1,se_b_e_0,se_b_e_1,se_b_e_2,se_g_e_1
1,11202602,TRUE,0,0,,250,30500,122,122,122,178545.2487609303,37,590.1538770198822,0.2801967213114754,2.0669066976126182,1.1054725939446393,0.09555545716095794,-0.09404380406364006,0.10361475554573851,0.9525877322751694,-0.007588962466100854,-0.002357207509448401,0.027877087013747748,0.6871904142027846,-0.10031250903411669,0.09991140614012824,0.012306339793993181,0.024133298978564234,0.0244385196688933,0.010720684298567025,0.05230900142726098,0.02390782760543317,0.019921987913743118,0.006293466141529487,0.035713680848494266,0.018999922806436118,0.0055194549210169155,0.0017428792497980051,0.015405291392236231
2,11202603,TRUE,0,0,,250,30500,122,122,122,178176.32193543078,36,584.2093648910522,0.2793114754098361,2.066668001878937,1.1472944934832392,0.09065807979157224,-0.09733013001832484,0.20513959447261548,0.8901582898778785,-0.0031974243349510425,0.005353004656183315,0.041230053046376815,0.6812706938673059,-0.09898819795720522,0.09993499790568267,-0.02703896589999487,0.022727199243419833,0.022050092445356727,0.009613010397392957,0.04624954098173959,0.02523219134818349,0.019575582603447085,0.005911429480685494,0.034377815818480865,0.019326591938847403,0.005582915670079987,0.00177409468873275,0.01588914316263362
3,11202604,TRUE,0,0,,250,30500,122,122,122,178360.23606369522,36,583.754035949707,0.27891803278688526,2.067236241751592,1.0614402836078358,0.1149897749675187,-0.09324195684321684,0.19041627673563463,0.8995677005430468,0.003889250085104298,-0.0010783746276773836,-0.028924404174021853,0.696709709934913,-0.09877230318583019,0.10023177363412171,-0.00707363090861187,0.02555674549716349,0.026554301352120616,0.010803505485884156,0.04781016118627648,0.025150475425407354,0.020709741122423634,0.006514405611072829,0.039073461480529884,0.01827524744571645,0.005415091771120104,0.0017395002908916991,0.01556858689527383
4,11202605,TRUE,0,0,,250,30500,122,122,122,177964.5127511914,36,586.3127019405365,0.285016393442623,2.0668761258018247,1.140554744764235,0.08486614266158439,-0.10505204902421454,0.23504795244465962,0.8656857994999385,0.004604856462184615,0.005074424106545855,0.014825513697480856,0.6758634887336377,-0.10484007114126383,0.10141247559271199,0.01899082406592816,0.021975432983875876,0.02232222183288774,0.010474628001779084,0.047848597791430025,0.025522326311437884,0.019428126195291065,0.0060134060646400474,0.034492779830319,0.018721780143882705,0.005412617884332733,0.0017392761333427378,0.015278783693862283
5,11202606,TRUE,0,0,,250,30500,122,122,122,178547.7331100299,36,584.4819641113281,0.2860655737704918,2.066750160673564,1.120143210518021,0.09372982384169122,-0.09465445258708044,0.21707580468417417,0.8853199748536352,-0.02440856471571516,0.007994607384611737,0.028310633944532152,0.6863844220488228,-0.09191152238263574,0.09810254251942724,-6.589807313980682e-4,0.02295573721683251,0.0221308384828324,0.009422751906354162,0.04623486326035245,0.02504947866516169,0.01937135667878144,0.006006041682249236,0.03725517739227778,0.018908818306030317,0.005838909068139639,0.0017672479087329624,0.015477449580644466
6,11202607,TRUE,0,0,,250,30500,122,122,122,178322.5577219445,37,362.34524607658386,0.28242622950819674,2.0672754124008104,1.031918919680805,0.11922641422153492,-0.10249374715117653,0.2828498018812346,0.9545556948083285,-0.015118964258157144,-6.162158226571778e-4,-0.03090162077001396,0.7132851398013907,-0.0926081096224645,0.09808614272581735,-0.03414564929643776,0.02662344753097621,0.025692790317383266,0.010886794386626044,0.048028105228239366,0.023566654993254738,0.01845225108991692,0.006056580985624826,0.03712320555060292,0.01794169125189464,0.005453664117872284,0.0017148032878493988,0.015446981391998753
7,11202608,TRUE,0,0,,250,30500,122,122,122,177772.9302617328,38,599.963574886322,0.2835409836065574,2.0672925897075403,1.065744159527738,0.08967332301950344,-0.08969357189401117,0.24444475922303077,0.8661188460136116,0.027094783838952596,-0.0013603618732139875,-0.06433377714836083,0.7039804028122937,-0.10719703520256861,0.10043941253281613,-0.00672910651874865,0.024753725468458908,0.024448352925413912,0.009849665645261985,0.046287452010895,0.025721408109064394,0.02279245928331706,0.006504149666997749,0.0370654144982428,0.018536925184737985,0.005212357626505798,0.0016922696562568053,0.015625539567818376
8,11202609,TRUE,0,0,,250,30500,122,122,122,178241.81085828063,35,576.1792478561401,0.28495081967213115,2.066808751153379,1.120846211915146,0.08761035042671067,-0.09538691500900037,0.19377363077152002,0.9262804512918804,-0.015448671234300028,0.0021520827231912105,-0.009322493575697137,0.6698275897602534,-0.09586108199877606,0.10145662183431509,-0.019809610833855976,0.023052701481509067,0.0226948481586273,0.009629510461624621,0.04669814324998814,0.02436048590834865,0.01951036340829665,0.006150611075955832,0.03643071371579996,0.019025907490336395,0.005471383942853051,0.0017560912368927428,0.015434968459926514
9,11202610,TRUE,0,0,,250,30500,122,122,122,178251.67401360231,38,599.5616810321808,0.2763606557377049,2.067060807718235,1.1075259603620191,0.09064761283399277,-0.10029390803442732,0.196335781639199,0.9314839979207926,0.012889665852354789,-0.006803284428779226,-0.018843398584187415,0.6994783394817655,-0.1008923086148127,0.10023523762122812,-0.020668452100854825,0.024395163945727372,0.0240772624575187,0.010199946598212644,0.05023906597608632,0.02475496797984618,0.020533062330841276,0.006288123463872905,0.0367697051086668,0.018420711343175872,0.005214254208993465,0.0016817914322389085,0.015395223760527675
10,11202611,TRUE,0,0,,250,30500,122,122,122,178637.5340471298,37,588.5074229240417,0.28285245901639344,2.066798511183515,1.1289413931979269,0.09818598896620717,-0.09820562164340396,0.15375848493502783,0.9050119091524215,-0.010635373892948689,0.0016609476458273155,0.011813587395059059,0.674162358352967,-0.10380190464703808,0.10283420320374012,0.0033883867275063856,0.023186909429702154,0.0228767444934219,0.00997772723977577,0.04792225161646467,0.025540802705331905,0.02008380934568621,0.0062218024499950545,0.037060878308267015,0.01885802352064134,0.005433971448129699,0.0017198203181958437,0.015345560174475265
