parameter,true_value,n_requested,n_success,success_rate,mean_estimate,median_estimate,empirical_sd,mcse_mean,bias,relative_bias,rmse,mc_lower,mc_upper,mc_q25,mc_q75,empirical_interval_excludes_zero
b_a_0,1.0986122886681098,500,500,1,1.0966062259662557,1.0960513340425024,0.024989213756786543,0.001117551613288952,-0.0020060627018541224,-0.00182599696230064,0.02504468347050478,1.0436734164304013,1.1422250010714277,1.0820138762346991,1.1136007635954634,TRUE
b_a_1,0.1,500,500,1,0.0996843161403187,0.09716805151043545,0.02558625818942845,0.001144252252028454,-3.1568385968131174e-4,-0.003156838596813117,0.025562608458822925,0.05078842574550585,0.1509562646785751,0.08189575464962381,0.11832832704467942,TRUE
b_a_2,-0.1,500,500,1,-0.10031648311085456,-0.09990417912729128,0.009719233938979503,4.346573555356242e-4,-3.164831108545481e-4,0.0031648311085454807,0.009714666381474248,-0.12076142266191478,-0.08187696325543788,-0.10671230856837378,-0.0933446272823629,TRUE
g_a_1,0.2,500,500,1,0.20074222413191822,0.1985367429475478,0.037159729276177285,0.0016618336137404293,7.422241319182057e-4,0.0037111206595910285,0.03712997018017966,0.13340532800046978,0.2741729763770173,0.17401568209563584,0.22328385611426166,TRUE
b_cn_0,0.9162907318741551,500,500,1,0.9163041512944212,0.9168485729596283,0.025136733901607037,0.001124148914726337,1.3419420266062688e-5,1.4645373787220336e-5,0.02511158817236696,0.8680305003370175,0.9667340304198722,0.8997842016878086,0.9323908524413705,TRUE
b_cn_1,0,500,500,1,0.0016131508064393379,0.00133182280480911,0.020279543419648004,9.069287527798296e-4,0.0016131508064393379,Inf,0.020323376123840393,-0.03402705847393937,0.04112840365596332,-0.012113338523647193,0.01615148467311118,FALSE
b_cn_2,0,500,500,1,-4.6751668038710816e-4,-3.5786989925613746e-4,0.006274771207733583,2.806162992750149e-4,-4.6751668038710816e-4,-Inf,0.00628590328023139,-0.013268409606733277,0.011408522356733286,-0.004548807662272262,0.003793538396602225,FALSE
g_cn_1,0,500,500,1,-0.002364598021580849,-0.0031652780787428097,0.03359427381291749,0.0015023815980084911,-0.002364598021580849,-Inf,0.03364386134727855,-0.06971253012601972,0.06144345587180603,-0.025069570673050226,0.01940265544176463,FALSE
b_e_0,0.6931471805599453,500,500,1,0.6927975956638698,0.6925466917926797,0.01873498113467656,8.378538274862585e-4,-3.495848960755217e-4,-5.043443959378388e-4,0.018719501293571295,0.6562633525212762,0.7292530501101941,0.6794563394011364,0.706473874751034,TRUE
b_e_1,-0.1,500,500,1,-0.09978171123962806,-0.09962873475834484,0.005377844343401392,2.405045104851647e-4,2.1828876037194482e-4,-0.0021828876037194482,0.005376896627720804,-0.1102568229591496,-0.08904045608755426,-0.10323378457878118,-0.09621926594763366,TRUE
b_e_2,0.1,500,500,1,0.09994768364086346,0.10002952092115369,0.0017478905632167326,7.816804233166015e-5,-5.231635913655061e-5,-5.23163591365506e-4,0.001746925350315075,0.09658888264053966,0.10350170165455942,0.09871344388185983,0.10109587686229259,TRUE
g_e_1,0,500,500,1,0.001312771910872541,9.797722706850233e-4,0.014642372595934356,6.548268095277856e-4,0.001312771910872541,Inf,0.014686512423910213,-0.027237578517782978,0.027820359984648227,-0.008219185723658992,0.011687181543234426,FALSE
