parameter,true_value,n_requested,n_success,success_rate,mean_estimate,median_estimate,empirical_sd,mcse_mean,bias,relative_bias,rmse,mean_estimated_se,se_bias,se_relative_bias,se_rmse,mc_lower,mc_upper,mc_q25,mc_q75,empirical_interval_excludes_zero
b_a_0,1.0986122886681098,500,500,1,1.0967118962213873,1.0983680985038662,0.025129803801359953,0.0011238389912214695,-0.0019003924467225106,-0.0017298117509921811,0.02517648737350418,0.023863795613020086,-0.001266008188339867,-0.05037875338570508,0.0016388532506327713,1.0433691916655554,1.1425530680966842,1.0805341467695717,1.113873058179991,TRUE
b_a_1,0,500,500,1,0.0011624680260051104,6.329502582314457e-4,0.013149129206841541,5.880469350285116e-4,0.0011624680260051104,,0.013187309491018288,0.012667646063885034,-4.814831429565073e-4,-0.03661711246292947,0.0014726158371890846,-0.022402407864687723,0.02991919343737505,-0.007678715806850854,0.009610276766467894,FALSE
b_a_2,0,500,500,1,-2.521549214553913e-4,-4.041737001955993e-4,0.0035411798025956854,1.5836637518306477e-4,-2.521549214553913e-4,,0.003546611987508243,0.003454063123216687,-8.71166793789983e-5,-0.02460103249068058,3.330251450228391e-4,-0.007396213493377865,0.006173188701329919,-0.0027056217818732177,0.002270027078889135,FALSE
g_a_1,0,500,500,1,-0.0018833500390508654,-0.0015733245528922399,0.028371750529981823,0.0012688232565141008,-0.0018833500390508654,,0.028405867757363895,0.028146964348126684,-2.247861818551397e-4,-0.007922887296559199,0.0011273365363348544,-0.05921036005148399,0.04795439856267451,-0.02108872877457371,0.018806459460194193,FALSE
b_cn_0,0.9162907318741551,500,500,1,0.9158112251834691,0.9151905031406962,0.0213653745958594,9.554885992217742e-4,-4.7950669068594554e-4,-5.233128242006509e-4,0.021349384061948112,0.02120275946471593,-1.6261513114346898e-4,-0.007611152821770966,8.317491008257873e-4,0.8754884357088928,0.9589812057559285,0.9020365561018028,0.9302443920362837,TRUE
b_cn_1,0,500,500,1,0.001688381526843031,0.0015088858617838801,0.012850418796702491,5.746881993753564e-4,0.001688381526843031,,0.012948112947620136,0.013522052369495845,6.71633572793354e-4,0.05226550071393004,0.001709166376895287,-0.02144627535741886,0.027680349714431236,-0.007869610733386908,0.01064987734490482,FALSE
b_cn_2,0,500,500,1,-4.2131927705408353e-4,-3.6457074491090557e-4,0.0034445803966406275,1.5404631841703262e-4,-4.2131927705408353e-4,,0.0034668305083924186,0.0034532769755997185,8.69657895909105e-6,0.0025247135957611857,3.048390428811674e-4,-0.0072123976631824314,0.005941703615858607,-0.0029244355656287578,0.00195621133824621,FALSE
g_cn_1,0,500,500,1,-0.0013816279938020594,-0.0022707439293874598,0.024351898732230884,0.001089050018929184,-0.0013816279938020594,,0.024366736298371106,0.02460827967797916,2.5638094574827533e-4,0.010528170660012768,8.943115153570538e-4,-0.04861680285603688,0.0453892138834453,-0.01780728401046017,0.014245563681252552,FALSE
b_e_0,0.6931471805599453,500,500,1,0.6913842439132243,0.6930727501637077,0.03445133800777842,0.0015407106740242945,-0.0017629366467209959,-0.002543379957625799,0.034461991334882223,0.03246200703961649,-0.00198933096816193,-0.05774321356438403,0.002914168394989877,0.6215274423977836,0.7600514561254995,0.6680484972082005,0.7136277331601455,TRUE
b_e_1,0,500,500,1,-2.7913298335397076e-4,-0.00156024116674886,0.021433241129284297,9.585236828644809e-4,-2.7913298335397076e-4,,0.02141361652962498,0.020553555195583426,-8.796859337008717e-4,-0.041043066160392994,0.002992303671081675,-0.04247490677848771,0.0435490463422676,-0.014765143165203984,0.012789178296725445,FALSE
b_e_2,0,500,500,1,-6.660877624990597e-6,1.482867905499016e-4,0.005565162543027198,2.4888163504088826e-4,-6.660877624990597e-6,,0.005559598585270619,0.005513262800197506,-5.189974282969207e-5,-0.009325826950862237,7.01784155211895e-4,-0.011017097004820418,0.010181924015226189,-0.0035100553864952947,0.003793646981766055,FALSE
g_e_1,0,500,500,1,0.004343767604339124,0.00552958144860621,0.0406796619019896,0.0018192497862911427,0.004343767604339124,,0.040870448244125855,0.04094288236981932,2.632204678297209e-4,0.006470566753084226,0.0027922849788999536,-0.07282215252511107,0.08411912267792813,-0.023898934937773675,0.03161041543205554,FALSE
