parameter,true_value,n_requested,n_success,success_rate,mean_estimate,median_estimate,empirical_sd,mcse_mean,bias,relative_bias,rmse,mean_estimated_se,se_bias,se_relative_bias,se_rmse,mc_lower,mc_upper,mc_q25,mc_q75,empirical_interval_excludes_zero
b_a_0,1.0986122886681098,500,500,1,1.0970379281152967,1.098292617839346,0.023079444467733173,0.0010321441342556565,-0.0015743605528131899,-0.001433044732024478,0.02311004211539986,0.023782283097123557,7.028386293903843e-4,0.03045301330250849,0.0012444978149991183,1.0507084874087405,1.140297788152382,1.0804761655300674,1.1130647321639318,TRUE
b_a_1,0,500,500,1,6.132054229139366e-4,2.6970865220637865e-4,0.012964725617293069,5.798001557980045e-4,6.132054229139366e-4,,0.012966262491625056,0.012651687589331299,-3.130380279617699e-4,-0.024145364676613167,0.001407307306100606,-0.022924580995170148,0.02572307663127426,-0.008182332890734702,0.009369014464851597,FALSE
b_a_2,0,500,500,1,-1.6303821491368982e-4,-1.263410989095085e-4,0.0036135731015050953,1.616039019326028e-4,-1.6303821491368982e-4,,0.0036136375300137055,0.0034591503793788103,-1.5442272212628496e-4,-0.042734080033406854,3.5194323319340996e-4,-0.007178946998194309,0.006343448472576605,-0.002585372986246945,0.0024654785349009292,FALSE
g_a_1,0,500,500,1,-0.0019487744814953916,-0.0018943982178641914,0.027451024891654588,0.0012276471541955692,-0.0019487744814953916,,0.0274927148904353,0.02842031213653062,9.692872448760319e-4,0.0353096923958823,0.0015567024425933813,-0.058310710290193746,0.05359209927463621,-0.019059069178926545,0.017070152851687823,FALSE
b_cn_0,0.9162907318741551,500,500,1,0.9148320597853121,0.9152594470029429,0.022009826441317278,9.843093619151544e-4,-0.0014586720888429912,-0.0015919315104928155,0.022036136669564492,0.021178067115945075,-8.317593253722028e-4,-0.03779036275410186,0.0011911612115274189,0.871449957967919,0.9565603868146789,0.8996939513353877,0.9296910577927906,TRUE
b_cn_1,0,500,500,1,0.001440057043407125,0.0012972042399538512,0.013323327466381983,5.958373180264032e-4,0.001440057043407125,,0.013387673321199698,0.01350302234853988,1.7969488215789642e-4,0.013487237524658207,0.0016208859304784992,-0.024235154715843213,0.028679922985173245,-0.007002154442337188,0.009966384451828245,FALSE
b_cn_2,0,500,500,1,-2.5462861857001846e-4,-1.280984123808003e-4,0.003527354973260479,1.5774811001964767e-4,-2.5462861857001846e-4,,0.003533013497648366,0.0034438254744751317,-8.352949878534738e-5,-0.023680491308233045,3.249997351703175e-4,-0.00789369252296716,0.006372963438752167,-0.002339385911654654,0.002002814453340734,FALSE
g_cn_1,0,500,500,1,0.0012073663455006236,0.0011468500538326344,0.02498687706471699,0.001117447113242752,0.0012073663455006236,,0.024991059819236012,0.02476824110063791,-2.1863596407907873e-4,-0.0087500316071033209,8.49444115992573e-4,-0.04506522788626613,0.048872092324136904,-0.01656627501483263,0.01875361682690418,FALSE
b_e_0,0.6931471805599453,500,500,1,0.6936132276978064,0.6938524567133029,0.03241290348197551,0.0014495491106767372,4.6604713786112375e-4,6.723638946127383e-4,0.03238382805417397,0.03233336027609446,-7.954320588104968e-5,-0.002454059875422233,0.0019815275204273218,0.6344118899103752,0.7569662505296624,0.6713697401999995,0.7156226035569407,TRUE
b_e_1,0,500,500,1,0.0016420547678297633,2.1222862620594304e-4,0.02028373483333844,9.071161984985024e-4,0.0016420547678297633,,0.02032986430973314,0.020758826151902967,4.7509131856452586e-4,0.023422280091320438,0.0027554112876502007,-0.03548758012061494,0.043002259453748366,-0.012218506383194425,0.013451251398329884,FALSE
b_e_2,0,500,500,1,-6.26703756674191e-4,-3.102946900999013e-4,0.005753787122667076,2.5731718268693005e-4,-6.26703756674191e-4,,0.0057820940600350895,0.0055838827354842985,-1.699043871827774e-4,-0.029529140296733977,7.085458051710249e-4,-0.012735392202869227,0.009520975692615237,-0.004377799732917437,0.0033447624757230432,FALSE
g_e_1,0,500,500,1,-0.0010061215020023848,0.002109896118771879,0.039871797512956844,0.0017831209924815711,-0.0010061215020023848,,0.03984461063829329,0.04132757771428444,0.0014557802013275972,0.03651152674655621,0.003374924926077153,-0.08226912015674581,0.07715480112487155,-0.028730494509358315,0.02494815334263263,FALSE
