replication,seed,converged,status_code,status_message,error_message,n_families,total_n,mean_family_size,min_family_size,max_family_size,minus2ll,iterations,elapsed_seconds,mean_H,z_year,b_a_0,b_a_1,b_a_2,g_a_1,b_cn_0,b_cn_1,b_cn_2,g_cn_1,b_e_0,b_e_1,b_e_2,g_e_1,se_b_a_0,se_b_a_1,se_b_a_2,se_g_a_1,se_b_cn_0,se_b_cn_1,se_b_cn_2,se_g_cn_1,se_b_e_0,se_b_e_1,se_b_e_2,se_g_e_1
1,202607201,TRUE,0,0,,250,30500,122,122,122,165582.91743988992,31,551.1175608634949,0.314,1.73377311476047,1.0827216780135447,-0.003401175889770177,0.004558841884715719,0.015461093400881502,0.9266249769723426,0.015644500000354458,-0.005962581784534482,-7.971335999182575e-4,0.7286887243333312,-0.012619472372630017,3.1321812372393115e-4,-0.044949559258933326,0.023575179165925903,0.014190693009683779,0.0037018763274515388,0.029533140978404118,0.022474013909186755,0.016250326464226653,0.0039937718966858845,0.02582669721513918,0.030226771211188223,0.0231900546519584,0.006377591596801746,0.04657846071982033
2,202607202,TRUE,0,0,,250,30500,122,122,122,165113.80775175334,27,519.7978990077972,0.3144262295081967,1.73339891614728,1.0619791839666393,-0.0031097002387981934,0.0038353091929291534,-0.00396023712824676,0.9220979299928473,0.014954552676129542,-0.005558633577550798,0.0076409732705015904,0.7282406453166945,0.013451086459284205,-0.007109697148635644,0.005023796456023198,0.025722418675021973,0.011015879704083546,0.0031822700759624616,0.02928054146939944,0.02199165752403269,0.013393337459564995,0.003387302123130364,0.025065216927866802,0.03201718460897492,0.017593203637854913,0.005405530849010295,0.04097690346617914
3,202607203,TRUE,0,0,,250,30500,122,122,122,164920.36290948448,31,548.63218998909,0.31691803278688524,1.7337675624023936,1.077309258643415,-0.005322130768537081,-0.00508822956037773,0.021740094732599434,0.9236983743144419,-0.0040461726243827675,0.0028188011513622844,-0.03841148906381261,0.7223110639903232,-0.0014354485478523871,0.004563045648867773,-0.022984898246774944,0.024871166170301728,0.0135317871434795,0.003614093864568243,0.030905667170754724,0.020938384231819346,0.012738973864921987,0.0032360564383958363,0.024596566635633494,0.029447561680280874,0.018720071411486412,0.004502158228730212,0.035549106377286414
4,202607204,TRUE,0,0,,250,30500,122,122,122,165437.32347864987,28,530.2166290283203,0.31249180327868853,1.7342389060143282,1.074953548963442,0.02281285393354137,-0.0038063533189330967,-0.0027311132332644827,0.9438377397603337,-0.018440198029568613,0.004999775655779042,-0.018103848905109226,0.6964930249629683,-0.006355385824774771,3.5190953501281635e-4,0.02782098055602288,0.025139531018489696,0.012903690490868517,0.003395322167990251,0.028131595429993706,0.02006794308587922,0.011062831038555033,0.002939156027366304,0.024727408399569942,0.03199134945909881,0.017687915250785384,0.005014202625394819,0.040770800857535
5,202607205,TRUE,0,0,,250,30500,122,122,122,165154.5765111107,30,546.0425751209259,0.3153770491803279,1.733928873379576,1.0771745870689893,0.02018292019862203,-0.0054095207741743576,0.004135115858531918,0.8860259918342398,0.03693405651063231,-0.008072299329679997,0.0016747943550031767,0.7287407457916267,-0.03131714413698891,0.008309217533290508,-0.01968144808149396,0.02384574952716224,0.013003304696247102,0.00355021703822355,0.028108800001863277,0.022976800921223204,0.01751550018397445,0.0041893459692541705,0.024370671316363276,0.02853597078102452,0.014956337508073148,0.004258847371436355,0.039678461827852174
6,202607206,TRUE,0,0,,250,30500,122,122,122,165199.55402310312,31,345.5455300807953,0.3146229508196721,1.7337754365711437,1.1065502737560793,0.0035487472936238055,7.172004592078798e-4,0.0070101874496421085,0.9015039882721737,0.009850003225863123,-5.297871972851072e-4,-0.002704193425089314,0.682062179198455,0.013179929567699337,-0.00616215273676142,-0.013275004685568935,0.022837511071734335,0.01147163077598668,0.0031419754977957976,0.027589975911706664,0.02142310409374552,0.013141824706768397,0.0032746356382726298,0.025205589958742183,0.03323888208050862,0.02077868185200022,0.005838649978049516,0.04548134001785649
7,202607207,TRUE,0,0,,250,30500,122,122,122,165062.11339965105,28,527.852422952652,0.31688524590163936,1.7336560600650501,1.1274199989319367,0.0015262438070505144,-0.006875550435458237,-0.048697317432436264,0.9143352772629255,-0.0015581714316477144,0.0019846366158433894,0.052965388440174954,0.6280189355759532,0.03828667423827028,-0.0014291841602492596,0.02319791748131648,0.02275172556577312,0.012846843502888542,0.0035719435279865106,0.029685443863459154,0.01985545709465284,0.012042401635396644,0.0031664332817828494,0.022287092700595992,0.035765093349839364,0.0254359149421439,0.005660163134754737,0.03598361940517657
8,202607208,TRUE,0,0,,250,30500,122,122,122,164984.7555315336,30,541.8638191223145,0.3142950819672131,1.7333632281613367,1.1298054412631877,0.017600616366715068,-0.00913772814466421,0.03305148273112203,0.8850175363059005,-0.0071803667632581855,0.005496880330433583,-0.01761104344061838,0.6349316536373947,-0.006643304015888073,0.009453622927292394,-0.06788746892049728,0.022075092079669796,0.013967044876316146,0.003499268118546752,0.02644777052205312,0.021156269950918065,0.01304198623304971,0.0032796441170328556,0.024714257548018207,0.033248531849393304,0.020119819495396447,0.004832778380008244,0.042892995396893646
9,202607209,TRUE,0,0,,250,30500,122,122,122,165418.53037300182,36,592.0380299091339,0.3130491803278688,1.7334853786298936,1.1023779139887295,0.010973505846199025,0.0015690570960679975,-0.0019113031649762924,0.8723720848971558,2.843397327024025e-4,0.004216235142380495,-2.944456944248658e-4,0.7330303599031776,-0.011396115960154718,-0.007300280291166441,-0.0010669807276114443,0.023255469541655593,0.012046662001951416,0.0031736665177597326,0.02606825106608204,0.021742333492617786,0.012883742138167046,0.0032847775086020247,0.024944529842745394,0.03185906430325542,0.018444759861238023,0.00601664130596592,0.04678009754245364
10,202607210,TRUE,0,0,,250,30500,122,122,122,165448.7775822678,28,527.5480921268463,0.3172786885245902,1.733728661001199,1.0764154069588248,0.0011924248798041938,0.002462017686985404,-0.02125581805856094,0.9600500346200249,-0.009229516383823008,-0.003149727733721275,-0.010803763941768725,0.7166782410508392,0.026704496162532138,-0.0099766441974697,0.014495207451192031,0.024969142570307933,0.013026630161840802,0.003537839695510759,0.028771613421383485,0.020344522674208422,0.012214266756773725,0.0032909807039236943,0.02527618493207104,0.03190967220378888,0.021584185309687056,0.006036313316672068,0.03947589694554945
11,202607211,TRUE,0,0,,250,30500,122,122,122,165237.36872357613,29,571.4176700115204,0.3162295081967213,1.7336393140736164,1.0937055180620383,-0.0033756249156206806,0.0019794008890439965,-0.0045218621567104204,0.9234002782132729,0.014658836585060045,-0.005428754074558753,-0.015068800456241042,0.6869579809558997,0.00806818477484731,-0.0027281986714337678,0.028361569444669124,0.02320776864078074,0.011940624346776075,0.003095194141706416,0.027745007530598137,0.02126572646263763,0.01474404321844839,0.003640360836992181,0.02520531086678636,0.032223738148452655,0.020087187649797732,0.005164800701859233,0.03992884897716512
12,202607212,TRUE,0,0,,250,30500,122,122,122,165489.75145597346,30,578.6778318881989,0.3174754098360656,1.7338786780770836,1.0992091660418877,0.012422197468441252,-0.001788911263189797,-0.013285382310386696,0.9138058649729459,0.015899301540944384,-0.00368543801403233,0.014345842264724261,0.704500099544364,-0.00619345346994823,-9.400280543813653e-4,0.013469356644316574,0.023963381343599707,0.012507884782979017,0.0034791689981550416,0.0278239213614085,0.021162660845804863,0.013900056038295285,0.0035346665832165403,0.024441215366273434,0.03211731831425981,0.019666217113204622,0.005587014273433515,0.04193400700065025
13,202607213,TRUE,0,0,,250,30500,122,122,122,165155.54071755084,26,545.1551008224487,0.316655737704918,1.733412907154737,1.1054739687985433,-0.017856903878579612,9.80569464448419e-4,-0.035866682177925345,0.920885749638448,0.007963179559218474,-0.006179023916265149,0.07788978246721182,0.7016240716842808,-0.003735078249692613,0.003934518003571383,0.02095157197047853,0.023555667352715873,0.012144618291547893,0.0034593323881393235,0.03045574462354512,0.0211816234802799,0.01445861381550221,0.0036511353106846306,0.024013324977606193,0.030943000849846945,0.01936269961737366,0.004884106748161625,0.03616714830342182
14,202607214,TRUE,0,0,,250,30500,122,122,122,165103.69544944516,32,591.0410058498383,0.31908196721311477,1.7335529112197643,1.092784042094034,-0.007735409087320434,0.0037480866464425435,-0.03502636302283306,0.9173668920398781,0.019995325075135698,-0.007387147481533899,0.02806487536926436,0.6777151266142714,0.015238409377101957,-0.00489385698310616,0.05970626139573867,0.023526629756883043,0.010420549689666414,0.003004703880360519,0.028844799341730114,0.020582417784646888,0.01284987804067521,0.003385980783791743,0.023932801983780796,0.033289416160975784,0.019404992792828774,0.005240289710604082,0.0399165394960186
15,202607215,TRUE,0,0,,250,30500,122,122,122,165622.58391056588,32,596.2100119590759,0.3157049180327869,1.7334903621806157,1.0948579550401865,-0.00888334516769102,0.0029812043276924542,0.025133723461269863,0.9012372162034685,0.019409241043893806,-0.003873756242488373,-0.005335389538965527,0.7355286271761707,-0.02214340236357447,0.003716658906358731,-0.028552193530590318,0.02423058294963884,0.013312401397592426,0.003639158578398271,0.02835251252870686,0.022634816202849104,0.01660634615128176,0.0040956647123856355,0.025527065162362795,0.030944861183326677,0.01887141506962298,0.0053390173812776125,0.04249156271703463
