time,historical,component,n_replications,recovered_mean,recovered_median,recovered_lower,recovered_upper,population_variance,recovered_central
-3,Before historical event,Additive genetic variance,3,3.6973567585777944,3.6835814771924027,3.570206670089263,3.8362158362439085,3.7040911034085897,3.6973567585777944
-3,Before historical event,Nonshared environmental variance,3,5.598960513373177,5.547058863661163,5.469986840408323,5.772050588593243,5.63748425789688,5.598960513373177
-3,Before historical event,Total phenotypic variance,3,9.29631727195097,9.310179641694265,9.12124249879246,9.45960903082768,9.34157536130547,9.29631727195097
-3,After historical event,Additive genetic variance,3,4.373494222098587,4.5177043823406695,3.8604571602138296,4.7639526477775735,4.09365376538991,4.373494222098587
-3,After historical event,Nonshared environmental variance,3,5.02820073952565,4.886137573407857,4.4516988144748275,5.725456355776597,5.10100670013378,5.02820073952565
-3,After historical event,Total phenotypic variance,3,9.401694961624237,9.403841955748526,9.215651462252401,9.585913515990427,9.19466046552369,9.401694961624237
-2.98,Before historical event,Additive genetic variance,3,3.70320225363189,3.6919165452050504,3.5747459964462305,3.841251362980362,3.711506698738872,3.70320225363189
-2.98,Before historical event,Nonshared environmental variance,3,5.595104408437357,5.546402433271473,5.467530275009923,5.764075220755793,5.632976074004555,5.595104408437357
-2.98,Before historical event,Total phenotypic variance,3,9.298306662069248,9.312490199017326,9.124856990744744,9.459700326987882,9.344482772743426,9.298306662069248
-2.98,After historical event,Additive genetic variance,3,4.380223097476218,4.523417975575874,3.8689670109746883,4.769763537593041,4.101849265689156,4.380223097476218
-2.98,After historical event,Nonshared environmental variance,3,5.02448582493115,4.883856891528588,4.451086884109006,5.717419359145473,5.096927526660617,5.02448582493115
-2.98,After historical event,Total phenotypic variance,3,9.40470892240737,9.407274867104462,9.220850421702048,9.586386370120163,9.198776792349772,9.40470892240737
-2.96,Before historical event,Additive genetic variance,3,3.709057846234274,3.7002704734924614,3.5792912851522183,3.8462936741468696,3.7189371401008984,3.709057846234274
-2.96,Before historical event,Nonshared environmental variance,3,5.591252754733744,5.545746080562743,5.465074844816305,5.756111337696533,5.628471495217111,5.591252754733744
-2.96,Before historical event,Total phenotypic variance,3,9.300310600968018,9.3148080960635955,9.128476942815382,9.459821388289413,9.34740863531801,9.300310600968018
-2.96,After historical event,Additive genetic variance,3,4.386963271509233,4.529138794858845,3.8774958323793838,4.775581515791911,4.110061173390934,4.386963271509233
-2.96,After historical event,Nonshared environmental variance,3,5.02077530430973,4.881577274193605,4.450475065890675,5.709393868327492,5.092851615221247,5.02077530430973
-2.96,After historical event,Total phenotypic variance,3,9.407738575818962,9.41071606905245,9.226056581682586,9.586889700706873,9.202912788612181,9.407738575818962
-2.94,Before historical event,Additive genetic variance,3,3.7149235553468305,3.7086433047309484,3.5838425444522084,3.851342779264953,3.7263824572164435,3.7149235553468305
-2.94,Before historical event,Nonshared environmental variance,3,5.587405546250989,5.54508980552578,5.462620549298949,5.748158922819456,5.623970518651615,5.587405546250989
-2.94,Before historical event,Total phenotypic variance,3,9.30232910159782,9.317133340053752,9.13210236146784,9.459972239040257,9.35035297586806,9.30232910159782
-2.94,After historical event,Additive genetic variance,3,4.393714764892654,4.534866849328448,3.8860436669933667,4.7814065910215175,4.118289521342885,4.393714764892654
-2.94,After historical event,Nonshared environmental variance,3,5.017069171684668,4.8792987209060135,4.449863359788018,5.701379866743174,5.0887789632070835,5.017069171684668
-2.94,After historical event,Total phenotypic variance,3,9.410783936577323,9.414165570234461,9.231269950809537,9.58742353373654,9.207068484549968,9.410783936577323
-2.92,Before historical event,Additive genetic variance,3,3.720799399969522,3.7170350816933895,3.5883997826034495,3.8563986878703074,3.733842679866786,3.720799399969522
-2.92,Before historical event,Nonshared environmental variance,3,5.583562776986244,5.544433608151393,5.460167387929578,5.740217959552535,5.619473141427443,5.583562776986244
-2.92,Before historical event,Total phenotypic variance,3,9.304362176955767,9.319465938218574,9.135733253173532,9.460152903664614,9.35331582129423,9.304362176955767
-2.92,After historical event,Additive genetic variance,3,4.400477598362292,4.5406021481351075,3.894610557477951,4.78723877193974,4.126534342458413,4.400477598362292
-2.92,After historical event,Nonshared environmental variance,3,5.013367421087719,4.877021231169156,4.44925176576923,5.693377337836988,5.084709568011631,5.013367421087719
-2.92,After historical event,Total phenotypic variance,3,9.413845019450012,9.417623379304263,9.23649053770897,9.587987895314939,9.211243910470044,9.413845019450012
-2.9,Before historical event,Additive genetic variance,3,3.7266853991404685,3.72544584724945,3.5929630078754826,3.8614614095128204,3.7413178378928262,3.7266853991404685
-2.9,Before historical event,Nonshared environmental variance,3,5.579724440945159,5.5437774884303925,5.457715360180162,5.732288431347707,5.614979360666275,5.579724440945159
-2.9,Before historical event,Total phenotypic variance,3,9.306409840085628,9.321805897798937,9.13936962441183,9.460363406703113,9.356297198559101,9.306409840085628
-2.9,After historical event,Additive genetic variance,3,4.407251792694824,4.54634470044082,3.9031965465905256,4.793078067215024,4.134795669716812,4.407251792694824
-2.9,After historical event,Nonshared environmental variance,3,5.0096700465590995,4.874744804486601,4.448640283802519,5.6853862650773035,5.080643427030475,5.0096700465590995
-2.9,After historical event,Total phenotypic variance,3,9.416921839253924,9.421089504927421,9.241718351017543,9.588582811667829,9.215439096747287,9.416921839253924
-2.88,Before historical event,Additive genetic variance,3,3.732581571936027,3.733875644365794,3.597532228550153,3.866530953756599,3.7488079611952068,3.732581571936027
-2.88,Before historical event,Nonshared environmental variance,3,5.575890532141857,5.543121446353586,5.455264465522923,5.724370321680822,5.610489173492088,5.575890532141857
-2.88,Before historical event,Total phenotypic variance,3,9.308472104077884,9.324153226045844,9.143011481670063,9.460603772812938,9.359297134687294,9.308472104077884
-2.88,After historical event,Additive genetic variance,3,4.41403736870788,4.552094515419173,3.91180167718477,4.79892448552639,4.143073536163404,4.41403736870788
-2.88,After historical event,Nonshared environmental variance,3,5.005977042147474,4.872469440362153,4.448028913856105,5.677406631956365,5.076580537661285,5.005977042147474
-2.88,After historical event,Total phenotypic variance,3,9.420014410855353,9.424563955781327,9.246953399382496,9.589208309141135,9.219654073824689,9.420014410855353
-2.86,Before historical event,Additive genetic variance,3,3.738487937470876,3.742324516106315,3.6021074529216404,3.8716073301799887,3.7563130797344306,3.738487937470876
-2.86,Before historical event,Nonshared environmental variance,3,5.572061044598932,5.542465481911787,5.45281470343032,5.716463614051618,5.6060025770311634,5.572061044598932
-2.86,Before historical event,Total phenotypic variance,3,9.31054898206981,9.326507930220426,9.146658831443544,9.46087402676805,9.362315656765594,9.31054898206981
-2.86,After historical event,Additive genetic variance,3,4.420834347260131,4.557851602255351,3.920425992210877,4.804778035563448,4.151367974909665,4.420834347260131
-2.86,After historical event,Nonshared environmental variance,3,5.0022884019099445,4.8701951382998425,4.44741765589822,5.669438421990256,5.072520897303813,5.0022884019099445
-2.86,After historical event,Total phenotypic variance,3,9.423122749170075,9.428046740555192,9.252195691461667,9.589864414201132,9.223888872213479,9.423122749170075
-2.84,Before historical event,Additive genetic variance,3,3.7444045148980902,3.750792505632344,3.6066886892964676,3.8766905483755973,3.7638332235309813,3.7444045148980902
-2.84,Before historical event,Nonshared environmental variance,3,5.568235972347433,5.541809595095808,5.4503660733750685,5.70856829198368,5.60151956841208,5.568235972347433
-2.84,Before historical event,Total phenotypic variance,3,9.312640487245524,9.328870017593955,9.150311680235566,9.461174193459316,9.36535279194306,9.312640487245524
-2.84,After historical event,Additive genetic variance,3,4.427642749251369,4.563615970146156,3.9290695347157625,4.810638726026406,4.1596790191333595,4.427642749251369
-2.84,After historical event,Nonshared environmental variance,3,4.998604119912041,4.86792189780394,4.44680650989711,5.661481618718856,5.0684645033598885,4.998604119912041
-2.84,After historical event,Total phenotypic variance,3,9.426246869163409,9.431537867950095,9.257445235923518,9.590551153434618,9.228143522493248,9.426246869163409
-2.82,Before historical event,Additive genetic variance,3,3.750331323409228,3.7592796562028803,3.6112759459935306,3.881780617950321,3.771368422665445,3.750331323409228
-2.82,Before historical event,Nonshared environmental variance,3,5.5644153094268525,5.541153785896464,5.447918574830119,5.700684339024415,5.597040144765711,5.5644153094268525
-2.82,Before historical event,Total phenotypic variance,3,9.31474663283608,9.331239495447868,9.15397003455742,9.461504297894722,9.368408567431157,9.31474663283608
-2.82,After historical event,Additive genetic variance,3,4.434462595622598,4.569387628300024,3.9377323478432924,4.816506565626092,4.168006702078677,4.434462595622598
-2.82,After historical event,Nonshared environmental variance,3,4.994924190227702,4.865649718378939,4.446195475821031,5.653536205705821,5.064411353233419,4.994924190227702
-2.82,After historical event,Total phenotypic variance,3,9.4293867858503,9.435037346678964,9.262702041447122,9.591268553549114,9.232418055312095,9.4293867858503
-2.8,Before historical event,Additive genetic variance,3,3.7562683822344076,3.7677860111748074,3.6158692313441136,3.8868775485253613,3.7789187072786277,3.7562683822344076
-2.8,Before historical event,Nonshared environmental variance,3,5.560599049885112,5.540498054304568,5.445472207268678,5.692811738745006,5.5925643032252275,5.560599049885112
-2.8,Before historical event,Total phenotypic variance,3,9.316867432119519,9.33361637107376,9.157633900928401,9.461864365199533,9.371483010503855,9.316867432119519
-2.8,After historical event,Additive genetic variance,3,4.441293907356117,4.575166585937035,3.946414474834497,4.822381563083956,4.176351057056361,4.441293907356117
-2.8,After historical event,Nonshared environmental variance,3,4.991248606939273,4.86337859952957,4.445584553638254,5.6456021665385405,5.06036144433039,4.991248606939273
-2.8,After historical event,Total phenotypic variance,3,9.43254251429539,9.438545185466605,9.26796611672221,9.592016641373037,9.236712501386751,9.43254251429539
-2.78,Before historical event,Additive genetic variance,3,3.7622157106423892,3.776311614003111,3.620468553691911,3.891981349736254,3.786484107571678,3.7622157106423892
-2.78,Before historical event,Nonshared environmental variance,3,5.556787187778552,5.5398424003109374,5.443026970164191,5.6849504747403845,5.588092040926087,5.556787187778552
-2.78,Before historical event,Total phenotypic variance,3,9.31900289842094,9.336000651773414,9.161303285875816,9.462254420616464,9.374576148497765,9.31900289842094
-2.78,After historical event,Additive genetic variance,3,4.448136705475603,4.58095285228893,3.9551159590277876,4.828263727132092,4.1847121174438415,4.448136705475603
-2.78,After historical event,Nonshared environmental variance,3,4.987577364137484,4.861108540760791,4.444973743317059,5.637679484828099,5.056314774058856,4.987577364137484
-2.78,After historical event,Total phenotypic variance,3,9.435714069613088,9.44206139304972,9.273237470449152,9.592795443855886,9.241026891502697,9.435714069613088
-2.76,Before historical event,Additive genetic variance,3,3.7681733279406577,3.784856508241112,3.6250739213930427,3.897092031232887,3.7940646538062075,3.7681733279406577
-2.76,Before historical event,Nonshared environmental variance,3,5.552979717171923,5.539186823906391,5.440582862990352,5.677100530629196,5.583623355006044,5.552979717171923
-2.76,Before historical event,Total phenotypic variance,3,9.321153045112581,9.338392344858804,9.164978195934998,9.462674489505872,9.377688008812251,9.321153045112581
-2.76,After historical event,Additive genetic variance,3,4.4549910110462045,4.5867464365991255,3.9638368438591827,4.8341530665132435,4.193089916685371,4.4549910110462045
-2.76,After historical event,Nonshared environmental variance,3,4.983910455921445,4.858839541577794,4.444363044825743,5.629768144209252,5.052271339828951,4.983910455921445
-2.76,After historical event,Total phenotypic variance,3,9.43890146696765,9.445585978176918,9.278516111338986,9.593604988068435,9.245361256514322,9.43890146696765
-2.74,Before historical event,Additive genetic variance,3,3.7741412534755048,3.7934207375406745,3.6296853428160847,3.9022096026795303,3.801660376304411,3.7741412534755048
-2.74,Before historical event,Nonshared environmental variance,3,5.549176632138366,5.538531325081744,5.438139885221099,5.669261890053762,5.579158242605138,5.549176632138366
-2.74,Before historical event,Total phenotypic variance,3,9.32331788561387,9.340791457652113,9.168658637649314,9.46312459734592,9.380818618909549,9.32331788561387
-2.74,After historical event,Additive genetic variance,3,4.46185684517462,4.5925473481227295,3.972577172862522,4.840049589980826,4.201484488292158,4.46185684517462
-2.74,After historical event,Nonshared environmental variance,3,4.980247876398629,4.8565716014859985,4.44375245813261,5.621868128340383,5.0482311390528745,4.980247876398629
-2.74,After historical event,Total phenotypic variance,3,9.442104721573248,9.449118949608728,9.283802048113436,9.594445301202905,9.249715627345033,9.442104721573248
-2.7199999999999998,Before historical event,Additive genetic variance,3,3.7801195066321074,3.802004345652443,3.634302826342079,3.9073340737548503,3.809271305449188,3.7801195066321074
-2.7199999999999998,Before historical event,Nonshared environmental variance,3,5.545377926759408,5.537875903827816,5.435698036330616,5.661434536680053,5.574696700865699,5.545377926759408
-2.7199999999999998,Before historical event,Total phenotypic variance,3,9.325497433391515,9.34319799748574,9.17234461757017,9.463604769732772,9.383968006314888,9.325497433391515
-2.7199999999999998,After historical event,Additive genetic variance,3,4.468734229009191,4.598355596126553,3.9813369896696935,4.845953306298928,4.2098958658425,4.468734229009191
-2.7199999999999998,After historical event,Nonshared environmental variance,3,4.976589619684863,4.8543047199910605,4.443141983205981,5.613979420903476,5.044194169144901,4.976589619684863
-2.7199999999999998,After historical event,Total phenotypic variance,3,9.445323848694054,9.452660316117614,9.28909528950491,9.59531641057317,9.254090034987401,9.445323848694054
-2.7,Before historical event,Additive genetic variance,3,3.7861081068346123,3.8106073764260544,3.63892638036456,3.9124654541519384,3.8168974716842663,3.7861081068346123
-2.7,Before historical event,Nonshared environmental variance,3,5.541583595124944,5.537220560135427,5.433257315793331,5.653618454197646,5.570238726932339,5.541583595124944
-2.7,Before historical event,Total phenotypic variance,3,9.327691701959557,9.345611971702311,9.17603614225703,9.464115032380743,9.387136198616606,9.327691701959557
-2.7,After historical event,Additive genetic variance,3,4.475623183739979,4.6041711898891275,3.9901163380108478,4.851864224242336,4.218324082981919,4.475623183739979
-2.7,After historical event,Nonshared environmental variance,3,4.972935679904315,4.85203889659886,4.442531620014188,5.606102005604077,5.040160427521368,4.972935679904315
-2.7,After historical event,Total phenotypic variance,3,9.448558863644294,9.456210086487989,9.294395844256524,9.596218343614925,9.258484510503287,9.448558863644294
-2.68,Before historical event,Additive genetic variance,3,3.7921070735462186,3.8192298738103694,3.643556013289574,3.9176037535783355,3.8245389055143204,3.7921070735462186
-2.68,Before historical event,Nonshared environmental variance,3,5.537793631333231,5.536565293995402,5.4308177230839245,5.6458136263196925,5.5657843179519535,5.537793631333231
-2.68,Before historical event,Total phenotypic variance,3,9.32990070487945,9.348033387654706,9.179733218277423,9.464655411122507,9.390323223466273,9.32990070487945
-2.68,After historical event,Additive genetic variance,3,4.482523730598869,4.609994138700721,3.9989152617146253,4.857782352596538,4.226769173423294,4.482523730598869
-2.68,After historical event,Nonshared environmental variance,3,4.9692860511894805,4.849774130815513,4.4419213685255725,5.598235866171261,5.036129911600679,4.9692860511894805
-2.68,After historical event,Total phenotypic variance,3,9.451809781788349,9.459768269516234,9.29970372112211,9.597151127885887,9.262899085023975,9.451809781788349
-2.66,Before historical event,Additive genetic variance,3,3.798116426269258,3.827871881853696,3.6481917335356946,3.9227489817560492,3.8321956375050963,3.798116426269258
-2.66,Before historical event,Nonshared environmental variance,3,5.5340080294908685,5.53591010539856,5.428379257677308,5.638020036782891,5.561333471073722,5.5340080294908685
-2.66,Before historical event,Total phenotypic variance,3,9.332124455760127,9.350462252706047,9.183435852206943,9.465225931909275,9.393529108578818,9.332124455760127
-2.66,After historical event,Additive genetic variance,3,4.489435890859636,4.615824451863347,4.007733804708377,4.863707700157741,4.235231170946999,4.489435890859636
-2.66,After historical event,Nonshared environmental variance,3,4.965640727681175,4.847510422147361,4.441311228708494,5.590380986357598,5.032102618803307,4.965640727681175
-2.66,After historical event,Total phenotypic variance,3,9.455076618540811,9.463334874010709,9.305018928866238,9.598114791065974,9.267333789750307,9.455076618540811
-2.64,Before historical event,Additive genetic variance,3,3.804136184545279,3.836533444704008,3.6528335495340527,3.9279011484215847,3.8398676982835314,3.804136184545279
-2.64,Before historical event,Nonshared environmental variance,3,5.530226783712794,5.535254994335727,5.425941919048652,5.6302376693474425,5.556886183449101,5.530226783712794
-2.64,Before historical event,Total phenotypic variance,3,9.334362968258073,9.352898574229737,9.18714405062928,9.46582662081095,9.396753881732632,9.334362968258073
-2.64,After historical event,Additive genetic variance,3,4.4963596858380495,4.6216621386907875,4.016572011018385,4.869640275732888,4.243710109401035,4.4963596858380495
-2.64,After historical event,Nonshared environmental variance,3,4.961999703528518,4.8452477701009835,4.4407012005313184,5.58253734993912,5.028078546551781,4.961999703528518
-2.64,After historical event,Total phenotypic variance,3,9.458359389366567,9.46690990879177,9.310341476264206,9.599109360957504,9.271788655952816,9.458359389366567
-2.62,Before historical event,Additive genetic variance,3,3.8101663679551265,3.84521460660918,3.657481469728347,3.9330602633259613,3.8475551185378793,3.8101663679551265
-2.62,Before historical event,Nonshared environmental variance,3,5.526449888122266,5.534599960797727,5.423505706673363,5.622466507797027,5.552442452231828,5.526449888122266
-2.62,Before historical event,Total phenotypic variance,3,9.336616256077393,9.355342359609452,9.190857820136202,9.466457504016333,9.399997570769708,9.336616256077393
-2.62,After historical event,Additive genetic variance,3,4.503295136891951,4.627507208508602,4.025429924770091,4.875580088139658,4.2522060227011655,4.503295136891951
-2.62,After historical event,Nonshared environmental variance,3,4.958362972888919,4.842986174183181,4.440091283962428,5.574704940715288,5.0240576922706985,4.958362972888919
-2.62,After historical event,Total phenotypic variance,3,9.46165810978087,9.470493382691782,9.315671372102084,9.60013486548538,9.276263714971865,9.46165810978087
-2.6,Before historical event,Additive genetic variance,3,3.816206996119032,3.8539154119172094,3.6621355025748725,3.9382263362347403,3.855257929017832,3.816206996119032
-2.6,Before historical event,Nonshared environmental variance,3,5.522677336850853,5.533945004775385,5.421070620027097,5.614706535938758,5.548002274577914,5.522677336850853
-2.6,Before historical event,Total phenotypic variance,3,9.338884332969885,9.357793616239166,9.194577167327585,9.467118607833296,9.403260203595746,9.338884332969885
-2.6,After historical event,Additive genetic variance,3,4.510242265421344,4.633359670654144,4.034307590188312,4.881527146206496,4.260718944831058,4.510242265421344
-2.6,After historical event,Nonshared environmental variance,3,4.954730529928074,4.84072563390099,4.439481478970215,5.566883742508954,5.02004005338671,4.954730529928074
-2.6,After historical event,Total phenotypic variance,3,9.464972795349418,9.474085304555135,9.321008625176711,9.601191332697267,9.280758998217767,9.464972795349418
-2.58,Before historical event,Additive genetic variance,3,3.8222580886966853,3.8626359050764387,3.666795656542535,3.9433993769280455,3.862976160534641,3.8222580886966853
-2.58,Before historical event,Nonshared environmental variance,3,5.518909124038425,5.533290126259527,5.41863665858575,5.606957737603163,5.543565647645644,5.518909124038425
-2.58,Before historical event,Total phenotypic variance,3,9.34116721273511,9.360252351523155,9.198302098811421,9.46780995868896,9.406541808180284,9.34116721273511
-2.58,After historical event,Additive genetic variance,3,4.517201092868484,4.639219534476577,4.043205051597473,4.887481458772614,4.26924890984241,4.517201092868484
-2.58,After historical event,Nonshared environmental variance,3,4.951102368819945,4.838466148761677,4.4388717855230855,5.559073739166332,5.016025627328526,4.951102368819945
-2.58,After historical event,Total phenotypic variance,3,9.468303461688429,9.477685683238255,9.3263532442957,9.602278790763807,9.285274537170935,9.468303461688429
-2.56,Before historical event,Additive genetic variance,3,3.828319665387327,3.8713761306357877,3.671461940112876,3.9485793952005874,3.8707098439612424,3.828319665387327
-2.56,Before historical event,Nonshared environmental variance,3,5.515145243833136,5.5326353252409834,5.416203821825467,5.599220096644136,5.539132568595579,5.515145243833136
-2.56,Before historical event,Total phenotypic variance,3,9.343464909220463,9.362718572876016,9.202032621203822,9.468531583129884,9.409842412556822,9.343464909220463
-2.56,After historical event,Additive genetic variance,3,4.5241716407179595,4.645086809336886,4.052122353421826,4.893443034688007,4.277795951855094,4.5241716407179595
-2.56,After historical event,Nonshared environmental variance,3,4.947478483746753,4.836207718272738,4.438262203589458,5.551274914556961,5.012014411526915,4.947478483746753
-2.56,After historical event,Total phenotypic variance,3,9.471650124464713,9.481294527609624,9.331705238277465,9.603397267978785,9.28981036338201,9.471650124464713
-2.54,Before historical event,Additive genetic variance,3,3.8343917459298305,3.8801361332449824,3.676134361780092,3.9537664008616895,3.8784590102323806,3.8343917459298305
-2.54,Before historical event,Nonshared environmental variance,3,5.511385690391418,5.531980601710583,5.413772109222634,5.591493596938911,5.534703034590545,5.511385690391418
-2.54,Before historical event,Total phenotypic variance,3,9.345777436321248,9.36519228772268,9.205768741129031,9.469283507822249,9.413162044822926,9.345777436321248
-2.54,After historical event,Additive genetic variance,3,4.531153930496794,4.650961504607898,4.061059540185678,4.899411882813471,4.286360105057288,4.531153930496794
-2.54,After historical event,Nonshared environmental variance,3,4.943858868898962,4.833950341941896,4.437652733137762,5.543487252573669,5.008006403414699,4.943858868898962
-2.54,After historical event,Total phenotypic variance,3,9.475012799395756,9.484911846549794,9.337064615951233,9.604546792759347,9.294366508471988,9.475012799395756
-2.52,Before historical event,Additive genetic variance,3,3.840474350102779,3.8889159576547785,3.680812930051053,3.9589604037353063,3.8862236903447314,3.840474350102779
-2.52,Before historical event,Nonshared environmental variance,3,5.507630457877962,5.531325955659154,5.411341520253885,5.583778222388027,5.530277042795644,5.507630457877962
-2.52,Before historical event,Total phenotypic variance,3,9.348104807980741,9.367673503498414,9.209510465219433,9.470065759552032,9.416500733140376,9.348104807980741
-2.52,After historical event,Additive genetic variance,3,4.538147983774518,4.6568436296742926,4.070016656513618,4.90538801202061,4.294941403705618,4.538147983774518
-2.52,After historical event,Nonshared environmental variance,3,4.940243518475274,4.831694019277107,4.437043374136438,5.535710737132551,5.0040016004267525,4.940243518475274
-2.52,After historical event,Total phenotypic variance,3,9.478391502249792,9.4885376489514,9.342431386157049,9.60572739364617,9.29894300413237,9.478391502249792
-2.5,Before historical event,Additive genetic variance,3,3.846567497724559,3.8977156487171913,3.6854976534453274,3.9641614136600536,3.894003915357025,3.846567497724559
-2.5,Before historical event,Nonshared environmental variance,3,5.503879540465714,5.53067138707753,5.408912054396094,5.576073956915293,5.5258545903782395,5.503879540465714
-2.5,Before historical event,Total phenotypic variance,3,9.350447038190275,9.370162227648855,9.213257800115564,9.470878365225191,9.419858505735265,9.350447038190275
-2.5,After historical event,Additive genetic variance,3,4.545153822163269,4.6627331939326195,4.078993747130738,4.91137143119185,4.30353988212529,4.545153822163269
-2.5,After historical event,Nonshared environmental variance,3,4.9366324266826105,4.829438749786557,4.436434126553946,5.527945352172919,5.000000000000001,4.9366324266826105
-2.5,After historical event,Total phenotypic variance,3,9.481786248845879,9.492171943719176,9.347805557745797,9.606939099303657,9.30353988212529,9.481786248845879
-2.48,Before historical event,Additive genetic variance,3,3.8526712086534354,3.906535251385728,3.6901885404951975,3.969369440489224,3.901799716390172,3.8526712086534354
-2.48,Before historical event,Nonshared environmental variance,3,5.50013293233586,5.5300168959565426,5.4064837111263815,5.568380784467758,5.52143567450796,5.50013293233586
-2.48,Before historical event,Total phenotypic variance,3,9.352804140989296,9.372658467629991,9.217010752466127,9.471721351867874,9.423235390898132,9.352804140989296
-2.48,After historical event,Additive genetic variance,3,4.552171467317873,4.668630206791308,4.087990856862867,4.917362149220458,4.3121555747102285,4.552171467317873
-2.48,After historical event,Nonshared environmental variance,3,4.933025587736102,4.827184532978658,4.43582499035875,5.520191081657282,4.996001599573419,4.933025587736102
-2.48,After historical event,Total phenotypic variance,3,9.485197055053975,9.495814739769965,9.353187139579207,9.60818193852015,9.308157174283647,9.485197055053975
-2.46,Before historical event,Additive genetic variance,3,3.858785502787641,3.9153748107156114,3.694885599745687,3.97458449409082,3.909611124627387,3.858785502787641
-2.46,Before historical event,Nonshared environmental variance,3,5.496390627677808,5.529362482287024,5.404056489922111,5.560698689015672,5.517020292356701,5.496390627677808
-2.46,Before historical event,Total phenotypic variance,3,9.355176130465448,9.37516223090821,9.22076932892799,9.472594746626562,9.426631416984089,9.355176130465448
-2.46,After historical event,Additive genetic variance,3,4.559200940935939,4.674534677670692,4.097008030636791,4.923360175010546,4.320788515923215,4.559200940935939
-2.46,After historical event,Nonshared environmental variance,3,4.92942299585908,4.824931368362056,4.435215965519328,5.512447909571304,4.992006396588032,4.92942299585908
-2.46,After historical event,Total phenotypic variance,3,9.488623936795019,9.499466046032747,9.358576140529877,9.609455940208095,9.312794912511247,9.488623936795019
-2.44,Before historical event,Additive genetic variance,3,3.864910400065458,3.9242343718640162,3.6995888397545738,3.9798065843475676,3.917438171314313,3.864910400065458
-2.44,Before historical event,Nonshared environmental variance,3,5.492652620689189,5.5287081460598095,5.40163039026089,5.553027654552459,5.512608441098617,5.492652620689189
-2.44,Before historical event,Total phenotypic variance,3,9.357563020754645,9.37767352496028,9.224533536166206,9.473498576768296,9.43004661241293,9.357563020754645
-2.44,After historical event,Additive genetic variance,3,4.566242264757945,4.680446616003018,4.106045313480486,4.929365517477094,4.329438740296026,4.566242264757945
-2.44,After historical event,Nonshared environmental variance,3,4.925824645283062,4.822679255445622,4.434607052004174,5.504715819923774,4.988014388486908,4.925824645283062
-2.44,After historical event,Total phenotypic variance,3,9.492066910041007,9.50312587144864,9.363972569481268,9.61076113340426,9.317453128782933,9.492066910041007
-2.42,Before historical event,Additive genetic variance,3,3.8710459204653054,3.9331139800902974,3.7042982690924195,3.985035721156948,3.925280887759148,3.8710459204653054
-2.42,Before historical event,Nonshared environmental variance,3,5.488918905575831,5.528053887265735,5.399205411620571,5.545367665094674,5.508200117910125,5.488918905575831
-2.42,Before historical event,Total phenotypic variance,3,9.359964826041137,9.380192357273387,9.228303380854022,9.47443286968084,9.433481005669272,9.359964826041137
-2.42,After historical event,Additive genetic variance,3,4.57329546056733,4.686366031232457,4.115102750523349,4.935378185545954,4.338106282429571,4.57329546056733
-2.42,After historical event,Nonshared environmental variance,3,4.922230530247739,4.8204281937384605,4.433998249781792,5.4969947967465735,4.984025572715165,4.922230530247739
-2.42,After historical event,Total phenotypic variance,3,9.49552599081507,9.506794224970918,9.369376435327744,9.612097547269922,9.322131855144736,9.49552599081507
-2.4,Before historical event,Additive genetic variance,3,3.87719208400582,3.9420136807562187,3.709013896342582,3.990271914431219,3.9331393053327677,3.87719208400582
-2.4,Before historical event,Nonshared environmental variance,3,5.485189476551761,5.527399705895637,5.396781553479247,5.5377187046819785,5.503795319969896,5.485189476551761
